CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,
Non-GAAP,,12/31/2026,,1.92,8/13/2025,2.01,7/17/2025,2.01,6/9/2025,1.85,5/1/2025,1.84,3/27/2025,1.46,12/23/2024,1.47,11/14/2024,1.56,9/30/2024,1.49,8/12/2024,1.45,7/20/2024,1.46,6/14/2024,1.46,6/13/2024
,,9/30/2026,,1.73,,1.76,,1.77,,1.69,,1.66,,1.26,,1.28,,1.39,,1.35,,1.36,,1.36,,1.36,
,,6/30/2026,,1.64,,1.61,,1.61,,1.54,,1.48,,1.12,,1.13,,1.18,,1.17,,1.18,,1.18,,1.18,
,,3/30/2026,,1.31,,1.34,,1.36,,1.31,,1.14,,0.82,,0.85,,0.89,,0.91,,0.93,,0.93,,0.93,
,,12/31/2025,,1.63,2/20/2025,1.61,2/20/2025,1.64,2/20/2025,1.58,2/20/2025,1.43,2/20/2025,1.46,12/23/2024,1.47,11/14/2024,1.56,9/30/2024,1.49,8/12/2024,1.45,7/20/2024,1.46,6/14/2024,1.46,6/13/2024
,,9/30/2025,,1.48,,1.44,,1.46,,1.43,,1.29,,1.26,,1.28,,1.39,,1.35,,1.36,,1.36,,1.36,
,8/5/2025,6/30/2025,0.32,1.1,,1.23,,1.26,,1.24,,1.13,,1.12,,1.13,,1.18,,1.17,,1.18,,1.18,,1.18,
,4/29/2025,3/30/2025,0.2,1.07,,0.79,,0.82,,0.85,,0.89,,0.91,,0.93,,0.93,,0.93,,,,,,,
,2/18/2025,12/31/2024,1.44,1.35,,1.14,,1.15,,1.25,,1.25,,1.22,,1.22,,1.22,,,,,,,,,
,11/12/2024,9/30/2024,0.74,1.04,,1.08,,1.08,,1.07,,1.07,,1.07,,,,,,,,,,,,,
,8/8/2024,6/30/2024,0.58,0.96,,0.87,,0.88,,0.88,,,,,,,,,,,,,,,,,
,5/9/2024,3/30/2024,0.31,0.54,,0.54,,,,,,,,,,,,,,,,,,,,,
,2/27/2024,12/31/2023,0.21,0.76,,0.76,,,,,,,,,,,,,,,,,,,,,
,11/8/2023,9/30/2023,0.55,0.82,,0.82,,,,,,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,0.42,0.74,,0.74,,,,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.24,0.51,,0.51,,,,,,,,,,,,,,,,,,,,,
,2/28/2023,12/31/2022,0.46,0.47,,0.47,,,,,,,,,,,,,,,,,,,,,
,11/7/2022,9/30/2022,0.57,0.44,,0.44,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.18,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,-0.13,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,
,3/1/2022,12/31/2021,-0.17,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,
,11/10/2021,9/30/2021,-0.17,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.05,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,-0.62,-0.13,,-0.13,,,,,,,,,,,,,,,,,,,,,
,3/4/2021,12/31/2020,-0.28,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,-0.12,-0.03,,-0.03,,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.03,-0.03,,-0.03,,,,,,,,,,,,,,,,,,,,,
,,3/31/2020,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,
