CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2024,,0.51,9/6/2023,0.51,7/28/2023,0.51,6/19/2023,0.51,5/8/2023,,4/8/2023,0.59,2/25/2023,0.59,1/9/2023,0.59,12/4/2022,0.58,10/30/2022,0.58,10/8/2022,0.58,9/7/2022,0.58,8/2/2022,0.6,6/21/2022,0.6,5/15/2022,0.6,3/29/2022,,2/27/2022,0.55,1/9/2022,0.55,12/7/2021,0.55,11/1/2021,0.55,10/10/2021,0.55,9/7/2021,0.55,7/31/2021,0.55,6/19/2021,0.52,5/22/2021,0.52,5/7/2021,0.52,3/27/2021,0.48,2/28/2021,0.48,1/9/2021,0.48,1/8/2021
,,9/30/2024,,0.94,,0.94,,0.94,,0.94,,,,0.91,,0.91,,0.91,,1,,1,,1,,1,,0.89,,0.89,,0.89,,,,0.81,,0.81,,0.81,,0.84,,0.84,,0.84,,0.84,,0.72,,0.72,,0.72,,0.72,,0.72,,0.72,
,,6/30/2024,,0.6,,0.6,,0.6,,0.6,,,,0.63,,0.63,,0.63,,0.61,,0.61,,0.61,,0.61,,0.81,,0.81,,0.81,,,,0.66,,0.66,,0.66,,0.66,,0.65,,0.65,,0.65,,0.62,,0.62,,0.62,,0.57,,0.57,,0.57,
,,3/30/2024,,0.45,,0.46,,0.46,,0.46,,,,0.49,,0.49,,0.49,,0.45,,0.45,,0.45,,0.45,,0.56,,0.56,,0.56,,,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.43,,0.43,,0.43,,0.45,,0.45,,0.45,
,,12/31/2023,,0.52,4/8/2023,0.52,4/8/2023,0.52,4/8/2023,0.52,4/8/2023,0.52,4/8/2023,0.59,2/25/2023,0.59,1/9/2023,0.59,12/4/2022,0.58,10/30/2022,0.58,10/8/2022,0.58,9/7/2022,0.58,8/2/2022,0.6,6/21/2022,0.6,5/15/2022,0.6,3/29/2022,,2/27/2022,0.55,1/9/2022,0.55,12/7/2021,0.55,11/1/2021,0.55,10/10/2021,0.55,9/7/2021,0.55,7/31/2021,0.55,6/19/2021,0.52,5/22/2021,0.52,5/7/2021,0.52,3/27/2021,0.48,2/28/2021,0.48,1/9/2021,0.48,1/8/2021
,,9/30/2023,,0.86,,0.89,,0.89,,0.89,,0.9,,0.91,,0.91,,0.91,,1,,1,,1,,1,,0.89,,0.89,,0.89,,,,0.81,,0.81,,0.81,,0.84,,0.84,,0.84,,0.84,,0.72,,0.72,,0.72,,0.72,,0.72,,0.72,
,7/28/2023,6/30/2023,0.55,0.55,,0.6,,0.6,,0.61,,0.63,,0.63,,0.63,,0.61,,0.61,,0.61,,0.61,,0.81,,0.81,,0.81,,,,0.66,,0.66,,0.66,,0.66,,0.65,,0.65,,0.65,,0.62,,0.62,,0.62,,0.57,,0.57,,0.57,,,
,5/1/2023,3/30/2023,0.33,0.33,,0.47,,0.49,,0.49,,0.49,,0.45,,0.45,,0.45,,0.45,,0.56,,0.56,,0.56,,,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.43,,0.43,,0.43,,0.45,,0.45,,0.45,,,,,,,
,2/24/2023,12/31/2022,0.4,0.4,,0.54,,0.54,,0.55,,0.55,,0.55,,0.55,,0.57,,0.57,,0.59,,0.55,,0.55,1/9/2022,0.55,12/7/2021,0.55,11/1/2021,0.55,10/10/2021,0.55,9/7/2021,0.55,7/31/2021,0.55,6/19/2021,0.52,5/22/2021,0.52,5/7/2021,0.52,3/27/2021,0.48,2/28/2021,0.48,1/9/2021,0.48,1/8/2021,,,,,,,,,,
,10/28/2022,9/30/2022,0.8,0.8,,0.88,,0.88,,0.88,,0.86,,0.86,,0.88,,0.81,,0.81,,0.81,,0.81,,0.84,,0.84,,0.84,,0.84,,0.72,,0.72,,0.72,,0.72,,0.72,,0.72,,,,,,,,,,,,,,,,,
