CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,
Non-GAAP,,12/31/2026,,0.85,9/3/2025,0.8,7/31/2025,0.69,6/25/2025,0.68,5/12/2025,0.55,4/3/2025,0.55,2/22/2025,0.47,1/24/2025,0.47,12/13/2024,0.48,11/2/2024,0.47,10/24/2024,0.47,10/23/2024
Plots Adjusted,,9/30/2026,,0.59,,0.58,,0.59,,0.59,,0.51,,0.51,,0.41,,0.41,,0.4,,0.39,,0.39,
,,6/30/2026,,0.43,,0.44,,0.46,,0.46,,0.43,,0.43,,0.34,,0.34,,0.34,,0.36,,0.36,
,,3/30/2026,,0.37,,0.39,,0.41,,0.41,,0.4,,0.4,,0.32,,0.32,,0.32,,0.31,,0.31,
,,12/31/2025,,0.48,1/24/2025,0.48,1/24/2025,0.47,1/24/2025,0.47,1/24/2025,0.47,1/24/2025,0.47,1/24/2025,0.47,1/24/2025,0.47,12/13/2024,0.48,11/2/2024,0.47,10/24/2024,0.47,10/23/2024
,,9/30/2025,,0.37,,0.37,,0.4,,0.39,,0.41,,0.41,,0.41,,0.41,,0.4,,0.39,,0.39,
,7/29/2025,6/30/2025,-0.16,0.38,,0.33,,0.35,,0.33,,0.33,,0.34,,0.34,,0.34,,0.36,,0.36,,,
,5/7/2025,3/30/2025,-0.13,0.36,,0.26,,0.26,,0.32,,0.32,,0.32,,0.31,,0.31,,,,,,,
,2/20/2025,12/31/2024,-0.06,0.37,,0.39,,0.39,,0.4,,0.38,,0.38,,,,,,,,,,,
,10/31/2024,9/30/2024,0.01,0.43,,0.32,,0.32,,,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,-0.17,0.29,,0.29,,,,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,-0.35,0.27,,0.27,,,,,,,,,,,,,,,,,,,
,2/28/2024,12/31/2023,-0.42,0.38,,0.38,,,,,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,-0.2,0.23,,0.23,,,,,,,,,,,,,,,,,,,
,8/2/2023,6/30/2023,-0.15,0.16,,0.16,,,,,,,,,,,,,,,,,,,
,5/2/2023,3/30/2023,-0.28,0.05,,0.05,,,,,,,,,,,,,,,,,,,
,2/23/2023,12/31/2022,-0.16,0.19,,0.19,,,,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,-0.03,0.27,,0.27,,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,-0.25,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,-0.27,0.09,,0.09,,,,,,,,,,,,,,,,,,,
,2/23/2022,12/31/2021,-0.33,0.09,,0.09,,,,,,,,,,,,,,,,,,,
,11/8/2021,9/30/2021,-0.28,0.25,,0.25,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,-0.28,0.32,,0.32,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,-0.21,0.3,,0.3,,,,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,-0.81,0.13,,0.13,,,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,-0.1,0.24,,0.24,,,,,,,,,,,,,,,,,,,
,7/31/2020,6/30/2020,-0.86,0.13,,0.13,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,-0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,-0.08,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,-0.04,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,0.14,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.09,-0.12,,-0.12,,,,,,,,,,,,,,,,,,,
,2/13/2019,12/31/2018,-0.07,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.12,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,
,7/31/2018,6/29/2018,0.5,0.2,,0.2,,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,0.3,0.33,,0.33,,,,,,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,-0.04,0.09,,0.09,,,,,,,,,,,,,,,,,,,
