CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,,,,
Y,,12/31/2026,,1.1,11/2/2025,1.1,9/7/2025,1.07,8/3/2025,0.98,7/18/2025,0.98,6/12/2025,0.97,5/3/2025
,,9/30/2026,,1.14,,1.14,,1.15,,1.13,,1.13,,1.1,
,,6/30/2026,,1.09,,1.09,,1.16,,1.12,,1.12,,1.09,
,,3/30/2026,,0.66,,0.66,,0.62,,0.65,,0.65,,0.61,
,,12/31/2025,,0.94,2/10/2025,0.94,2/10/2025,0.88,2/10/2025,0.88,2/10/2025,0.88,2/10/2025,0.89,2/10/2025
,10/29/2025,9/30/2025,0.97,0.97,,1.01,,1,,1.03,,1.03,,1.03,
,7/30/2025,6/30/2025,0.97,0.97,,0.97,,0.97,,0.97,,,,,
,4/30/2025,3/30/2025,0.51,0.51,,0.42,,0.56,,0.6,,,,,
,2/5/2025,12/31/2024,0.78,0.78,4/5/2024,0.93,4/5/2024,0.93,4/5/2024,1.02,4/5/2024,,,,
,10/30/2024,9/30/2024,1.02,1.02,,1.03,,1.02,,1.02,,,,,
,7/31/2024,6/30/2024,0.99,0.99,,0.83,,0.88,,0.89,,,,,
,5/1/2024,3/30/2024,0.5,0.5,,0.66,,0.77,,0.7,,,,,
,2/14/2024,12/31/2023,0.9,0.9,3/19/2023,0.88,3/19/2023,0.88,3/19/2023,0.87,3/19/2023,,,,
,11/1/2023,9/30/2023,0.97,0.97,,0.82,,0.85,,0.9,,,,,
,8/2/2023,6/30/2023,0.75,0.75,,0.69,,0.84,,0.86,,,,,
,5/4/2023,3/30/2023,0.54,0.54,,0.66,,0.66,,0.75,,,,,
,2/9/2023,12/31/2022,0.71,0.71,,0.82,,0.82,,0.8,,,,,
,11/4/2022,9/30/2022,0.88,0.88,,0.83,,0.83,,0.82,,,,,
,8/4/2022,6/30/2022,0.96,0.96,,0.76,,0.76,,0.75,,,,,
,5/5/2022,3/30/2022,0.83,0.83,,0.56,,0.56,,0.56,,,,,
,2/7/2022,12/31/2021,0.85,0.85,,0.7,,0.7,,0.74,,,,,
,11/4/2021,9/30/2021,0.76,0.76,,0.7,,0.7,,0.71,,,,,
,8/5/2021,6/30/2021,0.66,0.66,,0.65,,0.65,,0.72,,,,,
,5/6/2021,3/31/2021,0.39,0.39,,0.44,,0.44,,0.46,,,,,
,2/24/2021,12/31/2020,0.62,0.62,,0.62,,0.62,,0.73,,,,,
,11/9/2020,9/30/2020,0.64,0.64,,0.63,,0.66,,0.75,,,,,
,8/10/2020,6/30/2020,0.29,0.32,,0.74,,0.76,,0.79,,,,,
,4/29/2020,3/31/2020,0.56,0.56,,0.53,,0.55,,0.53,,,,,
,2/4/2020,12/31/2019,0.83,0.83,,0.77,,0.75,,0.68,,,,,
,10/30/2019,9/30/2019,0.9,0.9,,0.57,,0.56,,0.6,,,,,
,8/1/2019,6/28/2019,0.89333434,0.89,,0.72,,0.7,,,,,,,
,5/2/2019,3/29/2019,0.479811499,0.48,,0.45,,0.44,,0.41,,,,,
,2/7/2019,12/31/2018,0.795785698,0.8,,0.63,,0.7,,,,,,,
,11/1/2018,9/28/2018,0.511709167,0.51,,0.5,,0.67,,,,,,,
,8/2/2018,6/29/2018,0.679567487,0.68,,0.63,,,,,,,,,
,5/3/2018,3/29/2018,0.41982464,0.42,,0.36,,0.34,,,,,,,
,2/15/2018,12/29/2017,0.770171331,,,0.53,,0.54,,0.58,,,,,
,10/26/2017,9/29/2017,0.487638946,,,0.49,,0.57,,,,,,,
,7/27/2017,6/30/2017,0.505150039,,,0.5,,0.52,,,,,,,
,4/20/2017,3/31/2017,0.276632174,,,0.31,,0.36,,,,,,,
,2/1/2017,12/29/2016,0.486087217,,,0.52,,,,,,,,,
,10/27/2016,9/30/2016,0.508415619,,,0.54,,,,,,,,,
,7/28/2016,6/30/2016,0.466749091,,,0.46,,,,,,,,,
,4/28/2016,3/31/2016,0.339807281,,,0.35,,,,,,,,,
