CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,
Non-GAAP,,12/31/2027,,0.48,8/15/2026,0.44,7/7/2026,0.4,3/30/2026,0.4,2/27/2026,,,,,,,,,,,,,,
Plots Adjusted,,9/30/2027,,0.44,,0.41,,0.38,,0.38,,,,,,,,,,,,,,,
,,6/30/2027,,0.4,,0.36,,0.33,,0.33,,,,,,,,,,,,,,,
,,3/30/2027,,0.36,,0.34,,0.29,,0.29,,,,,,,,,,,,,,,
,,12/31/2026,,0.38,1/18/2026,0.36,1/18/2026,0.33,1/18/2026,0.33,1/18/2026,,,,,,,,,,,,,,
,,9/30/2026,,0.34,,0.32,,0.3,,0.3,,,,,,,,,,,,,,,
,8/6/2026,6/30/2026,-0.48,0.29,,0.27,,0.27,,0.27,,,,,,,,,,,,,,,
,5/7/2026,3/30/2026,-0.07,0.25,,0.23,,0.23,,0.25,,,,,,,,,,,,,,,
,2/10/2026,12/31/2025,-0.03,0.28,,0.27,,0.27,,0.26,,,,,,,,,,,,,,,
,10/30/2025,9/30/2025,0.01,0.27,,0.23,,0.22,,0.21,,,,,,,,,,,,,,,
,7/31/2025,6/30/2025,-0.15,0.21,,0.18,,0.19,,0.19,,,,,,,,,,,,,,,
,5/8/2025,3/30/2025,-0.11,0.16,,0.17,,0.17,,,,,,,,,,,,,,,,,
,2/6/2025,12/31/2024,-0.04,0.19,,0.19,,,,,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,-0.04,0.2,,0.2,,,,,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,-0.04,0.2,,0.2,,,,,,,,,,,,,,,,,,,
,5/2/2024,3/30/2024,-0.1,0.16,,0.16,,,,,,,,,,,,,,,,,,,
,2/8/2024,12/31/2023,-0.08,0.15,,0.15,,,,,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,-0.07,0.16,,0.16,,,,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,-0.28,0.1,,0.1,,,,,,,,,,,,,,,,,,,
,4/27/2023,3/30/2023,-0.12,0.08,,0.08,,,,,,,,,,,,,,,,,,,
,2/9/2023,12/31/2022,-0.14,0.06,,0.06,,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,-0.13,0.06,,0.06,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,-0.2,0.01,,0.01,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,-0.13,0.01,,0.01,,,,,,,,,,,,,,,,,,,
,2/10/2022,12/31/2021,-0.24,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,-0.34,0.01,,0.01,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,-0.12,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,-0.13,-0.03,,-0.03,,,,,,,,,,,,,,,,,,,
,2/11/2021,12/31/2020,-0.11,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,-0.09,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,-0.09,-0.03,,-0.03,,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,-0.11,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,
,2/13/2020,12/31/2019,-0.1,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,-0.35,-0.16,,-0.16,,,,,,,,,,,,,,,,,,,
,,6/28/2019,-0.23,-0.22,,-0.22,,,,,,,,,,,,,,,,,,,
,,3/29/2019,-0.2,-0.19,,-0.19,,,,,,,,,,,,,,,,,,,
,,12/31/2018,-0.2,-0.18,,-0.18,,,,,,,,,,,,,,,,,,,
,,9/28/2018,-0.47,-0.16,,-0.16,,,,,,,,,,,,,,,,,,,
