Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
12/31/2020,0.85,3/8/2020,0.85,,0.81,,0.8,,0.79,,0.75,,0.750218182,,,,,,,,,,,,,,,,
9/30/2020,0.94,,0.94,,0.93,,0.92,,0.88,,0.858945455,,,,,,,,,,,,,,,,,,
6/30/2020,1.01,,1.01,,1,,0.99,,1,,0.92,,0.935054545,,,,,,,,,,,,,,,,
3/31/2020,0.53,,0.53,,0.5,,0.49,,0.47,,0.445781818,,,,,,,,,,,,,,,,,,
12/31/2019,0.92,,0.92,,0.73,,0.72,,0.68,,0.69,,0.72,,0.8,,,,,,,,,,,,,,
9/30/2019,0.91,,0.91,,0.88,,0.87,,0.88,,0.8,,0.79,,0.82,,0.87,,,,,,,,,,,,
6/28/2019,0.960288809,,0.86,,0.87,,0.86,,0.88,,0.89,,,,,,,,,,,,,,,,,,
3/29/2019,0.74368231,,0.4,,0.41,,0.44,,0.48,,,,,,,,,,,,,,,,,,,,
12/31/2018,0.158844765,,0.67,,0.68,,0.73,,0.63,,0.74,,0.73,,0.71,,,,,,,,,,,,,,
9/28/2018,0.848920863,,0.79,,0.8,,0.7,,0.8,,0.79,,0.78,,,,,,,,,,,,,,,,
6/29/2018,0.902877698,,0.82,,0.72,,0.8,,0.78,,0.77,,0.76,,,,,,,,,,,,,,,,
3/29/2018,0.346428571,,0.42,,0.36,,0.44,,0.43,,0.38,,,,,,,,,,,,,,,,,,
12/29/2017,0.773381295,,0.6,,0.57,,0.66,,0.65,,0.67,,0.64,,0.65,,0.69,,0.73,,,,,,,,,,
9/29/2017,0.615942029,,0.67,,0.73,,0.7,,0.72,,0.73,,0.74,,0.75,,0.77,,0.79,,,,,,,,,,
6/30/2017,0.631768953,,0.72,,0.71,,0.72,,0.74,,0.75,,0.77,,0.76,,,,,,,,,,,,,,
3/31/2017,0.256227758,,0.36,,0.38,,0.39,,0.4,,0.62,,,,,,,,,,,,,,,,,,
12/30/2016,0.830935252,,0.62,,0.63,,0.65,,0.64,,0.67,,0.68,,0.69,,0.71,,0.74,,,,,,,,,,
9/30/2016,0.584229391,,0.75,,0.68,,0.73,,0.74,,0.75,,0.77,,,,,,,,,,,,,,,,
6/30/2016,0.665480427,,0.66,,0.68,,0.73,,,,,,,,,,,,,,,,,,,,,,
3/31/2016,0.263345196,,0.36,,0.39,,0.37,,0.39,,0.4,,,,,,,,,,,,,,,,,,
12/31/2015,0.491166078,,0.52,,0.55,,0.57,,0.65,,0.6,,0.61,,0.6,,0.53,,,,,,,,,,,,
9/30/2015,0.526315789,,0.62,,0.6,,0.65,,0.66,,0.65,,0.63,,,,,,,,,,,,,,,,
6/30/2015,0.557491289,,0.64,,0.63,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2015,0.298611111,,0.33,,0.35,,0.34,,0.37,,0.5,,,,,,,,,,,,,,,,,,
12/31/2014,0.34965035,,0.47,,0.46,,0.51,,0.59,,0.57,,0.58,,0.53,,0.54,,0.5,,0.51,,0.49,,0.45,,0.47,,0.52
9/30/2014,0.401408451,,0.55,,0.54,,0.63,,0.64,,0.67,,0.6,,0.56,,0.54,,0.56,,0.58,,0.49,,,,,,
