CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP Diluted,,12/31/2023,,4.32,11/7/2022,4.32,9/29/2022,4,8/27/2022,4,8/4/2022,4,7/1/2022,3.32,5/31/2022,,4/14/2022,3.87,3/12/2022,5.15,1/21/2022,5.15,12/21/2021,4.87,11/21/2021,4.87,10/19/2021,6.61,9/18/2021,6.34,8/22/2021,4.94,7/9/2021,4.94,6/2/2021,4.95,5/7/2021,4.63,4/6/2021,5.62,3/4/2021,4.66,1/31/2021,4.66,12/24/2020,6.1,11/25/2020,4.99,11/10/2020,7.03,10/27/2020,7.03,9/22/2020,7.03,8/26/2020,7.03,7/22/2020,,,,,,,,,,,,,,,,,,,,,,1.846666667
,,9/30/2023,,-0.23,,-0.23,,1.43,,1.43,,1.43,,0.74,,,,1.28,,1.21,,1.21,,1.2,,1.2,,1.1,,1.47,,1.26,,1.05,,1.31,,1.62,,2.1,,1.69,,1.69,,2.11,,1.89,,2.11,,2.11,,2.11,,2.11,,,,,,,,,,,,,,,,,,,,,,,0.54
,,6/30/2023,,2.08,,2.08,,1.96,,1.96,,1.96,,0.6,,,,0.75,,0.15,,0.15,,0.91,,0.9,,0.9,,1.92,,2.82,,1.58,,1.68,,1.69,,2.22,,1.89,,1.89,,1.29,,2.03,,2.47,,2.83,,2.47,,2.47,,,,,,,,,,,,,,,,,,,,,,,0.58
,,3/30/2023,,0.49,,0.49,,0.3,,0.3,,0.3,,0.02,,,,-0.34,,-0.68,,-0.68,,-0.55,,-0.39,,-0.38,,0.56,,0.02,,0.65,,0.65,,0.78,,0.8,,0.8,,0.81,,0.95,,0.99,,0.89,,0.99,,0.99,,,,,,,,,,,,,,,,,,,,,,,0.293333333,,
,,12/31/2022,,2.83,,2.83,,1.84,,1.84,,3.32,,3.32,,3.47,,3.87,3/12/2022,5.15,1/21/2022,5.15,12/21/2021,4.87,11/21/2021,4.87,10/19/2021,6.61,9/18/2021,6.34,8/22/2021,4.94,7/9/2021,4.94,6/2/2021,4.95,5/7/2021,4.63,4/6/2021,5.62,3/4/2021,4.66,1/31/2021,4.66,12/24/2020,6.1,11/25/2020,4.99,11/10/2020,7.03,10/27/2020,7.03,9/22/2020,7.03,8/26/2020,7.03,7/22/2020,,,,,,,,,,,,,,,,,,,,,,1.846666667
,,9/30/2022,,0.2,,0.2,,0.22,,0.29,,0.74,,0.74,,1.27,,1.28,,1.21,,1.21,,1.2,,1.2,,1.1,,1.47,,1.26,,1.05,,1.31,,1.62,,2.1,,1.69,,1.69,,2.11,,1.89,,2.11,,2.11,,2.11,,2.11,,,,,,,,,,,,,,,,,,,,,,,0.54
,8/23/2022,6/30/2022,-1.26,0.01,,0.75,,0.75,,0.6,,1.39,,0.75,,0.15,,0.15,,0.91,,0.9,,0.9,,1.92,,2.82,,1.58,,1.68,,1.69,,2.22,,1.89,,1.89,,1.29,,2.03,,2.47,,2.83,,2.47,,2.47,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,
,5/26/2022,3/30/2022,-1.87,0.02,,0.11,,-0.34,,-0.68,,-0.68,,-0.55,,-0.39,,-0.38,,0.56,,0.02,,0.65,,0.65,,0.78,,0.8,,0.8,,0.81,,0.95,,0.99,,0.89,,0.99,,0.99,,,,,,,,,,,,,,,,,,,,,,,0.293333333,,,,,,,,,,,,
,3/10/2022,12/31/2021,-0.02,1.11,,0.87,,0.87,,2.7,,3.59,,4.29,,4.32,,4.94,,4.94,,4.95,5/7/2021,4.63,4/6/2021,5.62,3/4/2021,4.66,1/31/2021,4.66,12/24/2020,6.1,11/25/2020,4.99,11/10/2020,7.03,10/27/2020,7.03,9/22/2020,7.03,8/26/2020,7.03,7/22/2020,,,,,,,,,,,,,,,,,,,,,,1.846666667,,,,,,,,,,,,,,
,11/30/2021,9/30/2021,-4,-1.21,,0.09,,0.25,,0.3,,0.72,,1.26,,1.05,,1.31,,1.62,,2.1,,1.69,,1.69,,2.11,,1.89,,2.11,,2.11,,2.11,,2.11,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,
