CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
N,,3/30/2027,,2.27,1/13/2026,2.27,12/2/2025,2.27,10/30/2025,2.2,9/3/2025,2.11,7/31/2025,2.05,7/2/2025,2.05,5/21/2025,1.71,4/20/2025,,
,,12/30/2026,,4.11,,4.11,,4.01,,3.91,,3.79,,3.88,,3.88,,3.25,,,
,,9/30/2026,,2.05,,2.05,,2.07,,2.05,,2.26,,2.29,,2.29,,2.03,,,
,,6/30/2026,,0.77,,0.77,,0.76,,0.76,,0.64,,0.67,,0.67,,0.53,,,
,,3/30/2026,,2.49,4/20/2025,2.49,4/20/2025,2.38,4/20/2025,2.39,4/20/2025,2.2,4/20/2025,2.1,4/20/2025,2.06,4/20/2025,1.71,4/20/2025,,
,,12/30/2025,,4.72,,4.72,,4.54,,4.36,,3.93,,3.85,,3.92,,3.25,,,
,10/28/2025,9/30/2025,0.54,1.21,,1.31,,1.95,,2.18,,2.15,,2.03,,,,,,,
,7/29/2025,6/30/2025,0.79,0.17,,0.1,,0.11,,0.53,,0.58,,0.62,,,,,,,
,5/6/2025,3/30/2025,0.98,1.21,6/25/2024,1.08,6/25/2024,1.09,6/25/2024,1.13,6/25/2024,1.74,6/25/2024,1.75,6/25/2024,,,,,,
,2/4/2025,12/30/2024,1.11,2.83,,3.4,,3.41,,3.43,,3.43,,3.42,,,,,,,
,10/29/2024,9/30/2024,1.11,2.15,,2.01,,1.99,,1.82,,1.79,,1.68,,,,,,,
,7/30/2024,6/30/2024,1.04,0.52,,0.41,,0.48,,0.85,,0.87,,0.92,,,,,,,
,5/7/2024,3/30/2024,0.67,1.37,6/20/2023,1.64,6/20/2023,1.58,6/20/2023,1.57,6/20/2023,1.58,6/20/2023,1.6,6/20/2023,,,,,,
,1/30/2024,12/30/2023,1.07,2.98,,2.92,,2.88,,2.8,,2.79,,2.82,,,,,,,
,11/1/2023,9/30/2023,1.47,1.13,,1.25,,1.25,,1.3,,1.5,,1.52,,,,,,,
,8/1/2023,6/30/2023,1.47,1.14,,1.03,,1,,0.86,,0.89,,0.92,,,,,,,
,5/9/2023,3/30/2023,-0.04,1.78,,1.31,,1.32,,1.41,,2.22,,2.22,,,,,,,
