CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
,,12/31/2027,,0.36,8/17/2026,0.36,8/16/2026
,,9/30/2027,,0.48,,0.48,
,,6/30/2027,,0.47,,0.47,
,,3/31/2027,,0.44,,0.44,
,,12/31/2026,,0.301,,0.301,
,,9/30/2026,,0.38,,0.38,
,8/10/2026,6/30/2026,0.34,0.5,,0.5,
,5/6/2026,3/31/2026,0.3,0.46,,0.46,
,3/4/2026,12/31/2025,0.2,0.21,,0.21,
,11/5/2025,9/30/2025,0.29,0.39,,0.39,
,8/6/2025,6/30/2025,0.18,0.28,,0.28,
,5/7/2025,3/31/2025,0.24,0.33,,0.33,
,2/27/2025,12/31/2024,0.06,0.09,,0.09,
,11/6/2024,9/30/2024,0.12,0.22,,0.22,
,,6/30/2024,0.19,,,,
,,3/31/2024,0.13,,,,
,,12/31/2023,-0.06,,,,
,,9/30/2023,0.87,,,,
,,6/30/2023,0.1,,,,
,,3/31/2023,0.05,,,,
,,12/31/2022,-0.12,,,,
,,9/30/2022,0.16,,,,
,,6/30/2022,-0.01,,,,
,,3/31/2022,0.01,,,,
,,12/31/2021,-0.12,,,,
,,9/30/2021,0.09,,,,
,,6/30/2021,0.13,,,,
,,3/31/2021,-0.05,,,,
,,9/30/2020,-0.08,,,,
,,6/30/2020,-0.22,,,,
