CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,,,,,,,,,,,,,,,
Non-GAAP,,9/30/2021,1.33,1/11/2021,1.18,12/10/2020,1.03,11/10/2020,1.02,10/27/2020,0.98,9/22/2020,0.98,8/27/2020,1,7/28/2020,1,6/18/2020,1,5/10/2020,1.22,3/28/2020,1.22,3/1/2020,1.22,1/29/2020,1.257911392,1/18/2020,1.257911392,,,
,,6/30/2021,1.29,,1.14,,1.02,,1.03,,1,,1,,1.01,,0.89,,0.9,,1.08,,1.12,,1.11,,1.091772152,,1.091772152,,,
,,3/31/2021,1.2,,1.04,,0.98,,0.97,,0.95,,0.95,,1.16,,1.16,,1.03,,1.06,,1.06,,1.07,,1.02056962,,1.02056962,,,
,,12/31/2020,0.62,,0.49,,0.41,,0.4,,0.4,,0.4,,0.61,,0.57,,0.43,,0.49,,0.49,,0.46,,0.308544304,,0.308544304,,,
,11/10/2020,9/30/2020,0.07,,0.74,,0.72,,0.69,,0.76,,0.68,,0.67,,0.95,,1.07,,1.08,,1.07,,1.06,,1.2,,1.17,1.31,1.4,1.42
,7/28/2020,6/30/2020,0.61,,0.55,,0.56,,0.82,,0.91,,0.92,,0.92,,0.91,,0.92,,0.99,0.95,1.13,1.3,,,,,,,,
,5/5/2020,3/31/2020,-9.61,,0.78,,0.81,,0.82,,0.85,,0.85,,0.86,,0.94,0.93,1.04,1.17,,,,,,,,,,,,
,1/27/2020,12/31/2019,0.525,,0.07,,0.21,,0.26,,0.33,0.35,0.43,0.46,0.45,,,,,,,,,,,,,,,,,
,11/18/2019,9/30/2019,6.737704918,,0.96,,0.98,,1.17,1.18,1.19,1.27,1.11,,,,,,,,,,,,,,,,,,,
,7/30/2019,6/28/2019,1.064516129,,0.77,,0.87,,1.04,1.05,1.29,1.2,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,1.1875,,0.84,,1.18,,1.13,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2019,12/31/2018,-0.761904762,,0.12,,0.57,,0.6,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2018,9/28/2018,0.140625,,0.97,,0.96,,0.97,1,,,,,,,,,,,,,,,,,,,,,,
,7/31/2018,6/29/2018,0.5625,,1.03,,1.01,,1.05,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2018,3/29/2018,1.140625,,0.87,,0.96,,0.97,,,,,,,,,,,,,,,,,,,,,,,
,1/29/2018,12/29/2017,-0.064516129,,0.42,,0.43,,0.47,0.46,0.36,,,,,,,,,,,,,,,,,,,,,
,11/6/2017,9/29/2017,-0.920634921,,0.68,,0.69,,0.82,0.73,0.74,1.9,,,,,,,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,-0.532258065,,0.7,,0.68,,0.78,2.01,1.53,,,,,,,,,,,,,,,,,,,,,
,4/25/2017,3/31/2017,1.46031746,,1.53,,1.54,,1.56,1.92,0.91,,,,,,,,,,,,,,,,,,,,,
,1/27/2017,12/30/2016,-0.016129032,,0.92,,1.46,,1.61,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,-4.451612903,,1.61,,1.68,,1.92,2,1.99,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.126984127,,2.04,,2.07,,2.18,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,1.380952381,,1.75,,1.73,,1.94,1.95,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,1.348484848,,1.39,,1.41,,1.4,1.79,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,-0.820895522,,1.5,,1.9,,1.99,1.97,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,1.558823529,,2.03,,2.05,,2.16,2.18,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,3.260869565,,1.75,,1.76,,1.89,1.93,1.53,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.457142857,,1.41,,1.42,,1.48,1.55,1.67,1.38,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.931506849,,1.37,,1.4,,1.51,1.76,1.78,2.02,1.54,,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.253164557,,1.57,,1.56,,1.83,1.96,2.14,1.56,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.564102564,,1.59,,1.76,,1.9,1.33,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.375,,1.31,,1.59,,1.68,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,5.0625,,1.64,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.55,,1.84,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.66,,1.54,,1.96,,1.36,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,1.2625,,1.37,,1.39,,1.42,1.75,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-3.512820513,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.8875,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.772151899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,-3.2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,6.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,-1.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,1.102564103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,1.273972603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.653333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.648648649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-1.724637681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/27/2008,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2008,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2007,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
