CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,9/30/2024,,1.39,5/5/2023,1.55,4/24/2023,1.61,3/15/2023,1.55,2/4/2023,1.36,12/21/2022,1.27,11/18/2022,0.92,11/12/2022,0.92,10/7/2022,0.92,9/4/2022,0.83,8/1/2022,0.83,7/23/2022,0.83,7/6/2022,0.83,6/4/2022,0.72,5/2/2022,0.72,4/3/2022,0.72,3/1/2022,0.64,1/29/2022,0.64,12/11/2021,0.48,11/6/2021,0.48,10/16/2021,0.48,10/15/2021
,,6/30/2024,,1.22,,1.25,,1.31,,1.37,,1.14,,1.1,,0.91,,0.91,,0.91,,0.8,,0.8,,0.8,,0.8,,0.64,,0.64,,0.64,,0.57,,0.57,,0.43,,0.43,,0.43,
,,3/30/2024,,0.9,,0.87,,0.94,,1.03,,0.97,,0.95,,0.85,,0.85,,0.84,,0.73,,0.73,,0.73,,0.73,,0.52,,0.52,,0.52,,0.51,,0.51,,0.35,,0.35,,0.35,
,,12/30/2023,,1.09,,1.13,,1.27,,1.25,,0.97,,0.94,,0.84,,0.84,,0.84,,0.7,,0.7,,0.7,,0.7,,0.51,,0.51,,0.51,,0.44,,0.44,,0.34,,0.34,,0.34,
,,9/30/2023,,1.28,,1.34,,1.53,,1.51,,1.36,,1.27,,0.92,11/12/2022,0.92,10/7/2022,0.92,9/4/2022,0.83,8/1/2022,0.83,7/23/2022,0.83,7/6/2022,0.83,6/4/2022,0.72,5/2/2022,0.72,4/3/2022,0.72,3/1/2022,0.64,1/29/2022,0.64,12/11/2021,0.48,11/6/2021,0.48,10/16/2021,0.48,10/15/2021
,,6/30/2023,,0.98,,0.99,,1.09,,1.14,,1.14,,1.1,,0.91,,0.91,,0.91,,0.8,,0.8,,0.8,,0.8,,0.64,,0.64,,0.64,,0.57,,0.57,,0.43,,0.43,,0.43,
,5/4/2023,3/30/2023,0.67,0.67,,0.64,,0.65,,0.8,,0.97,,0.95,,0.85,,0.85,,0.84,,0.73,,0.73,,0.73,,0.73,,0.52,,0.52,,0.52,,0.51,,0.51,,0.35,,0.35,,0.35,
,2/2/2023,12/30/2022,1,1,,0.97,,0.94,,0.84,,0.84,,0.84,,0.7,,0.7,,0.7,,0.7,,0.51,,0.51,,0.51,,0.44,,0.44,,0.34,,0.34,,0.34,,,,,,,
,11/17/2022,9/30/2022,1.22,1.22,,0.86,,0.86,,0.86,,0.68,,0.68,,0.68,,0.68,,0.46,,0.46,,0.46,,0.46,,0.45,,0.48,,0.48,10/16/2021,0.48,10/15/2021,,,,,,,,,,
,7/28/2022,6/30/2022,0.92,0.92,,0.66,,0.66,,0.66,,0.46,,0.46,,0.46,,0.45,,0.44,,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,
