CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
Plots Adjusted,,1/30/2026,,0.45,12/8/2024,0.44,10/16/2024,0.44,9/12/2024,0.44,9/11/2024
,,10/30/2025,,0.4,,0.4,,0.4,,0.4,
,,7/30/2025,,0.39,,0.39,,0.39,,0.39,
,,4/30/2025,,0.36,,0.36,,0.36,,0.36,
,,1/30/2025,,0.34,,0.33,,0.33,,0.33,
,12/5/2024,10/30/2024,0.01,0.43,,0.3,,0.3,,0.3,
,9/5/2024,7/30/2024,0.06,0.44,,0.44,,,,,
,6/5/2024,4/30/2024,-0.06,0.32,,0.32,,,,,
,3/14/2024,1/30/2024,-0.07,0.34,,0.34,,,,,
,12/7/2023,10/30/2023,-0.24,0.16,,0.16,,,,,
,9/7/2023,7/30/2023,-0.25,0.16,,0.16,,,,,
,6/7/2023,4/30/2023,-0.23,0.18,,0.18,,,,,
,3/14/2023,1/30/2023,-0.33,0.07,,0.07,,,,,
,12/1/2022,10/30/2022,-0.31,-0.01,,-0.01,,,,,
,9/1/2022,7/30/2022,-0.48,-0.1,,-0.1,,,,,
,6/7/2022,4/30/2022,-0.55,-0.18,,-0.18,,,,,
,3/15/2022,1/31/2022,-0.42,-0.12,,-0.12,,,,,
,12/2/2021,10/29/2021,-0.29,-0.03,,-0.03,,,,,
,9/7/2021,7/30/2021,-0.35,-0.05,,-0.05,,,,,
,6/2/2021,4/30/2021,-0.3,-0.09,,-0.09,,,,,
,3/16/2021,1/29/2021,-0.23,-0.04,,-0.04,,,,,
,12/7/2020,10/30/2020,-0.26,-0.12,,-0.12,,,,,
,9/2/2020,7/31/2020,-0.22,-0.06,,-0.06,,,,,
,6/3/2020,4/30/2020,-0.23,-0.11,,-0.11,,,,,
,3/17/2020,1/31/2020,-0.24,-0.13,,-0.13,,,,,
,12/4/2019,11/1/2019,-0.25,-0.15,,-0.15,,,,,
,9/4/2019,8/2/2019,-0.17,-0.08,,-0.08,,,,,
,6/5/2019,5/3/2019,-0.19,-0.12,,-0.12,,,,,
,3/19/2019,2/1/2019,-0.11,-0.07,,-0.07,,,,,
,12/3/2018,10/31/2018,-0.15,-0.09,,-0.09,,,,,
,9/4/2018,8/3/2018,-0.12,-0.08,,-0.08,,,,,
,6/4/2018,5/4/2018,-0.68,-0.12,,-0.12,,,,,
,,2/2/2018,-0.45,-0.08,,-0.08,,,,,
,,10/31/2017,-0.54,-0.11,,-0.11,,,,,
,,8/4/2017,-1.52,-0.08,,-0.08,,,,,
,,5/5/2017,-0.44,-0.08,,-0.08,,,,,
