CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,9/30/2023,,0.2,10/13/2022,0.2,9/11/2022,0.2,8/7/2022,0.22,7/14/2022,0.22,6/12/2022,0.22,5/11/2022,0.21,4/17/2022,0.21,3/14/2022,0.29,2/9/2022,0.29,12/22/2021,,11/21/2021,0.09,10/15/2021,0.09,9/11/2021,0.09,8/7/2021,0.09,7/9/2021,0.37,6/4/2021,0.36,5/6/2021,0.36,4/4/2021,0.36,3/2/2021,0.34,2/2/2021,0.34,1/10/2021
,,6/30/2023,,0.19,,0.19,,0.19,,0.19,,0.19,,0.19,,0.19,,0.19,,0.25,,0.25,,,,0.02,,0.02,,0.02,,0.02,,0.3,,0.32,,0.32,,0.32,,0.34,,0.34,
,,3/30/2023,,0.14,,0.14,,0.14,,0.17,,0.17,,0.17,,0.11,,0.11,,0.11,,0.11,,,,-0.11,,-0.11,,-0.11,,-0.11,,0.22,,0.21,,0.21,,0.21,,0.24,,0.24,
,,12/30/2022,,0.09,,0.09,,0.09,,0.09,,0.09,,0.09,,0.09,,0.09,,0.07,,0.07,,,,-0.11,,-0.11,,-0.11,,-0.11,,0.16,,0.17,,0.17,,0.17,,0.15,,0.15,
,,9/30/2022,,0.19,,0.19,,0.25,,0.25,,0.25,,0.25,,0.18,,0.18,,0.26,,0.26,,0.09,,0.09,10/15/2021,0.09,9/11/2021,0.09,8/7/2021,0.09,7/9/2021,0.37,6/4/2021,0.36,5/6/2021,0.36,4/4/2021,0.36,3/2/2021,0.34,2/2/2021,0.34,1/10/2021
,8/2/2022,6/30/2022,0.76,0.76,,0.11,,0.11,,0.11,,0.11,,0.11,,0.15,,0.15,,0.02,,0.02,,0.02,,0.02,,0.02,,0.3,,0.32,,0.32,,0.32,,0.34,,0.34,,,,,
,5/3/2022,3/31/2022,-0.1,-0.1,,-0.11,,-0.11,,0.05,,0.05,,-0.11,,-0.11,,-0.11,,-0.11,,-0.11,,0.22,,0.21,,0.21,,0.21,,0.24,,0.24,,,,,,,,,,,
,2/8/2022,12/31/2021,-0.24,-0.24,,-0.03,,-0.11,,-0.11,,-0.11,,-0.11,,-0.11,,0.16,,0.17,,0.17,,0.17,,0.15,,0.15,,,,,,,,,,,,,,,,,
,12/7/2021,9/30/2021,0.28,0.28,,0.28,,-0.04,,-0.04,,-0.04,,0.01,,0.07,,0.09,,0.2,,0.2,,0.2,,0.22,,0.22,1/10/2021,0.21,12/9/2020,0.21,10/12/2020,0.22,9/13/2020,0.31,8/5/2020,0.31,8/4/2020,-0.01,,0.505909091,,,
,8/3/2021,6/30/2021,-0.17,0.17,,0.01,,0.01,,0.08,,0.08,,0.08,,0.22,,0.22,,0.22,,0.22,,0.27,,0.38,,0.38,,-0.02,,0.423311688,,,,,,,,,,,,,
,5/4/2021,3/31/2021,-0.02,-0.02,,0.12,,0.12,,0.23,,0.23,,0.26,,0.26,,0.28,,0.5,,0.5,,-0.03,,0.371688312,,,,,,,,,,,,,,,,,,,
,2/2/2021,12/31/2020,-0.03,-0.03,,0.22,,0.23,,0.23,,0.29,,0.32,,0.32,,0.07,,0.361363636,,,,,,,,,,,,,,,,,,,,,,,,,
,12/8/2020,9/30/2020,0.25,0.25,,0.27,,0.27,,0.35,,0.35,,0.24,,0.6,,0.49,,0.47,,1.505454545,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.297572235,0.28,,0.33,,0.27,,0.52,,0.41,,0.4,,1.243636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,0.635305196,0.64,,0.38,,0.39,,0.36,,0.38,,-1.309090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2020,12/31/2019,0.237891127,0.24,,0.32,,0.35,,0.33,,-0.065454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/4/2019,9/30/2019,0.560960961,0.55,,0.38,,0.25,,0.23,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,0.438593467,0.39,,0.2,,0.19,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.08235901,0.08,,-0.25,,-0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2019,12/31/2018,-0.233313133,-0.23,,-0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/11/2018,9/28/2018,0.132523896,0.13,,0.14,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.025977388,0.03,,-0.17,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2018,3/29/2018,-0.289338778,-0.29,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2018,12/29/2017,-0.492476298,-0.49,,-0.16,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
