CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,0.59,11/11/2023,0.59,9/22/2023,0.85,8/5/2023,0.85,6/15/2023,0.87,5/5/2023,,4/8/2023,0.7,3/1/2023,0.65,1/24/2023,0.65,12/17/2022,0.55,11/9/2022,0.57,10/20/2022,0.57,9/16/2022,0.57,8/14/2022,0.51,7/15/2022,0.51,6/14/2022,0.47,5/12/2022,0.47,4/21/2022,,3/19/2022,0.44,2/28/2022,0.44,1/17/2022,0.44,12/11/2021,0.41,11/6/2021,0.41,10/12/2021,0.41,9/10/2021,0.39,8/7/2021,0.39,7/9/2021,0.39,6/7/2021,0.39,5/9/2021,0.39,3/26/2021,0.32,2/28/2021,0.32,1/8/2021,0.29,12/8/2020,0.39,11/7/2020,0.39,10/7/2020,0.39,9/13/2020,0.37,8/6/2020,0.46,7/2/2020,0.46,5/22/2020,0.46,5/20/2020,0.430666667
,,9/30/2024,,0.7,,0.69,,0.97,,0.97,,0.88,,,,0.75,,0.69,,0.69,,0.69,,0.6,,0.6,,0.6,,0.59,,0.59,,0.54,,0.54,,,,0.46,,0.46,,0.46,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.35,,0.35,,0.33,,0.37,,0.37,,0.37,,0.39,,0.41,,0.41,,0.41,,0.442
,,6/30/2024,,0.68,,0.58,,0.8,,0.8,,0.67,,,,0.64,,0.59,,0.59,,0.59,,0.58,,0.58,,0.58,,0.52,,0.52,,0.5,,0.5,,,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.43,,0.43,,0.43,,0.43,,0.43,,0.32,,0.32,,0.31,,0.34,,0.34,,0.34,,0.34,,0.36,,0.36,,0.36,,0.419333333
,,3/30/2024,,0.46,,0.46,,0.68,,0.68,,0.58,,,,0.54,,0.48,,0.48,,0.48,,0.45,,0.45,,0.45,,0.43,,0.43,,0.38,,0.38,,,,0.33,,0.33,,0.33,,0.34,,0.34,,0.34,,0.38,,0.38,,0.38,,0.38,,0.38,,0.29,,0.29,,0.28,,0.3,,0.3,,0.3,,0.3,,0.32,,0.32,,0.32,,0.396666667
,,12/31/2023,,0.51,4/8/2023,0.5,4/8/2023,0.71,4/8/2023,0.71,4/8/2023,0.73,4/8/2023,0.71,4/8/2023,0.7,3/1/2023,0.65,1/24/2023,0.65,12/17/2022,0.55,11/9/2022,0.57,10/20/2022,0.57,9/16/2022,0.57,8/14/2022,0.51,7/15/2022,0.51,6/14/2022,0.47,5/12/2022,0.47,4/21/2022,,3/19/2022,0.44,2/28/2022,0.44,1/17/2022,0.44,12/11/2021,0.41,11/6/2021,0.41,10/12/2021,0.41,9/10/2021,0.39,8/7/2021,0.39,7/9/2021,0.39,6/7/2021,0.39,5/9/2021,0.39,3/26/2021,0.32,2/28/2021,0.32,1/8/2021,0.29,12/8/2020,0.39,11/7/2020,0.39,10/7/2020,0.39,9/13/2020,0.37,8/6/2020,0.46,7/2/2020,0.46,5/22/2020,0.46,5/20/2020,0.430666667
,11/6/2023,9/30/2023,0.58,0.64,,0.55,,0.78,,0.77,,0.73,,0.74,,0.75,,0.69,,0.69,,0.69,,0.6,,0.6,,0.6,,0.59,,0.59,,0.54,,0.54,,,,0.46,,0.46,,0.46,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.35,,0.35,,0.33,,0.37,,0.37,,0.37,,0.39,,0.41,,0.41,,0.41,,0.442
,8/3/2023,6/30/2023,0.82,0.82,,0.82,,0.65,,0.63,,0.63,,0.64,,0.59,,0.59,,0.59,,0.58,,0.58,,0.58,,0.52,,0.52,,0.5,,0.5,,,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.43,,0.43,,0.43,,0.43,,0.43,,0.32,,0.32,,0.31,,0.34,,0.34,,0.34,,0.34,,0.36,,0.36,,0.36,,0.419333333,,
,5/4/2023,3/30/2023,0.67,0.67,,0.53,,0.54,,0.48,,0.48,,0.48,,0.45,,0.45,,0.45,,0.43,,0.43,,0.38,,0.38,,,,0.33,,0.33,,0.33,,0.34,,0.34,,0.34,,0.38,,0.38,,0.38,,0.38,,0.38,,0.29,,0.29,,0.28,,0.3,,0.3,,0.3,,0.3,,0.32,,0.32,,0.32,,0.396666667,,,,,,,,
,2/27/2023,12/31/2022,0.71,0.71,,0.56,,0.56,,0.56,,0.53,,0.53,,0.54,,0.53,,0.53,,0.53,,0.43,,0.43,,0.44,2/28/2022,0.44,1/17/2022,0.44,12/11/2021,0.41,11/6/2021,0.41,10/12/2021,0.41,9/10/2021,0.39,8/7/2021,0.39,7/9/2021,0.39,6/7/2021,0.39,5/9/2021,0.39,3/26/2021,0.32,2/28/2021,0.32,1/8/2021,0.29,12/8/2020,0.39,11/7/2020,0.39,10/7/2020,0.39,9/13/2020,0.37,8/6/2020,0.46,7/2/2020,0.46,5/22/2020,0.46,5/20/2020,0.430666667,,,,,,,,,,,,
,11/7/2022,9/30/2022,0.51,0.51,,0.42,,0.42,,0.43,,0.53,,0.53,,0.53,,0.48,,0.48,,0.46,,0.46,,0.46,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.48,,0.35,,0.35,,0.33,,0.37,,0.37,,0.37,,0.39,,0.41,,0.41,,0.41,,0.442,,,,,,,,,,,,,,,,,,
,8/8/2022,6/30/2022,0.3,0.3,,0.41,,0.41,,0.41,,0.42,,0.42,,0.45,,0.45,,0.45,,0.45,,0.45,,0.45,,0.43,,0.43,,0.43,,0.43,,0.43,,0.32,,0.32,,0.31,,0.34,,0.34,,0.34,,0.34,,0.36,,0.36,,0.36,,0.419333333,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,0.33,0.33,,0.27,,0.27,,0.33,,0.33,,0.33,,0.34,,0.34,,0.34,,0.38,,0.38,,0.38,,0.38,,0.38,,0.29,,0.29,,0.28,,0.3,,0.3,,0.3,,0.3,,0.32,,0.32,,0.32,,0.396666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2022,12/31/2021,0.11,0.18,,0.28,,0.28,,0.28,,0.36,,0.36,,0.36,,0.31,,0.31,,0.31,,0.32,,0.33,3/26/2021,0.32,2/28/2021,0.32,1/8/2021,0.29,12/8/2020,0.39,11/7/2020,0.39,10/7/2020,0.39,9/13/2020,0.37,8/6/2020,0.46,7/2/2020,0.46,5/22/2020,0.46,5/20/2020,0.430666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.29,0.29,,0.38,,0.38,,0.38,,0.38,,0.38,,0.38,,0.36,,0.35,,0.35,,0.33,,0.37,,0.37,,0.37,,0.39,,0.41,,0.41,,0.41,,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.38,0.38,,0.32,,0.32,,0.21,,0.32,,0.32,,0.32,,0.31,,0.34,,0.34,,0.34,,0.34,,0.36,,0.36,,0.36,,0.419333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.3,0.3,,0.27,,0.29,,0.29,,0.28,,0.3,,0.3,,0.3,,0.3,,0.32,,0.32,,0.32,,0.396666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,0.35,0.27,,0.29,,0.28,,0.28,,0.29,,0.29,,0.29,,0.31,,0.31,,0.31,,0.38,,0.35,,0.44,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.38,0.38,,0.34,,0.34,,0.32,,0.35,,0.35,,0.35,,0.39,,0.35,,0.44,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.34,0.34,,0.38,,0.38,,0.38,,0.37,,0.32,,0.41,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,0.413323501,0.41,,0.35,,0.31,,0.39,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2020,12/31/2019,0.327753435,0.33,,0.29,,0.32,,0.37,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,0.262261801,0.26,,0.28,,0.31,,0.36,,0.38,,0.39,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,7/1/2019,0.245719209,0.25,,0.27,,0.29,,0.32,,0.34,,0.36,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.17,0.21,,0.23,,0.25,,0.23,,0.29,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2019,12/31/2018,0.238019566,0.24,,0.28,,0.29,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.267635533,0.27,,0.28,,0.29,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.221765758,0.22,,0.22,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,0.080513741,0.08,,0.25,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,0.297105805,,,0.24,,0.29,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.277604507,,,0.29,,0.32,,0.31,,0.3,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.259524096,,,0.29,,0.3,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.192084773,,,0.21,,0.22,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.213777819,,,0.25,,0.26,,0.25,,0.26,,0.25,,0.26,,0.29,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.293701592,,,0.26,,0.27,,0.29,,0.28,,0.34,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.268551826,,,0.25,,0.26,,0.25,,0.29,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.202245539,,,0.19,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.239617939,,,0.21,,0.23,,0.25,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.242783062,,,0.26,,0.28,,0.32,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.20358603,,,0.23,,0.28,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.153714133,,,0.16,,0.18,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
