CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,3/30/2025,,3.01,4/14/2024,3.02,3/10/2024,2.95,1/28/2024,2.89,12/4/2023,2.95,10/28/2023,2.92,10/12/2023,2.83,9/6/2023,2.75,7/28/2023,,6/27/2023,2.26,5/19/2023,2.1,4/15/2023,2.09,3/8/2023,2.09,1/28/2023,2.09,1/6/2023,2.09,12/1/2022,2.15,10/29/2022,2.26,10/7/2022,2.3,9/4/2022,2.2,8/1/2022,2.2,6/24/2022,,5/22/2022,2.07,4/3/2022,2.09,3/1/2022,1.98,1/29/2022,1.98,1/7/2022,1.99,12/6/2021,1.79,10/31/2021,1.72,10/5/2021,1.72,8/31/2021,1.72,7/30/2021,1.72,7/14/2021,1.54,6/15/2021,1.43,5/19/2021,1.44,4/8/2021,1.4,3/4/2021,1.39,2/7/2021,1.16,2/4/2021,0.978571429
,,12/30/2024,,4.26,,4.25,,4.18,,3.9,,3.95,,3.92,,3.82,,3.7,,,,3.22,,3.05,,3.05,,3.12,,3.31,,3.31,,3.39,,3.39,,3.38,,3.35,,3.35,,,,2.96,,2.97,,2.85,,2.88,,2.88,,2.73,,2.66,,2.69,,2.69,,2.69,,2.35,,2.16,,2.15,,2.11,,2.11,,1.71,,1.50047619
,,9/30/2024,,4.79,,4.78,,4.73,,4.65,,4.69,,4.71,,4.61,,4.54,,,,3.97,,3.8,,3.8,,3.81,,3.74,,3.74,,3.74,,3.76,,3.83,,3.86,,3.86,,,,3.34,,3.36,,3.23,,3.2,,3.2,,3.02,,2.93,,2.96,,2.96,,2.96,,2.55,,2.36,,2.34,,2.29,,1.29,,1.9,,1.707063492
,,6/30/2024,,3.96,,3.96,,3.93,,3.87,,3.79,,3.8,,3.78,,3.8,,,,3.4,,3.26,,3.25,,3.24,,3.13,,3.12,,3.11,,2.86,,3.03,,3.11,,3.11,,,,2.72,,2.75,,2.64,,2.64,,2.63,,2.46,,2.42,,2.42,,2.42,,2.42,,2.07,,1.97,,1.94,,1.89,,1.88,,1.7,,1.18515873
,,3/30/2024,,2.7,6/27/2023,2.71,6/27/2023,2.71,6/27/2023,2.69,6/27/2023,2.63,6/27/2023,2.63,6/27/2023,2.6,6/27/2023,2.51,6/27/2023,2.42,6/27/2023,2.26,5/19/2023,2.1,4/15/2023,2.09,3/8/2023,2.09,1/28/2023,2.09,1/6/2023,2.09,12/1/2022,2.15,10/29/2022,2.26,10/7/2022,2.3,9/4/2022,2.2,8/1/2022,2.2,6/24/2022,,5/22/2022,2.07,4/3/2022,2.09,3/1/2022,1.98,1/29/2022,1.98,1/7/2022,1.99,12/6/2021,1.79,10/31/2021,1.72,10/5/2021,1.72,8/31/2021,1.72,7/30/2021,1.72,7/14/2021,1.54,6/15/2021,1.43,5/19/2021,1.44,4/8/2021,1.4,3/4/2021,1.39,2/7/2021,1.16,2/4/2021,0.978571429
,1/25/2024,12/30/2023,3.72,3.72,,3.55,,3.51,,3.48,,3.46,,3.4,,3.31,,3.22,,3.05,,3.05,,3.12,,3.31,,3.31,,3.39,,3.39,,3.38,,3.35,,3.35,,,,2.96,,2.97,,2.85,,2.88,,2.88,,2.73,,2.66,,2.69,,2.69,,2.69,,2.35,,2.16,,2.15,,2.11,,2.11,,1.71,,1.50047619,,,,
,10/26/2023,9/30/2023,4.26,4.28,,4.26,,4.24,,4.2,,4.14,,3.97,,3.8,,3.8,,3.81,,3.74,,3.74,,3.74,,3.76,,3.83,,3.86,,3.86,,,,3.34,,3.36,,3.23,,3.2,,3.2,,3.02,,2.93,,2.96,,2.96,,2.96,,2.55,,2.36,,2.34,,2.29,,1.29,,1.9,,1.707063492,,,,,,,,
,7/27/2023,6/30/2023,3.4,3.55,,3.58,,3.4,,3.26,,3.25,,3.24,,3.13,,3.12,,3.11,,2.86,,3.03,,3.11,,3.11,,,,2.72,,2.75,,2.64,,2.64,,2.63,,2.46,,2.42,,2.42,,2.42,,2.42,,2.07,,1.97,,1.94,,1.89,,1.88,,1.7,,1.18515873,,,,,,,,,,,,,,
,5/18/2023,3/30/2023,2.79,2.29,,2.29,,2.31,,2.24,,2.18,,2.2,,2.16,,2.08,,2.11,,2.11,,2.08,,2.08,,2.07,4/3/2022,2.09,3/1/2022,1.98,1/29/2022,1.98,1/7/2022,1.99,12/6/2021,1.79,10/31/2021,1.72,10/5/2021,1.72,8/31/2021,1.72,7/30/2021,1.72,7/14/2021,1.54,6/15/2021,1.43,5/19/2021,1.44,4/8/2021,1.4,3/4/2021,1.39,2/7/2021,1.16,2/4/2021,0.978571429,,,,,,,,,,,,,,,,,,
,1/26/2023,12/30/2022,3.2,3.2,,3.27,,3.27,,3.3,,3.23,,3.23,,3.22,,3.16,,3.05,,2.96,,2.97,,2.85,,2.88,,2.88,,2.73,,2.66,,2.69,,2.69,,2.69,,2.35,,2.16,,2.15,,2.11,,2.11,,1.71,,1.50047619,,,,,,,,,,,,,,,,,,,,,,,,
