Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
12/31/2020,0.38,3/18/2020,0.62,3/8/2020,0.62,,0.74,,,,,,
9/30/2020,0.31,,0.48,,0.48,,0.56,,,,,,
6/30/2020,1.55,,1.75,,1.75,,1.82,,1.8,,,,
3/31/2020,-0.03,,0.24,,0.24,,0.37,,,,,,
12/31/2019,-0.08,,0.37,,0.62,,0.75,,,,,,
9/30/2019,0.24,,0.4,,0.46,,0.5,,0.58,,,,
6/28/2019,1.473315475,,1.6,,1.65,,1.75,,,,,,
3/29/2019,0.067999005,,0.24,,0.45,,,,,,,,
12/28/2018,5.22394269,,0.55,,0.59,,0.5,,,,,,
9/28/2018,-1.697699,,0.44,,0.26,,,,,,,,
6/29/2018,2.243797469,,1.42,,1.28,,,,,,,,
3/29/2018,-0.001554683,,0.18,,0.29,,,,,,,,
12/29/2017,-0.090410965,,0.9,,0.94,,1.17,,1.28,,,,
9/29/2017,0.063072637,,0.11,,0.2,,0.48,,0.67,,4.37,,
6/30/2017,0.239250396,,4.38,,4.31,,4.47,,4.39,,,,
3/31/2017,0.177336407,,-0.08,,-0.09,,-0.06,,0.08,,,,
12/30/2016,0.485507246,,0.67,,0.81,,1.08,,1.22,,1.5,,
9/30/2016,-0.282608696,,0.11,,0.12,,0.45,,0.61,,0.83,,
6/30/2016,4.094202899,,4.08,,4.1,,4.42,,4.8,,-0.06,,
3/31/2016,0.014492754,,-0.06,,0.04,,0.27,,,,,,
12/31/2015,1.449275362,,1.38,,1.41,,1.45,,1.5,,1.63,,
9/30/2015,0.716312057,,0.67,,1.1,,1.11,,1.2,,1.31,,
6/30/2015,4.713286713,,4.78,,4.92,,4.78,,5.08,,,,
3/31/2015,0.083333333,,0.33,,0.36,,0.39,,0.53,,0.64,,
12/31/2014,0.354166667,,0.6,,0.61,,1.01,,1.26,,1.64,,0.96
9/30/2014,0.347222222,,0.49,,0.68,,0.89,,1.33,,4.18,,
6/30/2014,4.277777778,,4.11,,4.16,,4.71,,,,,,
3/31/2014,0.020833333,,0.05,,0.9,,1.71,,,,,,
12/31/2013,0.668918919,,0.86,,1.69,,1.27,,,,,,
9/30/2013,0.517006803,,0.57,,1.31,,4.95,,,,,,
6/28/2013,5.013422819,,4.94,,1.07,,,,,,,,
3/28/2013,0.946308725,,1.07,,2.02,,,,,,,,
12/31/2012,2.344370861,,2,,1.81,,,,,,,,
9/28/2012,0.816455696,,1.82,,1.76,,,,,,,,
6/29/2012,5.443037975,,5.36,,4.64,,,,,,,,
3/30/2012,0.981012658,,nan,,,,,,,,,,
12/30/2011,1.221518987,,nan,,,,,,,,,,
9/30/2011,1.85443038,,nan,,,,,,,,,,
6/30/2011,4.544303797,,nan,,,,,,,,,,
3/31/2011,1.082278481,,nan,,,,,,,,,,
12/31/2010,0.86,,nan,,,,,,,,,,
9/30/2010,0.39,,nan,,,,,,,,,,
6/30/2010,3.28,,nan,,,,,,,,,,
3/31/2010,-0.01,,nan,,,,,,,,,,
12/31/2009,0.19,,nan,,,,,,,,,,
9/30/2009,0.16,,nan,,,,,,,,,,
6/30/2009,2.35,,nan,,,,,,,,,,
3/31/2009,-0.38,,nan,,,,,,,,,,
12/31/2008,0.79,,nan,,,,,,,,,,
9/30/2008,2.31,,nan,,,,,,,,,,
6/30/2008,4,,nan,,,,,,,,,,
3/31/2008,1.23,,nan,,,,,,,,,,
12/31/2007,1.24,,nan,,,,,,,,,,
9/28/2007,0.38,,nan,,,,,,,,,,
6/29/2007,1.7,,nan,,,,,,,,,,
3/30/2007,-0.08,,nan,,,,,,,,,,
12/29/2006,-0.47,,nan,,,,,,,,,,
9/29/2006,0.01,,nan,,,,,,,,,,
6/30/2006,1.06,,nan,,,,,,,,,,
3/31/2006,-0.37,,nan,,,,,,,,,,
12/30/2005,0.4,,nan,,,,,,,,,,
9/30/2005,0.54,,nan,,,,,,,,,,
6/30/2005,0.99,,nan,,,,,,,,,,
