CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Y/N,,12/31/2026,,0.54,11/29/2025,0.44,10/26/2025,0.44,10/8/2025,0.44,8/31/2025,0.43,7/26/2025,0.43,7/11/2025,,,
,,9/30/2026,,0.61,,0.59,,0.58,,0.58,,0.58,,0.58,,,,
,,6/30/2026,,0.41,,0.34,,0.36,,0.36,,0.43,,0.45,,,,
,,3/30/2026,,0.47,,0.39,,0.39,,0.39,,0.37,,0.38,,,,
,,12/31/2025,,0.42,1/10/2025,0.43,1/10/2025,0.43,1/10/2025,0.43,1/10/2025,0.38,1/10/2025,0.38,1/10/2025,,,
,10/23/2025,9/30/2025,0.74,0.74,,0.49,,0.45,,0.51,,0.51,,,,,,
,7/24/2025,6/30/2025,0.57,0.42,,0.42,,0.42,,0.41,,,,,,,,
,4/24/2025,3/30/2025,0.65,0.29,,0.31,,0.29,,0.3,,,,,,,,
,1/30/2025,12/31/2024,0.55,0.55,3/10/2024,0.3,3/10/2024,0.31,3/10/2024,0.28,3/10/2024,,,,,,,
,10/24/2024,9/30/2024,0.46,0.46,,0.36,,0.37,,0.37,,,,,,,,
,7/25/2024,6/30/2024,0.31,0.31,,0.26,,0.33,,0.37,,,,,,,,
,4/18/2024,3/30/2024,0.42,0.42,,0.26,,0.3,,0.3,,,,,,,,
,1/25/2024,12/31/2023,0.44,0.44,,0.4,,0.41,,0.39,,,,,,,,
,10/19/2023,9/30/2023,0.57,0.57,,0.48,,0.45,,0.48,,,,,,,,
,7/20/2023,6/30/2023,0.28,0.28,,0.4,,0.41,,0.36,,,,,,,,
,4/20/2023,3/30/2023,0.4,0.4,,0.28,,0.24,,0.26,,,,,,,,
,1/26/2023,12/31/2022,0.39,0.39,,0.28,,0.28,,0.27,,,,,,,,
,10/20/2022,9/30/2022,0.5,0.5,,0.24,,0.26,,0.33,,,,,,,,
,7/21/2022,6/30/2022,0.45,0.45,,0.44,,0.46,,0.66,,,,,,,,
,4/21/2022,3/30/2022,0.28,0.28,,0.54,,0.52,,0.57,,,,,,,,
,1/27/2022,12/31/2021,0.78,0.78,,0.72,,0.72,,0.62,,,,,,,,
,10/28/2021,9/30/2021,1.15,1.16,,0.8,,0.8,,0.72,,,,,,,,
,7/22/2021,6/30/2021,1.21,1.21,,1.02,,1.02,,0.88,,,,,,,,
,4/22/2021,3/31/2021,1.46,1.46,,0.97,,0.93,,0.86,,,,,,,,
,1/28/2021,12/31/2020,1.35,1.3,,1.15,,0.81,4/3/2020,0.71,4/3/2020,,,,,,,
