CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,
Adjusted,,12/31/2026,,0.47,1/9/2026,0.55,11/10/2025,0.64,9/22/2025,0.65,8/17/2025,0.67,6/28/2025,0.67,5/14/2025,,,,,,,,,
,,9/30/2026,,0.46,,0.49,,0.52,,0.52,,0.55,,0.57,,,,,,,,,,
,,6/30/2026,,0.51,,0.52,,0.55,,0.54,,0.5,,0.53,,,,,,,,,,
,,3/30/2026,,0.42,,0.45,,0.53,,0.54,,0.55,,0.56,,,,,,,,,,
,,12/31/2025,,0.34,12/22/2024,0.44,12/22/2024,0.56,12/22/2024,0.57,12/22/2024,0.58,12/22/2024,0.59,12/22/2024,,,,,,,,,
,11/6/2025,9/30/2025,0.13,0.32,,0.42,,0.41,,0.43,,0.44,,,,,,,,,,,,
,8/7/2025,6/30/2025,0.28,0.41,,0.34,,0.42,,0.5,,,,,,,,,,,,,,
,5/8/2025,3/30/2025,0.27,0.36,,0.39,,0.5,,0.64,,,,,,,,,,,,,,
,2/27/2025,12/31/2024,0.44,0.63,4/12/2024,0.51,4/12/2024,0.53,4/12/2024,0.57,4/12/2024,,,,,,,,,,,,,
,11/7/2024,9/30/2024,1.27,0.43,,0.43,,0.44,,0.54,,,,,,,,,,,,,,
,8/8/2024,6/30/2024,0.37,0.61,,0.55,,0.57,,0.64,,,,,,,,,,,,,,
,5/9/2024,3/30/2024,0.44,0.67,,0.57,,0.6,,0.68,,,,,,,,,,,,,,
,2/29/2024,12/31/2023,0.79,0.91,4/8/2023,0.72,4/8/2023,0.73,4/8/2023,0.77,4/8/2023,,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.48,0.53,,0.57,,0.57,,0.63,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,0.54,0.59,,0.6,,0.62,,0.68,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.65,0.68,,0.68,,0.72,,0.81,,,,,,,,,,,,,,
,2/23/2023,12/31/2022,0.66,0.71,,0.66,,0.66,,0.67,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,0.23,0.54,,0.63,,0.63,,0.79,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.7,0.74,,0.75,,0.77,,0.77,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,0.29,0.95,,0.95,,0.95,,0.93,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.67,0.75,,0.72,,0.72,,0.72,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.79,0.83,,0.7,,0.68,,0.68,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,-2.3,0.93,,0.69,,0.67,,0.64,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.82,0.9,,0.54,,0.55,,0.53,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,0.28,0.4,,0.46,,0.46,,0.49,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.35,0.35,,0.35,,0.35,,0.28,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.481314571,0.48,,0.45,,0.46,,0.39,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.153836634,0.15,,0.39,,0.41,,0.4,,,,,,,,,,,,,,
,2/26/2020,12/31/2019,-0.176572381,0.37,,0.33,,0.32,,0.31,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,-0.097718427,0.21,,0.23,,0.22,,0.2,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,0.153211847,0.28,,0.3,,0.29,,0.41,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,-0.120460164,0.31,,0.24,,0.35,,,,,,,,,,,,,,,,
,2/26/2019,12/31/2018,-0.439176762,0.15,,0.17,,0.28,,0.27,,,,,,,,,,,,,,
,11/6/2018,9/28/2018,-0.412789409,0.2,,0.22,,0.6,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.364226884,0.49,,0.54,,0.59,,,,,,,,,,,,,,,,
,5/8/2018,3/29/2018,0.52,0.5,,0.62,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,0.809968047,,,0.67,,0.82,,0.77,,,,,,,,,,,,,,
,10/31/2017,9/29/2017,0.60044832,,,0.6,,0.61,,0.62,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.647580407,,,0.64,,0.66,,0.63,,,,,,,,,,,,,,
,5/2/2017,3/31/2017,0.771914324,,,0.74,,0.77,,0.75,,,,,,,,,,,,,,
,,12/30/2016,0.87454102,,,0.66,,0.65,,0.66,,,,,,,,,,,,,,
,,9/30/2016,0.568082657,,,0.5,,0.51,,0.52,,,,,,,,,,,,,,
,,6/24/2016,0.605993548,,,0.54,,0.55,,0.56,,0.58,,0.57,,,,,,,,,,
,,3/24/2016,0.686528971,,,0.63,,0.65,,0.67,,,,,,,,,,,,,,
,,12/31/2015,0.627302055,,,0.57,,0.58,,0.62,,0.59,,0.6,,0.59,,0.61,,,,,,
,,9/30/2015,0.449855872,,,0.45,,0.44,,0.45,,0.46,,0.42,,,,,,,,,,
,,6/26/2015,0.268617749,,,0.49,,0.5,,0.49,,,,,,,,,,,,,,
,,3/31/2015,0.548901506,,,0.53,,0.54,,0.55,,0.49,,,,,,,,,,,,
,,12/31/2014,0.51756601,,,0.5,,0.51,,0.5,,0.49,,0.485,,0.465,,0.47,,0.48,,0.37,,
,,9/30/2014,0.385541004,,,0.37,,0.36,,0.37,,0.38,,0.385,,0.38,,0.375,,0.38,,0.375,,0.41
,,6/30/2014,0.399046938,,,0.42,,0.44,,0.445,,0.44,,0.435,,0.405,,0.45,,,,,,
,,3/31/2014,0.452290613,,,0.46,,0.45,,0.48,,0.475,,0.48,,0.47,,0.46,,0.41,,,,
,,12/31/2013,0.410267661,,,0.41,,0.38,,0.405,,0.385,,0.38,,0.4,,0.405,,0.325,,,,
,,9/27/2013,0.323220431,,,0.325,,0.33,,0.345,,,,,,,,,,,,,,
,,6/28/2013,0.385393258,,,0.345,,0.35,,0.405,,,,,,,,,,,,,,
,,3/28/2013,0.423265807,,,0.405,,0.415,,0.405,,0.38,,,,,,,,,,,,
,,12/31/2012,0.372478757,,,0.38,,0.275,,,,,,,,,,,,,,,,
,,9/21/2012,0.277201636,,,0.27,,,,,,,,,,,,,,,,,,
,,6/22/2012,0.306258295,,,0.28,,,,,,,,,,,,,,,,,,
,,3/23/2012,0.342581226,,,0.275,,,,,,,,,,,,,,,,,,
,,12/23/2011,0.32323746,,,nan,,,,,,,,,,,,,,,,,,
,,9/23/2011,0.214745884,,,nan,,,,,,,,,,,,,,,,,,
,,6/27/2011,0.234923107,,,nan,,,,,,,,,,,,,,,,,,
,,3/25/2011,0.310129285,,,nan,,,,,,,,,,,,,,,,,,
,,12/23/2010,0.276793709,,,nan,,,,,,,,,,,,,,,,,,
,,9/24/2010,0.151527932,,,nan,,,,,,,,,,,,,,,,,,
,,6/25/2010,0.245819584,,,nan,,,,,,,,,,,,,,,,,,
,,3/26/2010,0.316601606,,,nan,,,,,,,,,,,,,,,,,,
,,12/24/2009,0.245475073,,,nan,,,,,,,,,,,,,,,,,,
,,9/25/2009,0.20954268,,,nan,,,,,,,,,,,,,,,,,,
,,6/26/2009,0.253260209,,,nan,,,,,,,,,,,,,,,,,,
,,3/27/2009,0.321922258,,,nan,,,,,,,,,,,,,,,,,,
,,12/26/2008,0.220389857,,,nan,,,,,,,,,,,,,,,,,,
,,9/26/2008,0.138418382,,,nan,,,,,,,,,,,,,,,,,,
,,6/27/2008,0.13321721,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.149298944,,,nan,,,,,,,,,,,,,,,,,,
,,12/28/2007,0.285462108,,,nan,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.08037766,,,nan,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.114526144,,,nan,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.215211203,,,nan,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.295,,,nan,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.2,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.23,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.23,,,nan,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.205,,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.15,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.155,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.14,,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.138741994,,,nan,,,,,,,,,,,,,,,,,,
,,9/24/2004,0.116199681,,,nan,,,,,,,,,,,,,,,,,,
,,6/25/2004,-0.036964142,,,nan,,,,,,,,,,,,,,,,,,
,,3/26/2004,0.116893493,,,nan,,,,,,,,,,,,,,,,,,
,,12/26/2003,0.11382327,,,nan,,,,,,,,,,,,,,,,,,
,,9/26/2003,0.048170225,,,nan,,,,,,,,,,,,,,,,,,
,,6/27/2003,0.150758375,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.152374743,,,nan,,,,,,,,,,,,,,,,,,
,,12/27/2002,0.14742054,,,nan,,,,,,,,,,,,,,,,,,
,,9/27/2002,0.131543877,,,nan,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.147548599,,,nan,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.149370996,,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.126854175,,,nan,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.115028176,,,nan,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.137935976,,,nan,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.139218811,,,nan,,,,,,,,,,,,,,,,,,
,,12/29/2000,-0.045,,,nan,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.11936055,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.127006499,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.106451077,,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.090551245,,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.098997694,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.099259617,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.091506158,,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.0825,,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.071566079,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.070399674,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.040732623,,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.0675,,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.057588896,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.053109861,,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.048454363,,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.05,,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.042848174,,,nan,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.037961966,,,nan,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.032844876,,,nan,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.035,,,nan,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.027382885,,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.037793023,,,nan,,,,,,,,,,,,,,,,,,
