CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
N,,12/31/2026,,0.75,1/7/2026,0.78,11/9/2025,0.78,9/21/2025,0.78,8/16/2025,0.75,6/26/2025,0.75,5/13/2025,
,,9/30/2026,,0.75,,0.77,,0.8,,0.8,,0.81,,0.82,,
,,6/30/2026,,0.87,,0.89,,0.86,,0.86,,0.8,,0.8,,
,,3/30/2026,,0.6,,0.61,,0.61,,0.61,,0.59,,0.58,,
,,12/31/2025,,0.67,2/28/2025,0.68,2/28/2025,0.69,2/28/2025,0.67,2/28/2025,0.64,2/28/2025,0.7,2/28/2025,
,11/5/2025,9/30/2025,0.45,0.66,,0.67,,0.67,,0.65,,0.69,,,,
,8/6/2025,6/30/2025,0.58,0.81,,0.72,,0.73,,0.77,,,,,,
,5/7/2025,3/30/2025,0.8,0.48,,0.45,,0.49,,0.49,,,,,,
,2/26/2025,12/31/2024,0.52,0.65,4/12/2024,0.69,4/12/2024,0.7,4/12/2024,0.72,4/12/2024,,,,,
,11/5/2024,9/30/2024,0.39,0.69,,0.68,,0.71,,0.75,,,,,,
,8/13/2024,6/30/2024,0.47,0.73,,0.82,,0.83,,0.8,,,,,,
,5/7/2024,3/30/2024,0.46,0.51,,0.56,,0.56,,0.65,,,,,,
,2/28/2024,12/31/2023,-0.38,0.59,4/4/2023,0.57,4/4/2023,0.61,4/4/2023,0.68,4/4/2023,,,,,
,11/7/2023,9/30/2023,0.51,0.62,,0.62,,0.64,,0.64,,,,,,
,8/8/2023,6/30/2023,0.64,0.76,,0.75,,0.78,,0.8,,,,,,
,5/3/2023,3/30/2023,0.58,0.59,,0.55,,0.6,,0.6,,,,,,
,2/22/2023,12/31/2022,-0.01,0.58,,0.57,,0.56,,0.57,,,,,,
,11/2/2022,9/30/2022,0.72,0.58,,0.55,,0.55,,0.89,,,,,,
,8/4/2022,6/30/2022,0.87,0.9,,0.95,,0.95,,0.96,,,,,,
,5/5/2022,3/31/2022,0.67,0.65,,0.63,,0.68,,0.68,,,,,,
,2/24/2022,12/31/2021,0.73,0.72,,0.69,,0.69,,0.75,,,,,,
,11/4/2021,9/30/2021,0.66,0.85,,0.77,,0.77,,0.69,,,,,,
,8/5/2021,6/30/2021,0.82,0.96,,0.71,,0.71,,0.71,,,,,,
,5/6/2021,3/31/2021,0.21,0.64,,0.41,,0.74,,0.73,,,,,,
,2/25/2021,12/31/2020,0.68,0.85,,0.83,,0.84,,0.62,,,,,,
,11/5/2020,9/30/2020,0.61,0.85,,0.51,,0.51,,0.2,,,,,,
,8/6/2020,6/30/2020,0.99,0.39,,-0.23,,-0.33,,-0.33,,,,,,
,5/21/2020,3/31/2020,0.2,0.3,,0.4,,0.69,,0.71,,,,,,
,2/27/2020,12/31/2019,0.55,0.64,,0.69,,0.69,,0.69,,,,,,
,11/7/2019,9/30/2019,0.655002349,0.71,,0.71,,0.72,,0.71,,,,,,
,8/8/2019,6/28/2019,0.846479204,0.81,,0.81,,0.82,,0.8,,,,,,
,5/2/2019,3/29/2019,0.393956087,0.66,,0.6,,0.61,,0.64,,,,,,
,3/7/2019,12/31/2018,0.432952306,0.71,,0.63,,0.62,,0.58,,,,,,
,11/1/2018,9/28/2018,0.134095388,0.64,,0.58,,0.57,,0.56,,,,,,
,8/2/2018,6/29/2018,0.476611186,0.73,,0.68,,0.66,,,,,,,,
,5/3/2018,3/29/2018,0.267121116,0.56,,0.56,,0.52,,,,,,,,
,3/8/2018,12/29/2017,0.57357262,,,0.47,,0.52,,0.51,0.54,,,,,
,11/2/2017,9/29/2017,0.409347429,,,0.49,,0.52,,0.61,0.53,,,,,
,8/3/2017,6/30/2017,0.39279752,,,0.59,,0.47,,0.6,0.59,,,,,
,6/29/2017,3/31/2017,0.384418902,,,0.47,,0.46,,,,,,,,
,3/7/2017,12/30/2016,0.194823868,,,0.47,,0.49,,0.48,0.52,,,,,
,11/3/2016,9/30/2016,0.456309904,,,0.49,,0.5,,0.51,0.5,,,,,
,8/4/2016,6/30/2016,0.565182639,,,0.55,,0.56,,0.62,,,,,,
,5/5/2016,3/31/2016,0.428020566,,,0.39,,0.4,,0.42,,,,,,
,,12/31/2015,0.383302472,,,0.47,,0.46,,0.47,0.45,,,,,
,,9/30/2015,0.46840029,,,0.48,,0.47,,0.49,0.45,,,,,
,,6/30/2015,0.477717785,,,0.58,,0.54,,0.51,,,,,,
,,3/31/2015,0.33834159,,,0.35,,0.4,,0.38,0.39,,,,,
,,12/31/2014,0.405590416,,,0.4,,0.39,,0.42,,,,,,
,,9/30/2014,0.42590022,,,0.42,,0.4,,0.42,0.41,,,,,
,,6/30/2014,0.526091935,,,0.42,,0.44,,0.29,,,,,,
,,3/31/2014,0.348155468,,,0.3,,0.36,,0.35,,,,,,
,,12/31/2013,0.318643229,,,0.35,,0.38,,,,,,,,
,,9/30/2013,0.018729373,,,0.4,,0.42,,,,,,,,
,,6/28/2013,0.405780347,,,0.42,,0.41,,0.32,,,,,,
,,3/28/2013,0.311250523,,,0.33,,0.4,,0.41,0.33,,,,,
,,12/31/2012,0.336552069,,,0.33,,0.38,,,,,,,,
,,9/28/2012,0.382545272,,,0.39,,,,,,,,,,
,,6/29/2012,0.407376292,,,0.44,,,,,,,,,,
,,3/30/2012,0.378273357,,,,,,,,,,,,,
,,12/30/2011,0.691164119,,,,,,,,,,,,,
,,9/30/2011,0.341270502,,,,,,,,,,,,,
,,6/30/2011,0.408367364,,,,,,,,,,,,,
,,3/31/2011,0.313604018,,,,,,,,,,,,,
,,12/31/2010,0.349368155,,,,,,,,,,,,,
,,9/30/2010,0.325931533,,,,,,,,,,,,,
,,6/30/2010,0.375390065,,,,,,,,,,,,,
,,3/31/2010,0.267905405,,,,,,,,,,,,,
,,12/31/2009,0.19395274,,,,,,,,,,,,,
,,9/30/2009,0.263959823,,,,,,,,,,,,,
,,6/30/2009,0.310821248,,,,,,,,,,,,,
,,3/31/2009,0.229022869,,,,,,,,,,,,,
,,12/31/2008,0.185234343,,,,,,,,,,,,,
,,9/30/2008,0.208621827,,,,,,,,,,,,,
,,6/30/2008,0.237027812,,,,,,,,,,,,,
,,3/31/2008,0.200184657,,,,,,,,,,,,,
,,12/31/2007,0.21,,,,,,,,,,,,,
,,9/28/2007,0.18,,,,,,,,,,,,,
,,6/29/2007,0.2,,,,,,,,,,,,,
