CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,,,,,
Adjusted Diluted,,12/31/2026,,1.77,1/18/2026,1.73,12/15/2025,1.74,11/4/2025,1.81,9/14/2025,1.75,8/5/2025,1.57,6/20/2025,1.49,5/5/2025,1.7,3/31/2025
,,9/30/2026,,1.57,,1.56,,1.49,,1.41,,1.45,,1.54,,1.48,,1.68,
,,6/30/2026,,1.48,,1.47,,1.46,,1.41,,1.38,,1.28,,1.24,,1.44,
,,3/30/2026,,1.15,,1.17,,1.18,,1.13,,1.13,,1.07,,1.07,,1.29,
,,12/31/2025,,1.77,12/17/2024,1.76,12/17/2024,1.69,12/17/2024,1.64,12/17/2024,1.56,12/17/2024,1.4,12/17/2024,1.4,12/17/2024,1.5,12/17/2024
,10/31/2025,9/30/2025,1.08,1.33,,1.21,,1.29,,1.3,,1.27,,1.39,,,,,
,8/1/2025,6/30/2025,1.35,1.44,,1.13,,1.07,,1.2,,,,,,,,,
,5/2/2025,3/30/2025,0.52,0.78,,0.89,,1.08,,1.27,,,,,,,,,
,2/14/2025,12/31/2024,0.71,1.69,4/5/2024,1.51,4/5/2024,1.51,4/5/2024,1.55,4/5/2024,,,,,,,,
,11/1/2024,9/30/2024,1.68,1.28,,1.43,,1.46,,1.56,,,,,,,,,
,8/2/2024,6/30/2024,1.09,1.35,,1.48,,1.49,,1.57,,,,,,,,,
,5/3/2024,3/30/2024,0.03,1.08,,1.28,,1.47,,1.51,,,,,,,,,
,2/9/2024,12/31/2023,0.94,1.45,3/20/2023,1.45,3/20/2023,1.34,3/20/2023,1.37,3/20/2023,,,,,,,,
,11/3/2023,9/30/2023,1.37,1.46,,1.32,,1.31,,1.26,,,,,,,,,
,8/4/2023,6/30/2023,1.18,1.5,,1.19,,1.13,,1.1,,,,,,,,,
,5/5/2023,3/30/2023,0.73,1.11,,0.85,,1.26,,1.42,,,,,,,,,
,2/10/2023,12/31/2022,0.33,0.91,,1.38,,1.39,,1.37,,,,,,,,,
,11/4/2022,9/30/2022,1,1.07,,1.15,,1.2,,1.2,,,,,,,,,
,7/29/2022,6/30/2022,-0.54,0.96,,0.96,,1,,1.11,,,,,,,,,
,4/29/2022,3/31/2022,1.22,1.28,,1.11,,1.21,,1.26,,,,,,,,,
,2/11/2022,12/31/2021,1.54,1.3,,0.84,,0.84,,1.1,,,,,,,,,
,11/5/2021,9/30/2021,0.04,0.56,,1.37,,1.67,,1.92,,,,,,,,,
,8/6/2021,6/30/2021,1.4,1.4,,1.47,,1.45,,1.47,,,,,,,,,
,5/6/2021,3/31/2021,2.03,1.86,,1.58,,1.61,,1.61,,,,,,,,,
,2/19/2021,12/31/2020,2.45,2.83,,2.01,,1.94,,1.93,,,,,,,,,
,11/6/2020,9/30/2020,1.35,1.95,,1.54,,1.64,,1.64,,,,,,,,,
,8/7/2020,6/30/2020,-2.17,-1.71,,1.61,,1.72,,1.72,,,,,,,,,
,5/7/2020,3/31/2020,0.86,0.86,,1.56,,1.7,,1.7,,,,,,,,,
,2/21/2020,12/31/2019,1.43,1.41,,1.33,,1.59,,1.6,,,,,,,,,
,11/8/2019,9/30/2019,-0.75,1.41,,1.33,,1.45,,1.51,,,,,,,,,
,8/8/2019,6/28/2019,1.42,1.59,,1.54,,1.56,,1.73,,,,,,,,,
,5/9/2019,3/29/2019,3.39,1.63,,1.69,,1.71,,1.85,,,,,,,,,
,2/22/2019,12/31/2018,1.37,1.63,,1.6,,1.62,,1.73,,,,,,,,,
,11/8/2018,9/28/2018,1.61516035,1.56,,1.51,,1.57,,,,,,,,,,,
,8/8/2018,6/29/2018,1.767862186,1.67,,1.74,,1.54,,1.73,,,,,,,,,
,5/10/2018,3/29/2018,1.833842734,1.84,,1.69,,1.71,,,,,,,,,,,
,2/22/2018,12/29/2017,1.54,,,1.56,,1.44,,1.47,,,,,,,,,
,11/9/2017,9/29/2017,1.38,,,1.32,,1.33,,1.32,,,,,,,,,
,8/11/2017,6/30/2017,1.44,,,1.47,,1.48,,1.49,,,,,,,,,
,5/11/2017,3/31/2017,1.51,,,1.34,,1.35,,1.37,,,,,,,,,
,,12/30/2016,1.215666328,,,1.36,,,,,,,,,,,,,
,,9/30/2016,1.293059126,,,1.2,,,,,,,,,,,,,
,,6/30/2016,1.410159212,,,1.34,,,,,,,,,,,,,
,,3/31/2016,1.220238095,,,1.19,,,,,,,,,,,,,
,,12/31/2015,1.167076167,,,1.11,,,,,,,,,,,,,
,,9/30/2015,1.42,,,1.09,,,,,,,,,,,,,
,,6/30/2015,1.16,,,1.18,,,,,,,,,,,,,
,,3/31/2015,1.12,,,1.1,,,,,,,,,,,,,
,,12/31/2014,1.22,,,1.12,,,,,,,,,,,,,
,,9/30/2014,1.095,,,0.99,,,,,,,,,,,,,
,,6/30/2014,1.16,,,1.11,,,,,,,,,,,,,
,,3/31/2014,0.88,,,0.99,,,,,,,,,,,,,
,,12/31/2013,1.015,,,0.77,,,,,,,,,,,,,
,,9/30/2013,0.695,,,0.67,,,,,,,,,,,,,
,,6/28/2013,0.89,,,0.82,,,,,,,,,,,,,
,,3/28/2013,0.785,,,0.72,,,,,,,,,,,,,
,,12/31/2012,0.745,,,,,,,,,,,,,,,,
,,9/28/2012,0.83,,,,,,,,,,,,,,,,
,,6/29/2012,0.74,,,,,,,,,,,,,,,,
