CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
N,,12/31/2023,,0.97,10/5/2022,0.96,9/2/2022,0.96,7/31/2022,1.01,7/5/2022,1.01,6/3/2022,1.01,5/1/2022,1.01,3/27/2022,,2/26/2022,0.91,1/11/2022,0.92,1/10/2022,0.91,,,,
,,9/30/2023,,0.87,,0.87,,0.88,,0.92,,0.92,,0.92,,0.92,,,,0.85,,0.86,,0.82,,,,
,,6/30/2023,,0.89,,0.89,,0.89,,0.91,,0.91,,0.91,,0.91,,,,0.84,,0.85,,0.84,,0.83,,
,,3/30/2023,,0.81,,0.81,,0.81,,0.82,,0.82,,0.83,,0.83,,,,0.75,,0.76,,0.75,,0.74,,
,,12/30/2022,,0.89,,0.89,,0.89,,0.94,,0.94,,0.94,,0.96,,0.96,,0.91,1/11/2022,0.92,1/10/2022,0.91,,,,
,,9/30/2022,,0.74,,0.75,,0.8,,0.84,,0.84,,0.84,,0.87,,0.87,,0.85,,0.86,,0.82,,,,
,7/27/2022,6/30/2022,0.54,0.81,,0.8,,0.8,,0.8,,0.8,,0.8,,0.84,,0.85,,0.84,,0.83,,,,,,
,4/27/2022,3/31/2022,0.39,0.74,,0.69,,0.69,,0.75,,0.76,,0.75,,0.74,,,,,,,,,,,,
,2/23/2022,12/31/2021,0.53,0.84,,0.83,,0.83,,0.81,,0.83,,0.904186047,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,0.505915948,0.86,,0.72,,0.73,,0.7,,0.848372093,,,,,,,,,,,,,,,,
,7/28/2021,6/30/2021,0.411295993,0.79,,0.66,,0.67,,0.64,,0.859534884,,,,,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.532501349,0.69,,0.57,,0.66,,0.747906977,,,,,,,,,,,,,,,,,,
,2/18/2021,12/31/2020,1.091499959,0.84,,0.73,,0.72,,0.73,,0.81,,0.83,,0.82,,0.839219331,,,,,,,,,,
,10/28/2020,9/30/2020,0.38111195,0.8,,0.54,,0.52,,0.48,,0.76,,0.75,,0.73,,0.74,,0.749702602,,,,,,,,
,8/10/2020,6/30/2020,-0.004356244,0.33,,0.1,,0.11,,0.77,,0.75,,0.76,,0.73,,0.738513011,,,,,,,,,,
,5/7/2020,3/31/2020,0.106878405,0.48,,0.63,,0.67,,0.68,,0.69,,0.682565056,,,,,,,,,,,,,,
,2/19/2020,12/31/2019,0.17654109,0.68,,0.67,,0.68,,0.71,,0.73,,0.75,,0.71,,0.75,,0.76,,,,,,,,
,10/24/2019,9/30/2019,-0.322215479,0.68,,0.65,,0.66,,0.67,,0.66,,0.68,,,,,,,,,,,,,,
