CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
Non-GAAP,,6/30/2027,,1.46,10/25/2025,1.35,9/8/2025,1.31,8/3/2025,1.07,7/11/2025,1.07,6/3/2025,1.07,4/26/2025
,,3/30/2027,,1.41,,1.29,,1.26,,1,,0.99,,0.99,
,,12/31/2026,,1.39,,1.27,,1.23,,0.94,,0.93,,0.92,
,,9/30/2026,,1.3,,1.21,,1.16,,0.99,,0.98,,0.98,
,,6/30/2026,,1.23,7/11/2025,1.16,7/11/2025,1.13,7/11/2025,1.07,7/11/2025,1.07,6/3/2025,1.07,4/26/2025
,,3/30/2026,,1.17,,1.09,,1.06,,1,,0.99,,0.99,
,,12/31/2025,,1.14,,1.03,,1,,0.94,,0.93,,0.92,
,10/25/2025,9/30/2025,1.24,1.26,,1.21,,1.13,,0.99,,0.98,,0.98,
,7/30/2025,6/30/2025,1.35,1.33,9/16/2024,1.21,9/16/2024,1.2,9/16/2024,1.19,9/16/2024,,,,
,4/23/2025,3/30/2025,1.03,1.04,,1.01,,0.99,,0.88,,,,,
,1/29/2025,12/31/2024,0.92,0.91,,0.88,,0.88,,0.88,,,,,
,10/23/2024,9/30/2024,0.86,0.86,,8.04,,8.04,,8,,,,,
,7/31/2024,6/30/2024,7.78,8.14,10/7/2023,7.58,10/7/2023,7.68,10/7/2023,7.57,10/7/2023,,,,
,4/24/2024,3/30/2024,7.34,7.79,,7.26,,7.14,,6.66,,,,,
,1/24/2024,12/31/2023,7.22,7.52,,7.11,,7.11,,7.09,,,,,
,10/18/2023,9/30/2023,6.66,6.85,,6.12,,6.13,,6.03,,,,,
,7/26/2023,6/30/2023,5.97,5.98,,5.07,,5.07,,5.09,,,,,
,4/19/2023,3/30/2023,6.01,6.99,,6.54,,6.62,,7.9,,,,,
,1/25/2023,12/31/2022,10.77,10.71,,9.99,,9.99,,10.11,,,,,
,10/19/2022,9/30/2022,10.39,10.42,,9.55,,9.55,,9.53,,,,,
,7/27/2022,6/30/2022,8.74,8.83,,7.33,,7.33,,7.38,,,,,
,4/20/2022,3/31/2022,7.3,7.4,,7.6,,7.62,,7.82,,,,,
,1/26/2022,12/31/2021,8.44,8.53,,8.51,,8.51,,8.5,,,,,
,10/20/2021,9/30/2021,8.27,8.36,,8.21,,8.18,,7.77,,,,,
,7/28/2021,6/30/2021,7.98,8.09,,7.55,,7.55,,7.55,,,,,
,4/21/2021,3/31/2021,7.41,7.49,,6.6,,6.59,,6.27,,,,,
,1/27/2021,12/31/2020,5.96,6.03,,5.66,,5.66,,5.66,,,,,
,10/21/2020,9/30/2020,5.5922729,5.67,,5.2,,4.08,,4.31,,,,,
,7/29/2020,6/30/2020,4.726081294,4.78,,4.05,,4.04,,4.21,,,,,
,4/22/2020,3/31/2020,3.879458712,3.98,,3.98,,4.04,,3.94,,,,,
,1/29/2020,12/31/2019,3.427783367,4.01,,3.85,,3.84,,3.16,,,,,
,10/23/2019,9/30/2019,3.09120532,3.18,,3.01,,3.22,,3.24,,,,,
,7/31/2019,6/30/2019,3.507548196,3.62,,3.42,,3.43,,3.42,,,,,
,4/24/2019,3/30/2019,3.467807842,3.7,,3.38,,3.39,,3.35,,,,,
,1/23/2019,12/21/2018,3.507769624,3.87,,3.66,,3.67,,3.35,,,,,
,10/16/2018,9/30/2018,3.226091322,3.36,,3.22,,3.88,,4.19,,,,,
,7/26/2018,6/30/2018,5.82075106,,,4.94,,5.01,,4.67,,,,,
,4/17/2018,3/30/2018,4.331985382,,,4.38,,4.37,,4.38,,,,,
,1/24/2018,12/29/2017,-0.061780495,,,3.68,,3.67,,3.33,,,,,
,10/17/2017,9/30/2017,3.212366761,,,3.46,,3.28,,3.27,,,,,
,,6/30/2017,2.82375407,,,3.03,,2.65,,2.01,,,,,
,,3/30/2017,3.104979092,,,2.55,,2.33,,1.67,,,,,
,,12/30/2016,1.813150052,,,2.19,,1.78,,1.81,,,,,
,,9/30/2016,1.465611581,,,1.78,,1.73,,1.74,,,,,
,,6/30/2016,1.457587715,,,1.64,,1.66,,1.65,,,,,
,,3/31/2016,0.8226675,,,1.1,,1.11,,1.31,,,,,
,,12/31/2015,1.27971442,,,1.43,,1.34,,1.36,,,,,
,,9/30/2015,1.655516304,,,1.71,,1.37,,1.33,,,,,
,,6/30/2015,0.743429138,,,1.47,,1.35,,1.37,,,,,
,,3/31/2015,1.161966079,,,1.3,,1.29,,1.22,,,,,
,,12/31/2014,0.999401286,,,1.13,,1.18,,1.08,,,,,
,,9/30/2014,0.796536772,,,0.93,,0.94,,0.98,,,,,
,,6/30/2014,1.346418991,,,1.23,,1.1,,1.11,,,,,
,,3/31/2014,0.957817707,,,1.17,,1.16,,1.11,,,,,
,,12/31/2013,0.867458095,,,1.03,,0.71,,,,,,,
,,9/30/2013,0.498975858,,,0.71,,0.86,,0.84,,,,,
,,6/30/2013,0.504984622,,,0.71,,0.72,,0.67,,,,,
,,3/30/2013,0.112733229,,,0.37,,0.53,,0.45,,,,,
,,12/21/2012,0.037034682,,,0.44,,0.45,,0.49,,,,,
,,9/30/2012,0.015214978,,,0.41,,,,,,,,,
,,6/30/2012,0.133014826,,,nan,,,,,,,,,
,,3/30/2012,0.377029664,,,nan,,,,,,,,,
,,12/30/2011,0.274767731,,,nan,,,,,,,,,
,,9/30/2011,0.579109868,,,nan,,,,,,,,,
,,6/30/2011,1.006731369,,,nan,,,,,,,,,
,,3/30/2011,1.454510627,,,nan,,,,,,,,,
,,12/30/2010,1.777891751,,,nan,,,,,,,,,
,,9/30/2010,1.547291577,,,nan,,,,,,,,,
,,6/30/2010,1.092650984,,,nan,,,,,,,,,
,,3/30/2010,0.935561138,,,nan,,,,,,,,,
,,12/24/2009,0.540049213,,,nan,,,,,,,,,
,,9/30/2009,0.131339432,,,nan,,,,,,,,,
,,6/30/2009,-0.7,,,nan,,,,,,,,,
,,3/30/2009,-1.58,,,nan,,,,,,,,,
,,12/24/2008,-0.19,,,nan,,,,,,,,,
,,9/30/2008,0.07,,,nan,,,,,,,,,
,,6/30/2008,0.57,,,nan,,,,,,,,,
,,3/31/2008,0.82,,,nan,,,,,,,,,
,,12/31/2007,0.91,,,nan,,,,,,,,,
,,10/1/2007,1.18,,,nan,,,,,,,,,
,,6/30/2007,1.28,,,nan,,,,,,,,,
,,3/30/2007,1.15,,,nan,,,,,,,,,
,,12/29/2006,1.15,,,nan,,,,,,,,,
,,9/30/2006,1.27,,,nan,,,,,,,,,
,,6/30/2006,0.85,,,nan,,,,,,,,,
,,3/30/2006,0.59,,,nan,,,,,,,,,
,,12/30/2005,0.54,,,nan,,,,,,,,,
,,9/30/2005,0.35,,,nan,,,,,,,,,
,,6/30/2005,0.47,,,nan,,,,,,,,,
,,3/31/2005,0.41,,,nan,,,,,,,,,
,,12/30/2004,0.59,,,nan,,,,,,,,,
,,9/30/2004,0.64,,,nan,,,,,,,,,
,,6/30/2004,0.38,,,nan,,,,,,,,,
,,3/31/2004,0.13,,,nan,,,,,,,,,
,,12/31/2003,0.05,,,nan,,,,,,,,,
,,9/30/2003,0.04,,,nan,,,,,,,,,
,,6/30/2003,0.03,,,nan,,,,,,,,,
,,3/31/2003,0.01,,,nan,,,,,,,,,
,,12/31/2002,0.01,,,nan,,,,,,,,,
,,9/30/2002,-0.11,,,nan,,,,,,,,,
,,6/30/2002,-0.24,,,nan,,,,,,,,,
,,3/30/2002,0.01,,,nan,,,,,,,,,
,,12/31/2001,-0.41,,,nan,,,,,,,,,
,,9/30/2001,-0.07,,,nan,,,,,,,,,
,,6/30/2001,0.44,,,nan,,,,,,,,,
,,3/30/2001,0.48,,,nan,,,,,,,,,
,,12/29/2000,0.24,,,nan,,,,,,,,,
,,9/30/2000,-0.76,,,nan,,,,,,,,,
,,6/30/2000,0.55,,,nan,,,,,,,,,
,,3/31/2000,0.48,,,nan,,,,,,,,,
,,12/31/1999,0.28,,,nan,,,,,,,,,
,,9/30/1999,0.19,,,nan,,,,,,,,,
,,6/30/1999,0.093333333,,,nan,,,,,,,,,
,,3/31/1999,-0.126666667,,,nan,,,,,,,,,
,,12/31/1998,-0.72,,,nan,,,,,,,,,
,,9/30/1998,-0.233333333,,,nan,,,,,,,,,
,,6/30/1998,-0.573333333,,,nan,,,,,,,,,
,,3/31/1998,-0.613333333,,,nan,,,,,,,,,
,,12/31/1997,0.03,,,nan,,,,,,,,,
,,9/30/1997,-0.106666667,,,nan,,,,,,,,,
,,6/30/1997,-0.013333333,,,nan,,,,,,,,,
,,3/31/1997,-0.4,,,nan,,,,,,,,,
