CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Earnings,,12/31/2024,,0.78,10/28/2023,0.82,10/7/2023,0.82,8/30/2023,0.8,7/27/2023,0.77,7/14/2023,0.77,6/8/2023,0.77,4/28/2023,,4/2/2023,0.71,2/23/2023,0.69,1/16/2023,0.69,12/8/2022,0.69,11/3/2022,0.69,9/15/2022,0.69,8/13/2022,0.7,7/8/2022,0.7,6/5/2022,0.71,5/2/2022,0.71,3/28/2022,,2/27/2022,0.72,1/29/2022,0.72,12/28/2021,0.72,11/23/2021
,,9/30/2024,,0.78,,0.71,,0.71,,0.69,,0.69,,0.69,,0.68,,,,0.63,,0.64,,0.63,,0.65,,0.65,,0.64,,0.65,,0.65,,0.65,,0.65,,,,0.7,,0.71,,0.71,
,,6/30/2024,,0.77,,0.77,,0.77,,0.75,,0.72,,0.72,,0.71,,,,0.65,,0.65,,0.65,,0.65,,0.68,,0.69,,0.67,,0.67,,0.69,,0.69,,,,0.71,,0.72,,0.72,
,,3/30/2024,,0.71,,0.73,,0.73,,0.71,,0.71,,0.71,,0.7,,,,0.6,,0.6,,0.59,,0.59,,0.63,,0.65,,0.66,,0.66,,0.63,,0.63,,,,0.65,,0.66,,0.66,
,,12/31/2023,,0.66,4/2/2023,0.73,4/2/2023,0.73,4/2/2023,0.71,4/2/2023,0.69,4/2/2023,0.69,4/2/2023,0.69,4/2/2023,0.71,4/2/2023,0.71,2/23/2023,0.69,1/16/2023,0.69,12/8/2022,0.69,11/3/2022,0.69,9/15/2022,0.69,8/13/2022,0.7,7/8/2022,0.7,6/5/2022,0.71,5/2/2022,0.71,3/28/2022,,2/27/2022,0.72,1/29/2022,0.72,12/28/2021,0.72,11/23/2021
,10/26/2023,9/30/2023,0.15,0.8,,0.66,,0.66,,0.62,,0.61,,0.61,,0.61,,0.63,,0.63,,0.64,,0.63,,0.65,,0.65,,0.64,,0.65,,0.65,,0.65,,0.65,,,,0.7,,0.71,,0.71,
,7/26/2023,6/30/2023,0.43,0.71,,0.65,,0.65,,0.65,,0.65,,0.65,,0.65,,0.65,,0.65,,0.68,,0.69,,0.67,,0.67,,0.69,,0.69,,,,0.71,,0.72,,0.72,,,,,,,
,4/26/2023,3/30/2023,0.46,0.69,,0.6,,0.6,,0.6,,0.59,,0.59,,0.63,,0.65,,0.66,,0.66,,0.63,,0.63,,,,0.65,,0.66,,0.66,,,,,,,,,,,,,
,2/22/2023,12/31/2022,0.44,0.65,,0.65,,0.65,,0.64,,0.63,,0.63,,0.63,,0.63,,0.63,,0.64,,0.72,,0.72,1/29/2022,0.72,12/28/2021,0.72,11/23/2021,,,,,,,,,,,,,,,,
,11/2/2022,9/30/2022,2.06,0.4,,0.58,,0.58,,0.58,,0.58,,0.59,,0.59,,0.7,,0.7,,0.71,,0.71,,,,,,,,,,,,,,,,,,,,,,,
