CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2023,,0.59,10/23/2022,0.59,9/17/2022,0.63,8/14/2022,0.63,6/21/2022,0.64,5/14/2022,0.64,4/22/2022,,3/20/2022,0.66,2/19/2022,0.64,1/20/2022,0.65,12/14/2021,0.69,11/6/2021,0.69,10/17/2021,0.64,9/14/2021,0.67,8/8/2021,0.67,7/18/2021,0.67,6/19/2021,0.64,5/22/2021,0.7,5/10/2021,0.7,4/21/2021,0.56,3/19/2021,0.62,2/20/2021,0.62,1/12/2021,0.64,12/11/2020,0.55,11/11/2020,0.55,10/17/2020,0.55,9/20/2020,0.56,8/15/2020,0.56,8/12/2020
,,9/30/2023,,0.44,,0.44,,0.46,,0.49,,0.5,,0.5,,,,0.44,,0.43,,0.41,,0.33,,0.33,,0.41,,0.39,,0.39,,0.39,,0.43,,0.41,,0.41,,0.39,,0.42,,0.42,,0.45,,0.3,,0.3,,0.3,,0.29,,0.29,
,,6/30/2023,,0.84,,0.84,,0.79,,0.74,,0.72,,0.72,,,,0.69,,0.69,,0.69,,0.65,,0.65,,0.65,,0.68,,0.68,,0.68,,0.71,,0.68,,0.68,,0.62,,0.63,,0.63,,0.65,,0.61,,0.61,,0.61,,0.56,,0.56,
,,3/30/2023,,0.54,,0.54,,0.53,,0.52,,0.46,,0.46,,,,0.35,,0.35,,0.34,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,0.31,,0.27,,0.27,,0.22,,0.32,,0.32,,0.33,,0.3,,0.3,,0.3,,0.31,,0.31,
,,12/31/2022,,0.51,,0.51,,0.51,,0.51,,0.55,,0.55,,0.55,,0.66,2/19/2022,0.64,1/20/2022,0.65,12/14/2021,0.69,11/6/2021,0.69,10/17/2021,0.64,9/14/2021,0.67,8/8/2021,0.67,7/18/2021,0.67,6/19/2021,0.64,5/22/2021,0.7,5/10/2021,0.7,4/21/2021,0.56,3/19/2021,0.62,2/20/2021,0.62,1/12/2021,0.64,12/11/2020,0.55,11/11/2020,0.55,10/17/2020,0.55,9/20/2020,0.56,8/15/2020,0.56,8/12/2020
,,9/30/2022,,0.35,,0.34,,0.35,,0.38,,0.4,,0.37,,0.37,,0.44,,0.43,,0.41,,0.33,,0.33,,0.41,,0.39,,0.39,,0.39,,0.43,,0.41,,0.41,,0.39,,0.42,,0.42,,0.45,,0.3,,0.3,,0.3,,0.29,,0.29,
,8/4/2022,6/30/2022,0.48,0.48,,0.55,,0.56,,0.55,,0.55,,0.69,,0.69,,0.69,,0.65,,0.65,,0.65,,0.68,,0.68,,0.68,,0.71,,0.68,,0.68,,0.62,,0.63,,0.63,,0.65,,0.61,,0.61,,0.61,,0.56,,0.56,,,,,
,5/9/2022,3/31/2022,1.6,1.6,,0.23,,0.23,,0.35,,0.35,,0.34,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,0.31,,0.27,,0.27,,0.22,,0.32,,0.32,,0.33,,0.3,,0.3,,0.3,,0.31,,0.31,,,,,,,,,
,2/17/2022,12/31/2021,0.27,0.55,,0.55,,0.57,,0.55,,0.56,,0.56,,0.57,,0.57,,0.57,,0.57,,0.54,4/21/2021,0.54,4/21/2021,0.56,3/19/2021,0.62,2/20/2021,0.62,1/12/2021,0.64,12/11/2020,0.55,11/11/2020,0.55,10/17/2020,0.55,9/20/2020,0.56,8/15/2020,0.56,8/12/2020,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.29,0.44,,0.33,,0.33,,0.37,,0.37,,0.36,,0.37,,0.39,,0.38,,0.39,,0.42,,0.42,,0.45,,0.3,,0.3,,0.3,,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,
