Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,
9/8/2017,1.181080551,,1.23,,1.22,,1.18,,1.17,,1.15,1.13,1.12,1.11,1.12,1.06,1.04,1.05,,,,
6/16/2017,1.320715118,,1.23,,1.22,,1.21,,1.19,,1.17,1.18,1.14,1.11,1.13,,,,,,,
3/24/2017,1.256769225,,1.16,,1.14,,1.13,,1.14,,1.1,1.07,1.08,1.44,,,,,,,,
12/30/2016,1.481643723,,1.44,,1.37,,1.36,,1.39,,1.38,1.29,1.34,1.26,1.25,0.9,,,,,,
9/30/2016,0.959177642,,0.9,,0.87,,0.89,,0.9,,0.86,0.87,0.86,,,,,,,,,
6/17/2016,0.976243364,,0.94,,0.97,,0.93,,0.94,,0.92,0.93,0.98,,,,,,,,,
3/24/2016,0.887184543,,0.98,,0.93,,0.95,,0.93,,0.92,1.1,,,,,,,,,,
12/31/2015,1.176339933,,1.1,,1.11,,1.13,,1.14,,1.13,1.22,1.13,1.14,1.11,1.08,0.74,,,,,
9/4/2015,0.674178888,,0.75,,0.73,,0.72,,0.71,,0.73,0.71,0.7,,,,,,,,,
6/12/2015,0.810708622,,0.79,,0.78,,0.77,,0.78,,0.77,0.76,,,,,,,,,,
3/20/2015,0.811894688,,0.8,,0.78,,0.79,,0.8,,0.79,0.78,0.91,,,,,,,,,
12/31/2014,0.845993872,,0.93,,0.91,,0.9,,0.91,,0.87,0.85,0.61,,,,,,,,,
9/30/2014,0.629175366,,0.61,,0.6,,0.59,,0.65,,,,,,,,,,,,,
6/30/2014,0.673301805,,0.65,,0.66,,0.65,,0.63,,0.66,,,,,,,,,,,
3/31/2014,0.705460289,,0.68,,0.67,,0.65,,0.76,,,,,,,,,,,,,
12/31/2013,0.777930863,,0.76,,0.74,,0.52,,,,,,,,,,,,,,,
9/30/2013,0.534164066,,0.52,,0.51,,0.56,,,,,,,,,,,,,,,
6/14/2013,0.574014266,,0.56,,0.54,,0.56,,,,,,,,,,,,,,,
3/22/2013,0.591161013,,0.55,,0.59,,,,,,,,,,,,,,,,,
12/31/2012,0.642494964,,0.6,,0.41,,,,,,,,,,,,,,,,,
9/11/2012,0.443902761,,0.41,,,,,,,,,,,,,,,,,,,
6/19/2012,0.472586056,,0.46,,,,,,,,,,,,,,,,,,,
3/27/2012,0.347664525,,0.49,,,,,,,,,,,,,,,,,,,
12/30/2011,0.517211726,,nan,,,,,,,,,,,,,,,,,,,
9/9/2011,0.357265103,,nan,,,,,,,,,,,,,,,,,,,
6/17/2011,0.399328783,,nan,,,,,,,,,,,,,,,,,,,
3/25/2011,0.434888424,,nan,,,,,,,,,,,,,,,,,,,
12/31/2010,0.39,,nan,,,,,,,,,,,,,,,,,,,
9/13/2010,0.27,,nan,,,,,,,,,,,,,,,,,,,
6/18/2010,0.37,,nan,,,,,,,,,,,,,,,,,,,
3/26/2010,0.41,,nan,,,,,,,,,,,,,,,,,,,
12/31/2009,0.41,,nan,,,,,,,,,,,,,,,,,,,
9/4/2009,0.31,,nan,,,,,,,,,,,,,,,,,,,
6/12/2009,0.25,,nan,,,,,,,,,,,,,,,,,,,
3/20/2009,0.41,,nan,,,,,,,,,,,,,,,,,,,
12/26/2008,0.19,,nan,,,,,,,,,,,,,,,,,,,
