CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,6/30/2024,,0.39,1/9/2023,0.39,12/4/2022,0.39,10/30/2022,0.32,10/5/2022,,9/2/2022,0.31,7/31/2022,0.31,7/4/2022,0.31,6/2/2022,0.31,5/1/2022,0.31,4/14/2022,0.3,3/12/2022,0.3,2/9/2022,0.27,1/8/2022,,1/7/2022,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2024,,0.35,,0.35,,0.35,,0.26,,,,0.26,,0.26,,0.26,,0.26,,0.23,,0.23,,0.23,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2023,,0.34,,0.34,,0.34,,0.23,,,,0.23,,0.23,,0.23,,0.23,,0.24,,0.24,,0.24,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2023,,0.3,,0.3,,0.3,,0.17,,,,0.17,,0.17,,0.17,,0.17,,0.21,,0.21,,0.21,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2023,,0.31,,0.31,,0.31,,0.32,,0.31,,0.31,7/31/2022,0.31,7/4/2022,0.31,6/2/2022,0.31,5/1/2022,0.31,4/14/2022,0.3,3/12/2022,0.3,2/9/2022,0.27,1/8/2022,,1/7/2022,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2023,,0.26,,0.26,,0.26,,0.26,,0.26,,0.26,,0.26,,0.26,,0.26,,0.23,,0.23,,0.23,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2022,,0.24,,0.24,,0.24,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.24,,0.24,,0.24,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,0.09,0.2,,0.17,,0.17,,0.17,,0.17,,0.17,,0.17,,0.21,,0.21,,0.21,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2022,6/30/2022,0.04,0.15,,0.14,,0.14,,0.14,,0.22,,0.22,,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2022,3/31/2022,0.1,0.21,,0.18,,0.18,,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
