CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,
N,,1/30/2027,,1.14,10/20/2025,1.13,9/7/2025,1.09,7/14/2025,1.08,6/5/2025,,,,,,,,,,,,,,,,
,,10/31/2026,,1.08,,1.09,,1.07,,1.06,,,,,,,,,,,,,,,,,
,,7/31/2026,,1.15,,1.11,,1.1,,1.1,,,,,,,,,,,,,,,,,
,,4/30/2026,,1.11,,1.08,,1.11,,1.13,,,,,,,,,,,,,,,,,
,,1/30/2026,,0.93,2/26/2025,0.92,2/26/2025,0.93,2/26/2025,0.95,2/26/2025,,,,,,,,,,,,,,,,
,,10/31/2025,,0.91,,0.91,,0.9,,0.91,,,,,,,,,,,,,,,,,
,9/2/2025,7/31/2025,0.68,1.08,,0.93,,0.91,,0.88,,,,,,,,,,,,,,,,,
,6/3/2025,4/30/2025,0.61,0.97,,0.82,,0.84,,0.9,,,,,,,,,,,,,,,,,
,3/18/2025,1/31/2025,0.3,0.69,,0.72,,0.72,,0.73,,,,,,,,,,,,,,,,,
,12/9/2024,10/31/2024,0.06,0.78,,0.72,,0.71,,0.75,,,,,,,,,,,,,,,,,
,9/3/2024,7/31/2024,0.4,0.86,,0.68,,0.69,,0.61,,,,,,,,,,,,,,,,,
,6/3/2024,4/29/2024,0.33,0.8,,0.66,,0.67,,0.6,,,,,,,,,,,,,,,,,
,3/19/2024,1/31/2024,0.301526849,0.63,,0.56,,0.52,,0.5,,,,,,,,,,,,,,,,,
,12/5/2023,10/31/2023,0.168418999,0.6,,0.5,,0.48,,0.47,,,,,,,,,,,,,,,,,
,9/5/2023,7/31/2023,0.122548963,0.53,,0.48,,0.45,,0.41,,,,,,,,,,,,,,,,,
,6/5/2023,4/28/2023,0.047548257,0.5,,0.41,,0.36,,0.41,,,,,,,,,,,,,,,,,
,3/21/2023,1/31/2023,-0.002360773,0.37,,0.35,,0.33,,0.31,,,,,,,,,,,,,,,,,
,12/6/2022,10/31/2022,-0.018918791,0.38,,0.35,,0.36,,0.35,,,,,,,,,,,,,,,,,
,9/6/2022,7/29/2022,-0.126712694,0.33,,0.33,,0.34,,0.45,,,,,,,,,,,,,,,,,
,6/6/2022,4/29/2022,-0.162326534,0.27,,0.26,,0.27,,0.41,,,,,,,,,,,,,,,,,
,3/22/2022,1/31/2022,-0.392053328,0.2,,0.22,,0.36,,0.4,,,,,,,,,,,,,,,,,
,12/6/2021,10/29/2021,-0.0602985,0.35,,0.35,,0.38,,0.46,,,,,,,,,,,,,,,,,
,9/8/2021,7/30/2021,-0.04551934,0.4,,0.36,,0.44,,0.4,,,,,,,,,,,,,,,,,
,6/7/2021,4/30/2021,-0.031988941,0.38,,0.32,,0.41,,0.39,,,,,,,,,,,,,,,,,
,,1/29/2021,0.068738146,,,0.4,,0.33,,0.36,,,,,,,,,,,,,,,,,
,,10/30/2020,0.022981566,,,0.36,,0.35,,0.45,,,,,,,,,,,,,,,,,
,,7/31/2020,-0.001382304,,,0.27,,0.45,,0.46,,,,,,,,,,,,,,,,,
,,4/30/2020,0.025258673,,,0.44,,0.45,,0.33,,,,,,,,,,,,,,,,,
,,1/31/2020,-0.002680587,,,0.35,,0.19,,0.12,,,,,,,,,,,,,,,,,
,,10/31/2019,-0.302506948,,,0.22,,0.2,,0.31,,,,,,,,,,,,,,,,,
,,7/31/2019,0.295289938,,,0.35,,0.37,,0.35,,,,,,,,,,,,,,,,,
,,4/30/2019,0.654481151,,,0.34,,0.35,,0.36,,,,,,,,,,,,,,,,,
,,1/31/2019,0.205872199,,,0.19,,0.2,,0.21,,,,,,,,,,,,,,,,,
,,10/31/2018,0.245388984,,,0.25,,0.24,,0.23,,,,,,,,,,,,,,,,,
,,7/31/2018,0.355174535,,,0.28,,0.27,,0.26,,,,,,,,,,,,,,,,,
,,4/30/2018,0.36011995,,,0.28,,0.27,,0.25,,,,,,,,,,,,,,,,,
,,1/31/2018,0.094797001,,,0.09,,0.08,,0.09,,,,,,,,,,,,,,,,,
,,10/31/2017,0.169425228,,,0.13,,0.15,,,,,,,,,,,,,,,,,,,
,,7/31/2017,0.274362503,,,0.15,,0.14,,0.15,,,,,,,,,,,,,,,,,
,,4/28/2017,0.228485342,,,0.16,,0.17,,,,,,,,,,,,,,,,,,,
,,1/31/2017,0.066979965,,,0.04,,0.05,,,,,,,,,,,,,,,,,,,
,,10/31/2016,0.100011652,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,7/29/2016,0.13801948,,,0.13,,,,,,,,,,,,,,,,,,,,,
,,4/29/2016,0.135911379,,,0.13,,,,,,,,,,,,,,,,,,,,,
,,1/29/2016,0.052642208,,,0.04,,,,,,,,,,,,,,,,,,,,,
,,10/30/2015,0.068963772,,,0.07,,,,,,,,,,,,,,,,,,,,,
,,7/31/2015,0.075018666,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,4/30/2015,0.086151982,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,1/30/2015,0.023828974,,,0.03,,,,,,,,,,,,,,,,,,,,,
