Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,
,3/31/2021,0.15,5/18/2020,0.15,4/14/2020,0.15,3/9/2020,0.17,2/12/2020,0.17,1/20/2020,0.17,1/18/2020,0.17,,0.18,,
,12/31/2020,0.17,,0.17,,0.17,,0.15,,0.15,,0.15,,0.15,,,,
,9/30/2020,0.17,,0.17,,0.17,,0.17,,0.17,,0.17,,0.17,,0.18,,
,6/30/2020,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,,,,
,3/31/2020,0.13,,0.13,,0.13,,0.14,,0.14,,0.14,,0.14,,0.17,,0.16
2/12/2020,12/31/2019,0.15,,0.15,,0.15,,0.15,,0.14,,,,,,,,
11/13/2019,9/30/2019,0.175391896,,0.18,,0.17,,0.18,,,,,,,,,,
8/14/2019,6/28/2019,0.10663109,,0.04,,,,,,,,,,,,,,
6/13/2019,3/29/2019,0.137563,,0.16,,0.2,,,,,,,,,,,,
2/7/2019,12/31/2018,0.153876621,,0.15,,0.2,,,,,,,,,,,,
,9/28/2018,0.179321967,,0.179321967,,0.17,,,,,,,,,,,,
8/9/2018,6/29/2018,0.026211279,,0.09,,0.18,,,,,,,,,,,,
6/13/2018,3/29/2018,0.123550976,,0.13,,0.18,,0.23,,,,,,,,,,
2/8/2018,12/29/2017,0.052626363,,0.2,,0.18,,0.16,0.19,,,,,,,,,
11/9/2017,9/29/2017,0.071938877,,0.11,,0.1,,0.11,0.16,,,,,,,,,
8/10/2017,6/30/2017,0.051573078,,0.08,,0.07,,0.09,0.11,0.1,,,,,,,,
6/14/2017,3/31/2017,0.160179194,,0.18,,0.17,,0.23,,,,,,,,,,
2/15/2017,12/30/2016,0.185026844,,0.13,,0.19,,0.2,0.21,,,,,,,,,
11/16/2016,9/30/2016,0.099343675,,0.16,,0.15,,,,,,,,,,,,
8/9/2016,7/1/2016,0.110024938,,0.09,,0.1,,,,,,,,,,,,
,4/1/2016,0.21891838,,0.23,,0.22,,,,,,,,,,,,
,12/31/2015,0.213488743,,0.2,,0.19,,0.2,,,,,,,,,,
,9/30/2015,0.155535679,,0.14,,0.15,,0.14,,,,,,,,,,
,6/30/2015,0.091709537,,0.07,,0.08,,0.09,0.1,,,,,,,,,
,3/31/2015,0.211782178,,0.23,,0.22,,0.18,,,,,,,,,,
,12/26/2014,0.202534152,,0.18,,0.19,,0.17,0.18,0.14,,,,,,,,
,9/30/2014,0.082170082,,0.14,,0.13,,0.1,0.09,,,,,,,,,
,6/30/2014,0.07009672,,0.1,,0.11,,0.22,,,,,,,,,,
,3/31/2014,0.205429498,,0.22,,0.21,,0.15,,,,,,,,,,
,12/27/2013,0.18011542,,0.17,,0.18,,0.09,,,,,,,,,,
,9/30/2013,0.115774534,,0.1,,0.1,,,,,,,,,,,,
,6/28/2013,0.083536585,,0.11,,0.17,,,,,,,,,,,,
,3/28/2013,0.188644689,,0.18,,,,,,,,,,,,,,
,12/28/2012,0.163406683,,0.12,,0.12,,,,,,,,,,,,
,9/28/2012,0.076673098,,0.07,,,,,,,,,,,,,,
,6/29/2012,0.091511936,,0.07,,,,,,,,,,,,,,
,3/30/2012,0.194176748,,,,,,,,,,,,,,,,
,12/30/2011,0.159292035,,,,,,,,,,,,,,,,
,9/30/2011,0.10912252,,,,,,,,,,,,,,,,
,6/30/2011,0.054325543,,,,,,,,,,,,,,,,
,3/31/2011,0.162645676,,,,,,,,,,,,,,,,
,12/31/2010,0.079194768,,,,,,,,,,,,,,,,
,9/30/2010,0.12,,,,,,,,,,,,,,,,
,6/30/2010,0.08,,,,,,,,,,,,,,,,
,3/31/2010,0.25,,,,,,,,,,,,,,,,
,12/31/2009,0.12,,,,,,,,,,,,,,,,
,9/30/2009,0.08,,,,,,,,,,,,,,,,
,6/30/2009,0.06,,,,,,,,,,,,,,,,
,3/31/2009,-1.15,,,,,,,,,,,,,,,,
,12/31/2008,-0.88,,,,,,,,,,,,,,,,
,9/30/2008,0.11,,,,,,,,,,,,,,,,
,6/30/2008,0.06,,,,,,,,,,,,,,,,
,3/31/2008,0.16,,,,,,,,,,,,,,,,
,12/31/2007,0.12,,,,,,,,,,,,,,,,
,9/28/2007,0.05,,,,,,,,,,,,,,,,
,6/29/2007,0.1,,,,,,,,,,,,,,,,
,3/30/2007,0.07,,,,,,,,,,,,,,,,
,12/29/2006,0.06,,,,,,,,,,,,,,,,
,9/29/2006,0.54,,,,,,,,,,,,,,,,
,6/30/2006,0.04,,,,,,,,,,,,,,,,
,3/31/2006,0.27,,,,,,,,,,,,,,,,
,12/30/2005,0.05,,,,,,,,,,,,,,,,
,9/30/2005,0.05,,,,,,,,,,,,,,,,
,6/30/2005,-0.03,,,,,,,,,,,,,,,,
