CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADS Non-GAAP Diluted,,12/31/2023,,4.69,12/11/2022,4.84,11/4/2022,5.17,10/19/2022,5.51,9/15/2022,5.57,8/13/2022,6.83,7/1/2022,11.43,5/31/2022,11.43,5/5/2022,,3/28/2022,5.56,2/27/2022,6.12,1/21/2022,6.12,12/19/2021,7.12,11/20/2021,7.98,10/17/2021,7.98,9/15/2021,7.09,9/9/2021,7.09,8/25/2021,4.8,8/2/2021,4.8,6/27/2021,10.29,5/28/2021,10.29,5/19/2021,10.54,5/2/2021,10.55,4/3/2021,10.55,3/2/2021,10.64,2/2/2021,11,1/2/2021,11.61,11/30/2020,17.09,11/25/2020,12.1,9/22/2020,11.5,8/25/2020,11.29,7/24/2020,11.95,6/11/2020,11.95,5/11/2020
,,9/30/2023,,4.27,,4.46,,4.67,,4.87,,4.96,,4.87,,4.87,,4.87,,,,4.71,,6.11,,6.11,,6.52,,5.44,,5.44,,4.73,,4.73,,2.97,,2.97,,8.71,,8.71,,8.15,,8.16,,8.15,,8.05,,8.1,,8.1,,8.08,,7.86,,7.85,,8.03,,8.45,,8.45,
,,6/30/2023,,4.41,,4.48,,4.51,,4.38,,4.44,,4.54,,4.54,,4.54,,,,3.49,,5.56,,5.56,,6.11,,7.94,,7.94,,7.13,,7.13,,5.01,,5.01,,8.78,,8.78,,8.34,,8.35,,8.34,,8.53,,8.67,,8.38,,8.38,,8.34,,8.25,,8.02,,8.43,,8.43,
,,3/30/2023,,3.49,,3.55,,3.55,,3.62,,3.57,,3.53,,3.53,,3.53,,,,2.83,,4.84,,4.84,,5.48,,5.94,,5.94,,5.58,,5.58,,4.53,,4.53,,6.7,,6.7,,5.98,,5.98,,5.98,,6.17,,6.45,,6.16,,6.16,,6.13,,6.07,,6.06,,6.2,,6.2,
,,12/31/2022,,4.44,,4.84,,5.38,,5.35,,4.79,,4.53,,4.62,,4.5,,4.97,,5.56,2/27/2022,6.12,1/21/2022,6.12,12/19/2021,7.12,11/20/2021,7.98,10/17/2021,7.98,9/15/2021,7.09,9/9/2021,7.09,8/25/2021,4.8,8/2/2021,4.8,6/27/2021,10.29,5/28/2021,10.29,5/19/2021,10.54,5/2/2021,10.55,4/3/2021,10.55,3/2/2021,10.64,2/2/2021,11,1/2/2021,11.61,11/30/2020,17.09,11/25/2020,12.1,9/22/2020,11.5,8/25/2020,11.29,7/24/2020,11.95,6/11/2020,11.95,5/11/2020
,11/3/2022,9/30/2022,3.97,4.72,,4.29,,4.24,,4.38,,4.42,,4.47,,3.85,,4.45,,4.71,,6.11,,6.11,,6.52,,5.44,,5.44,,4.73,,4.73,,2.97,,2.97,,8.71,,8.71,,8.15,,8.16,,8.15,,8.05,,8.1,,8.1,,8.08,,7.86,,7.85,,8.03,,8.45,,8.45,,,
,8/3/2022,6/30/2022,3.38,3.77,,3.7,,3.76,,3.38,,3.97,,3.49,,5.56,,5.56,,6.11,,7.94,,7.94,,7.13,,7.13,,5.01,,5.01,,8.78,,8.78,,8.34,,8.35,,8.34,,8.53,,8.67,,8.38,,8.38,,8.34,,8.25,,8.02,,8.43,,8.43,,,,,,,,,
,5/24/2022,3/30/2022,2.44,3.47,,2.7,,3.34,,2.83,,4.84,,4.84,,5.48,,5.94,,5.94,,5.58,,5.58,,4.53,,4.53,,6.7,,6.7,,5.98,,5.98,,5.98,,6.17,,6.45,,6.16,,6.16,,6.13,,6.07,,6.06,,6.2,,6.2,,,,,,,,,,,,,
,2/24/2022,12/31/2021,2.03,3.71,,4.28,,4.28,,5.22,,7.03,,7.24,,7.52,,7.79,,7.81,,6.8,,9.82,,10.4,,10.54,5/2/2021,10.55,4/3/2021,10.55,3/2/2021,10.64,2/2/2021,11,1/2/2021,11.61,11/30/2020,17.09,11/25/2020,12.1,9/22/2020,11.5,8/25/2020,11.29,7/24/2020,11.95,6/11/2020,11.95,5/11/2020,,,,,,,,,,,,,,,,,,
,11/18/2021,9/30/2021,4.04,4.61,,5.31,,5.44,,5.53,,5.7,,6.15,,5.4,,7.75,,8.06,,8.15,,8.16,,8.15,,8.05,,8.1,,8.1,,8.08,,7.86,,7.85,,8.03,,8.45,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,
