CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,2.2,11/4/2022,2.1,10/19/2022,2.1,9/15/2022,2.1,8/13/2022,2.03,7/15/2022,2.03,6/14/2022,2.03,5/12/2022,2.03,4/22/2022,,3/20/2022,1.72,2/18/2022,1.46,1/17/2022,1.4,12/11/2021,1.16,11/6/2021,1.16,10/12/2021,1.16,9/10/2021,1.09,8/7/2021,1.09,7/9/2021,1.08,6/7/2021,1.08,5/9/2021,0.89,4/19/2021,0.89,3/19/2021,0.91,2/19/2021,0.89,1/8/2021,0.88,12/8/2020,0.88,11/7/2020,0.88,10/9/2020,0.81,,0.991891892
,,9/30/2023,,2.12,,2.09,,2.09,,2.09,,1.96,,1.95,,1.95,,1.95,,,,1.75,,1.47,,1.45,,1.12,,1.12,,1.12,,1.06,,1.06,,1.05,,1.05,,0.85,,0.85,,0.85,,0.83,,0.83,,0.83,,0.83,,0.76,,0.936786787
,,6/30/2023,,2.05,,2.08,,2.08,,2.08,,2,,2,,2,,2,,,,2.11,,1.64,,1.58,,1.14,,1.14,,1.14,,1.04,,1.04,,1.03,,1.03,,1.06,,1.06,,0.95,,0.78,,0.78,,0.76,,0.76,,0.73,,0.892702703
,,3/30/2023,,2.07,,2,,2,,2,,1.92,,1.91,,1.91,,1.91,,,,2.92,,1.88,,1.73,,1.1,,1.1,,1.09,,0.97,,0.97,,0.96,,0.96,,1.37,,1.37,,1.17,,0.78,,0.78,,0.71,,0.71,,0.73,,0.837597598
,,12/31/2022,,2.12,,2.06,,2.06,,2.06,,1.88,,1.88,,1.86,,1.73,,1.73,,1.72,2/18/2022,1.46,1/17/2022,1.4,12/11/2021,1.16,11/6/2021,1.16,10/12/2021,1.16,9/10/2021,1.09,8/7/2021,1.09,7/9/2021,1.08,6/7/2021,1.08,5/9/2021,0.89,4/19/2021,0.89,3/19/2021,0.91,2/19/2021,0.89,1/8/2021,0.88,12/8/2020,0.88,11/7/2020,0.88,10/9/2020,0.81,,0.991891892
,11/3/2022,9/30/2022,2.1,2.57,,2.37,,2.37,,2.37,,2,,2,,1.97,,1.79,,1.78,,1.75,,1.47,,1.45,,1.12,,1.12,,1.12,,1.06,,1.06,,1.05,,1.05,,0.85,,0.85,,0.85,,0.83,,0.83,,0.83,,0.83,,0.76,,0.936786787
,8/4/2022,6/30/2022,2.77,3.31,,2.97,,2.97,,2.9,,2.24,,2.24,,2.11,,1.64,,1.58,,1.14,,1.14,,1.14,,1.04,,1.04,,1.03,,1.03,,1.06,,1.06,,0.95,,0.78,,0.78,,0.76,,0.76,,0.73,,0.892702703,,,,,,
,5/5/2022,3/30/2022,3.09,3.49,,3.2,,3.2,,2.92,,1.88,,1.73,,1.1,,1.1,,1.09,,0.97,,0.97,,0.96,,0.96,,1.37,,1.37,,1.17,,0.78,,0.78,,0.71,,0.71,,0.73,,0.837597598,,,,,,,,,,,,
,2/17/2022,12/31/2021,2.42,2.95,,2.47,,2.2,,1.13,,1.13,,1.12,,0.94,,0.94,,0.94,,0.89,,0.89,4/19/2021,0.89,3/19/2021,0.91,2/19/2021,0.89,1/8/2021,0.88,12/8/2020,0.88,11/7/2020,0.88,10/9/2020,0.81,,0.991891892,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,1.54,1.73,,1.3,,1.3,,0.95,,0.95,,0.95,,0.85,,0.85,,0.85,,0.85,,0.83,,0.83,,0.83,,0.83,,0.76,,0.936786787,,,,,,,,,,,,,,,,,,,,,,,,
