CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,2.96,1/15/2023,2.96,12/8/2022,2.85,11/2/2022,2.94,10/5/2022,2.94,9/2/2022,2.95,7/30/2022,2.95,7/15/2022,2.95,6/14/2022,2.45,5/11/2022,2.45,4/20/2022,,3/18/2022,2.66,2/16/2022,2.7,1/5/2022,2.7,12/4/2021,2.7,10/28/2021,2.32,10/18/2021,2.32,10/17/2021
,,9/30/2023,,2.7,,2.7,,2.7,,2.88,,2.88,,2.88,,2.88,,2.88,,2.35,,2.35,,,,2.68,,2.53,,2.53,,2.53,,2.24,,2.24,
,,6/30/2023,,2.68,,2.68,,2.68,,2.81,,2.81,,2.84,,2.84,,2.84,,2.34,,2.34,,,,2.67,,2.44,,2.44,,2.44,,2.13,,2.13,
,,3/30/2023,,2.66,,2.66,,2.66,,2.67,,2.67,,2.58,,2.58,,2.58,,2.34,,2.34,,,,2.63,,2.4,,2.4,,2.4,,2.11,,2.11,
,,12/31/2022,,2.7,,2.7,,2.7,,2.72,,2.72,,2.63,,2.65,,2.65,,2.64,,2.66,,2.66,,2.66,2/16/2022,2.7,1/5/2022,2.7,12/4/2021,2.7,10/28/2021,2.32,10/18/2021,2.32,10/17/2021
,11/1/2022,9/30/2022,2.88,2.88,,2.79,,2.79,,2.68,,2.66,,2.66,,2.66,,2.68,,2.68,,2.68,,2.53,,2.53,,2.53,,2.24,,2.24,,,,,
,7/28/2022,6/30/2022,2.9,2.92,,2.68,,2.68,,2.68,,2.67,,2.67,,2.67,,2.44,,2.44,,2.44,,2.13,,2.13,,,,,,,,,,,
,5/3/2022,3/31/2022,2.78,2.76,,2.63,,2.63,,2.63,,2.4,,2.4,,2.4,,2.11,,2.11,,,,,,,,,,,,,,,,,
,2/15/2022,12/31/2021,2.67,2.67,,2.52,,2.52,,2.38,,2.19,,2.19,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,1.83,2.43,,2.18,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
