CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
N,,12/31/2021,0.13,9/30/2020,0.13,9/29/2020,0.135820896,,,,,,,,,,
,,9/30/2021,0.15,,0.15,,0.16,,0.156716418,,,,,,,,
,,6/30/2021,0.18,,0.18,,0.21,,0.198507463,,,,,,,,
,,3/31/2021,0.21,,0.21,,0.25,,0.198507463,,,,,,,,
,,12/31/2020,0.24,,0.24,,0.22,,0.13,,0.19,,0.14,,0.17,,0.19921875
,,9/30/2020,0.3,,0.3,,0.26,,0.15,,0.22,,0.14,,0.17,,0.1875
,7/21/2020,6/30/2020,0.125469667,,0.29,,0.19,,0.25,,0.14,,0.15,,0.1875,,
,4/15/2020,3/31/2020,0.451945224,,0.19,,0.2,,0.26,,0.14,,0.16,,0.1875,,
,3/16/2020,12/31/2019,0.001210856,,0.08,,0.09,,0.1,,0.17,,0.18,,,,
,10/29/2019,9/30/2019,0.076373307,,0.08,,0.09,,0.16,,0.15,,,,,,
,7/24/2019,6/28/2019,0.075068813,,0.08,,0.16,,0.14,,0.15,,,,,,
,4/18/2019,3/29/2019,0.071684736,,0.16,,0.14,,0.15,,,,,,,,
,2/12/2019,12/31/2018,0.219245422,,0.13,,0.15,,0.21,,,,,,,,
,10/17/2018,9/28/2018,0.129290479,,0.12,,0.14,,0.21,,,,,,,,
,7/24/2018,6/29/2018,0.125980178,,0.13,,0.19,,0.21,,,,,,,,
,4/18/2018,3/29/2018,0.1225452,,0.16,,0.17,,0.19,,,,,,,,
,2/14/2017,12/29/2017,-0.458529168,,0.17,,0.19,,0.22,,0.24,,0.2,,,,
,10/23/2017,9/29/2017,0.174166324,,0.17,,0.21,,0.25,,0.27,,,,,,
,7/24/2017,6/30/2017,0.165640171,,0.18,,0.25,,0.26,,,,,,,,
,4/19/2017,3/31/2017,0.158735783,,0.2,,0.22,,0.24,,,,,,,,
,,12/30/2016,0.262981752,,0.24,,0.22,,,,,,,,,,
,,9/30/2016,0.257797425,,0.24,,,,,,,,,,,,
,,6/30/2016,0.24980248,,0.24,,,,,,,,,,,,
,,3/31/2016,0.239238575,,0.23,,,,,,,,,,,,
,,12/31/2015,0.289776399,,0.27,,,,,,,,,,,,
,,9/30/2015,0.280944211,,0.26,,,,,,,,,,,,
,,6/30/2015,0.267475013,,0.26,,,,,,,,,,,,
,,3/31/2015,0.26047951,,0.24,,,,,,,,,,,,
,,12/31/2014,0.249844042,,0.24,,,,,,,,,,,,
,,9/30/2014,0.242665418,,0.22,,,,,,,,,,,,
,,6/30/2014,0.219548778,,0.22,,,,,,,,,,,,
,,3/31/2014,0.209459248,,0.19,,,,,,,,,,,,
,,12/31/2013,0.206203168,,0.2,,,,,,,,,,,,
,,9/30/2013,0.18813467,,0.16,,,,,,,,,,,,
,,6/28/2013,0.151786838,,0.14,,,,,,,,,,,,
,,3/28/2013,0.119687579,,0.11,,,,,,,,,,,,
,,12/31/2012,2.195549836,,nan,,,,,,,,,,,,
,,9/28/2012,0.106168515,,nan,,,,,,,,,,,,
,,6/29/2012,0.054432538,,nan,,,,,,,,,,,,
,,3/30/2012,0.022653865,,nan,,,,,,,,,,,,
,,12/30/2011,0.010538589,,nan,,,,,,,,,,,,
,,9/30/2011,-0.204126936,,nan,,,,,,,,,,,,
,,6/30/2011,-0.349763856,,nan,,,,,,,,,,,,
,,3/31/2011,-0.232093588,,nan,,,,,,,,,,,,
,,12/31/2010,-0.866641248,,nan,,,,,,,,,,,,
,,9/30/2010,-0.198856086,,nan,,,,,,,,,,,,
,,6/30/2010,-0.387908309,,nan,,,,,,,,,,,,
,,3/31/2010,-0.444917867,,nan,,,,,,,,,,,,
,,12/31/2009,-2.492402836,,nan,,,,,,,,,,,,
,,9/30/2009,-0.231770973,,nan,,,,,,,,,,,,
,,6/30/2009,-0.317594964,,nan,,,,,,,,,,,,
,,3/31/2009,-0.026782426,,nan,,,,,,,,,,,,
,,12/31/2008,-1.218107348,,nan,,,,,,,,,,,,
,,9/30/2008,-0.321230894,,nan,,,,,,,,,,,,
,,6/30/2008,0.076709082,,nan,,,,,,,,,,,,
,,3/31/2008,0.105842888,,nan,,,,,,,,,,,,
,,12/31/2007,0.164194109,,nan,,,,,,,,,,,,
,,9/28/2007,0.163873786,,nan,,,,,,,,,,,,
,,6/29/2007,0.149027985,,nan,,,,,,,,,,,,
,,3/30/2007,0.136225651,,nan,,,,,,,,,,,,
,,12/29/2006,1.283966632,,nan,,,,,,,,,,,,
,,9/29/2006,0.178825996,,nan,,,,,,,,,,,,
,,6/30/2006,0.107765517,,nan,,,,,,,,,,,,
,,3/31/2006,0.074003638,,nan,,,,,,,,,,,,
,,12/30/2005,0.071525136,,nan,,,,,,,,,,,,
,,9/30/2005,0.059695119,,nan,,,,,,,,,,,,
,,6/30/2005,0.023291594,,nan,,,,,,,,,,,,
,,3/31/2005,-0.011101821,,nan,,,,,,,,,,,,
,,12/31/2004,-0.579582247,,nan,,,,,,,,,,,,
,,9/30/2004,-0.096556571,,nan,,,,,,,,,,,,
,,6/30/2004,-0.008279406,,nan,,,,,,,,,,,,
,,3/31/2004,-0.068175211,,nan,,,,,,,,,,,,
,,12/31/2003,-0.250210748,,nan,,,,,,,,,,,,
,,9/30/2003,-0.141188119,,nan,,,,,,,,,,,,
,,6/30/2003,0.122513332,,nan,,,,,,,,,,,,
,,3/31/2003,0.287191217,,nan,,,,,,,,,,,,
,,12/31/2002,0.023493374,,nan,,,,,,,,,,,,
,,9/30/2002,0.061869408,,nan,,,,,,,,,,,,
,,6/28/2002,0.035083555,,nan,,,,,,,,,,,,
,,3/28/2002,0.851965156,,nan,,,,,,,,,,,,
,,12/31/2001,-0.016824297,,nan,,,,,,,,,,,,
,,9/28/2001,0.011983706,,nan,,,,,,,,,,,,
,,6/29/2001,0.01135614,,nan,,,,,,,,,,,,
,,3/30/2001,0.008709496,,nan,,,,,,,,,,,,
,,12/29/2000,-0.330976767,,nan,,,,,,,,,,,,
,,9/29/2000,-0.057998129,,nan,,,,,,,,,,,,
,,6/30/2000,-0.156799055,,nan,,,,,,,,,,,,
,,3/31/2000,-0.550883638,,nan,,,,,,,,,,,,
,,12/31/1999,-1.056280664,,nan,,,,,,,,,,,,
,,9/30/1999,-0.824000398,,nan,,,,,,,,,,,,
,,6/30/1999,-0.36808182,,nan,,,,,,,,,,,,
,,3/31/1999,-0.135832429,,nan,,,,,,,,,,,,
,,12/31/1998,0.410235972,,nan,,,,,,,,,,,,
,,9/30/1998,0.368067029,,nan,,,,,,,,,,,,
,,6/30/1998,0.353478105,,nan,,,,,,,,,,,,
,,3/31/1998,0.336961751,,nan,,,,,,,,,,,,
,,12/31/1997,0.315500261,,nan,,,,,,,,,,,,
,,9/30/1997,0.291477873,,nan,,,,,,,,,,,,
,,6/30/1997,0.278971893,,nan,,,,,,,,,,,,
,,3/31/1997,0.268475938,,nan,,,,,,,,,,,,
,,12/31/1996,0.919594546,,nan,,,,,,,,,,,,
,,9/30/1996,0.247053532,,nan,,,,,,,,,,,,
,,6/28/1996,0.214544851,,nan,,,,,,,,,,,,
,,3/29/1996,0.20064533,,nan,,,,,,,,,,,,
,,12/29/1995,0.182673711,,nan,,,,,,,,,,,,
,,9/29/1995,0.169773973,,nan,,,,,,,,,,,,
,,6/30/1995,0.15925245,,nan,,,,,,,,,,,,
