CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2015,0.160099915,,,0.2,,0.23,,0.22,,0.18,,0.23,,0.36,,0.51,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2015,0.000282792,,,-0.03,,-0.02,,-0.03,,-0.01,,0.07,,0.13,,0.21,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2015,-0.294573275,,,-0.22,,-0.25,,-0.2,,-0.18,,-0.08,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2015,-1.282867199,,,-0.19,,0.09,,0.08,,0.22,,0.39,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2014,0.117050517,,,0.2,,0.23,,0.34,,0.35,,0.38,,0.79,,0.58,,0.13,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2014,-0.0292576,,,0.1,,0.13,,0.14,,0.22,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2014,-0.200229106,,,-0.06,,-0.04,,-0.01,,0.11,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2014,-0.018768805,,,0.2,,0.21,,0.65,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2013,0.276972089,,,0.48,,0.49,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2013,0.1822721,,,0.19,,0.24,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2013,-0.019852307,,,-0.02,,0.39,,0.34,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2013,0.742895225,,,0.92,,0.87,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/26/2012,0.66995426,,,0.65,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2012,0.248047619,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/27/2012,0.362417708,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2012,0.852538314,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2011,0.607412329,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2011,0.302466465,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2011,0.396963242,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2011,0.571090047,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2010,0.424315842,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2010,0.150110619,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2010,0.086419069,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2010,0.187166073,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2009,0.318270138,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2009,0.269529948,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2009,0.100223964,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2009,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2008,0.45,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2008,0.19,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2008,0.24,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2008,0.02,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2007,0.36,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2007,0.22,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2007,0.12,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2007,0.21,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
