Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
12/31/2019,0.587648915,3/8/2020,nan,,,,,
9/30/2019,0.565978669,,nan,,,,,
6/28/2019,0.587648915,3/8/2020,nan,,,,,
3/29/2019,0.565978669,,nan,,,,,
12/31/2018,0.586317922,,nan,,,,,
9/28/2018,0.54683076,,nan,,,,,
6/29/2018,0.528492999,,nan,,,,,
3/29/2018,0.507722856,,nan,,,,,
12/29/2017,0.470098118,,nan,,,,,
9/29/2017,0.460498653,,nan,,,,,
6/30/2017,0.427407822,,nan,,,,,
3/31/2017,0.429546261,,nan,,,,,
12/30/2016,0.403328807,,nan,,,,,
9/30/2016,0.421611304,,nan,,,,,
6/30/2016,0.427681302,,nan,,,,,
3/31/2016,0.416944444,,nan,,,,,
12/31/2015,0.350120378,,nan,,,,,
9/30/2015,0.388742435,,nan,,,,,
6/30/2015,0.379302733,,nan,,,,,
3/31/2015,0.389042005,,nan,,,,,
12/31/2014,0.319684354,,nan,,,,,
9/30/2014,0.383322629,,nan,,,,,
6/30/2014,0.349933231,,nan,,,,,
3/31/2014,0.320729782,,nan,,,,,
12/31/2013,0.328173272,,nan,,,,,
9/30/2013,0.315335087,,nan,,,,,
6/28/2013,0.304188532,,nan,,,,,
3/28/2013,0.287678854,,nan,,,,,
12/31/2012,0.327487643,,nan,,,,,
9/28/2012,0.327295113,,nan,,,,,
6/29/2012,0.633463341,,nan,,,,,
3/30/2012,0.296391261,,nan,,,,,
12/30/2011,0.290052417,,nan,,,,,
9/30/2011,0.270724098,,nan,,,,,
6/30/2011,0.257246482,,nan,,,,,
3/31/2011,0.286698566,,nan,,,,,
12/31/2010,0.280579994,,nan,,,,,
9/30/2010,0.292774444,,nan,,,,,
6/30/2010,0.289181508,,nan,,,,,
3/31/2010,0.240595948,,nan,,,,,
12/31/2009,0.238872055,,nan,,,,,
9/30/2009,0.261241731,,nan,,,,,
6/30/2009,0.35153008,,nan,,,,,
3/31/2009,0.367460311,,nan,,,,,
12/31/2008,0.309454483,,nan,,,,,
9/30/2008,0.394630756,,nan,,,,,
6/30/2008,0.37,,nan,,,,,
3/31/2008,0.37,,nan,,,,,
12/31/2007,0.36,,nan,,,,,
9/28/2007,0.35,,nan,,,,,
6/29/2007,0.33,,nan,,,,,
3/30/2007,0.3,,nan,,,,,
12/29/2006,0.31,,nan,,,,,
9/29/2006,0.32,,nan,,,,,
6/30/2006,0.32,,nan,,,,,
3/31/2006,0.3,,nan,,,,,
12/30/2005,0.34,,nan,,,,,
9/30/2005,0.34,,nan,,,,,
6/30/2005,0.31,,nan,,,,,
3/31/2005,0.31,,nan,,,,,
12/31/2004,0.31,,nan,,,,,
9/30/2004,0.3,,nan,,,,,
6/30/2004,0.28,,nan,,,,,
3/31/2004,0.26,,nan,,,,,
12/31/2003,0.27,,nan,,,,,
9/30/2003,0.27,,nan,,,,,
6/30/2003,0.233333333,,nan,,,,,
3/31/2003,0.226666667,,nan,,,,,
12/31/2002,0.233333333,,nan,,,,,
9/30/2002,0.226666667,,nan,,,,,
6/28/2002,0.22,,nan,,,,,
3/28/2002,0.2,,nan,,,,,
12/31/2001,0.19,,nan,,,,,
9/28/2001,0.196666667,,nan,,,,,
6/29/2001,0.193333333,,nan,,,,,
3/30/2001,0.166666667,,nan,,,,,
12/29/2000,0.17,,nan,,,,,
9/29/2000,0.15,,nan,,,,,
6/30/2000,0.16,,nan,,,,,
3/31/2000,0.15,,nan,,,,,
12/31/1999,0.153333333,,nan,,,,,
