CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP RMP ADS,,12/31/2025,,1.35,10/13/2024,2.3,9/6/2024,2.3,8/20/2024,2.3,7/7/2024,2.36,5/28/2024,2.36,4/19/2024,2.6,3/16/2024,2.63,1/23/2024,2.63,12/25/2023,2.69,11/21/2023,2.76,10/12/2023,2.79,9/3/2023,2.83,7/18/2023,2.72,6/10/2023,,5/8/2023,2.36,3/18/2023,1.96,2/24/2023,1.96,1/17/2023,1.75,12/10/2022,1.73,11/8/2022,2.02,10/6/2022,1.54,9/3/2022,1.54,7/13/2022,2.28,6/11/2022,2.28,4/29/2022,,3/26/2022,2.8,3/12/2022,2.8,2/6/2022,2.8,1/6/2022,2.92,12/5/2021,2.6,11/8/2021,2.6,10/4/2021,3.03,8/29/2021,3.49,7/13/2021,3.49,6/14/2021,3.49,5/16/2021,2.85,4/3/2021,3.95,2/21/2021,3.96,1/19/2021,3.97,1/4/2021,4.26,12/2/2020,4.39,11/1/2020,4.39,10/3/2020,4.39,9/30/2020
,,9/30/2025,,1.33,,1.86,,1.86,,1.86,,2.41,,2.41,,2.58,,2.72,,2.72,,2.39,,2.7,,2.76,,2.8,,2.71,,,,2.34,,2.11,,2.11,,1.94,,1.73,,1.99,,1.76,,1.76,,1.79,,1.79,,,,2.15,,2.15,,2.15,,2.34,,2.5,,2.5,,2.3,,3.37,,3.37,,3.37,,2.62,,3.47,,3.47,,3.48,,3.72,,3.8,,3.8,,3.8,
,,6/30/2025,,1.44,,1.82,,1.82,,1.82,,2.38,,2.38,,2.51,,2.71,,2.71,,2.39,,2.64,,2.06,,2.67,,2.57,,,,2.12,,2.01,,2.01,,2.01,,1.9,,2.13,,2.01,,2.01,,1.7,,1.7,,,,2.26,,2.26,,2.26,,2.62,,2.66,,2.66,,3.06,,3.13,,3.13,,3.13,,2.6,,3.04,,3.04,,3.05,,3.73,,3.78,,3.78,,3.78,
,,3/30/2025,,1.72,,2.07,,2.07,,2.07,,2.1,,2.1,,2.22,,2.51,,2.51,,2.08,,2.34,,2.38,,2.41,,2.26,,,,1.76,,1.86,,1.86,,1.91,,1.82,,2.03,,1.95,,1.95,,1.28,,1.28,,,,1.89,,1.89,,1.89,,2.32,,2.36,,2.36,,3.01,,2.93,,2.93,,2.93,,2.24,,2.55,,2.55,,2.56,,3.19,,3.24,,3.24,,3.24,
,,12/31/2024,,1.84,5/28/2024,2.04,5/28/2024,2.06,5/28/2024,2.2,5/28/2024,2.36,5/28/2024,2.36,4/19/2024,2.6,3/16/2024,2.63,1/23/2024,2.63,12/25/2023,2.69,11/21/2023,2.76,10/12/2023,2.79,9/3/2023,2.83,7/18/2023,2.72,6/10/2023,,5/8/2023,2.36,3/18/2023,1.96,2/24/2023,1.96,1/17/2023,1.75,12/10/2022,1.73,11/8/2022,2.02,10/6/2022,1.54,9/3/2022,1.54,7/13/2022,2.28,6/11/2022,2.28,4/29/2022,,3/26/2022,2.8,3/12/2022,2.8,2/6/2022,2.8,1/6/2022,2.92,12/5/2021,2.6,11/8/2021,2.6,10/4/2021,3.03,8/29/2021,3.49,7/13/2021,3.49,6/14/2021,3.49,5/16/2021,2.85,4/3/2021,3.95,2/21/2021,3.96,1/19/2021,3.97,1/4/2021,4.26,12/2/2020,4.39,11/1/2020,4.39,10/3/2020,4.39,9/30/2020
,,9/30/2024,,1.89,,2.01,,2.1,,2.14,,2.41,,2.41,,2.58,,2.72,,2.72,,2.39,,2.7,,2.76,,2.8,,2.71,,,,2.34,,2.11,,2.11,,1.94,,1.73,,1.99,,1.76,,1.76,,1.79,,1.79,,,,2.15,,2.15,,2.15,,2.34,,2.5,,2.5,,2.3,,3.37,,3.37,,3.37,,2.62,,3.47,,3.47,,3.48,,3.72,,3.8,,3.8,,3.8,
,9/3/2024,6/30/2024,2.11,2.38,,2.02,,2.03,,2.38,,2.38,,2.51,,2.71,,2.71,,2.39,,2.64,,2.06,,2.67,,2.57,,,,2.12,,2.01,,2.01,,2.01,,1.9,,2.13,,2.01,,2.01,,1.7,,1.7,,,,2.26,,2.26,,2.26,,2.62,,2.66,,2.66,,3.06,,3.13,,3.13,,3.13,,2.6,,3.04,,3.04,,3.05,,3.73,,3.78,,3.78,,3.78,,,
,5/28/2024,3/30/2024,0.03,0.31,,2.1,,2.1,,2.22,,2.51,,2.51,,2.08,,2.34,,2.38,,2.41,,2.26,,,,1.76,,1.86,,1.86,,1.91,,1.82,,2.03,,1.95,,1.95,,1.28,,1.28,,,,1.89,,1.89,,1.89,,2.32,,2.36,,2.36,,3.01,,2.93,,2.93,,2.93,,2.24,,2.55,,2.55,,2.56,,3.19,,3.24,,3.24,,3.24,,,,,,,
,3/14/2024,12/31/2023,2.32,2.64,5/8/2023,2.48,5/8/2023,2.48,5/8/2023,2.3,5/8/2023,2.31,5/8/2023,2.71,5/8/2023,2.87,5/8/2023,2.88,5/8/2023,2.79,5/8/2023,2.36,3/18/2023,1.96,2/24/2023,1.96,1/17/2023,1.75,12/10/2022,1.73,11/8/2022,2.02,10/6/2022,1.54,9/3/2022,1.54,7/13/2022,2.28,6/11/2022,2.28,4/29/2022,,3/26/2022,2.8,3/12/2022,2.8,2/6/2022,2.8,1/6/2022,2.92,12/5/2021,2.6,11/8/2021,2.6,10/4/2021,3.03,8/29/2021,3.49,7/13/2021,3.49,6/14/2021,3.49,5/16/2021,2.85,4/3/2021,3.95,2/21/2021,3.96,1/19/2021,3.97,1/4/2021,4.26,12/2/2020,4.39,11/1/2020,4.39,10/3/2020,4.39,9/30/2020,,,,,,,,,,,,
,12/8/2023,9/30/2023,2.73,1.52,,2.49,,2.49,,2.72,,2.74,,2.75,,2.72,,2.34,,2.11,,2.11,,1.94,,1.73,,1.99,,1.76,,1.76,,1.79,,1.79,,,,2.15,,2.15,,2.15,,2.34,,2.5,,2.5,,2.3,,3.37,,3.37,,3.37,,2.62,,3.47,,3.47,,3.48,,3.72,,3.8,,3.8,,3.8,,,,,,,,,,,,,,,,,
