Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,
,9/30/2021,0.89,3/30/2020,0.91,3/1/2020,0.91,1/29/2020,0.899672131,1/23/2020,0.899672131,,,,,,,,,,
,6/30/2021,0.84,,0.92,,0.92,,0.922163934,,0.922163934,,,,,,,,,,
,3/31/2021,0.68,,0.74,,0.74,,0.742229508,,0.742229508,,,,,,,,,,
,12/31/2020,0.84,,0.85,,0.85,,0.843442623,,0.843442623,,,,,,,,,,
,9/30/2020,0.71,,0.81,,0.81,,0.8,,0.8,,0.81,,0.82,0.81,0.8,0.81,0.8,0.80645283,
,6/30/2020,0.55,,0.82,,0.82,,0.83,,0.83,,0.82,,0.8,0.85,0.82,0.83,0.81,0.82,0.817811321
,3/31/2020,0.44,,0.59,,0.6,,0.66,,0.66,,0.84,,0.67,0.69,0.68,0.65,0.66,0.647433962,
1/28/2020,12/31/2019,0.74,,0.76,,0.76,,0.75,,0.66,0.77,0.78,0.77,0.78,0.74,0.738301887,,,,
10/30/2019,9/30/2019,0.665975448,,0.7,,0.76,,0.7,0.71,0.7,0.71,0.75,0.74,,,,,,,
7/25/2019,6/28/2019,1.122485691,,0.72,,0.73,,0.71,0.72,0.7,0.76,0.75,,,,,,,,
4/25/2019,3/29/2019,0.530263053,,0.56,,0.57,,0.58,0.59,0.6,,,,,,,,,,
1/24/2019,12/31/2018,0.606829424,,0.65,,0.66,,0.67,0.68,,,,,,,,,,,
11/1/2018,9/28/2018,0.560391488,,0.6,,0.63,,0.66,0.63,0.65,0.67,0.68,0.66,0.68,,,,,,
7/26/2018,6/29/2018,0.613971912,,0.61,,0.66,,0.62,0.61,0.63,0.62,,,,,,,,,
4/26/2018,3/29/2018,0.469287644,,0.53,,0.49,,0.5,0.51,0.52,,,,,,,,,,
1/25/2018,12/29/2017,1.568520842,,0.57,,0.59,,0.6,0.61,,,,,,,,,,,
11/2/2017,9/29/2017,0.533414502,,0.55,,0.58,,0.59,0.61,0.6,0.58,0.59,,,,,,,,
7/27/2017,6/30/2017,0.473893381,,0.55,,0.57,,,,,,,,,,,,,,
4/27/2017,3/31/2017,0.44565811,,0.45,,0.46,,0.47,,,,,,,,,,,,
1/26/2017,12/30/2016,0.511254675,,0.52,,0.55,,0.56,0.55,0.54,,,,,,,,,,
,9/30/2016,0.541734307,,0.55,,0.51,,,,,,,,,,,,,,
,6/30/2016,0.509768134,,0.49,,0.48,,0.47,,,,,,,,,,,,
,3/31/2016,0.386855913,,0.39,,0.4,,,,,,,,,,,,,,
,12/31/2015,0.457393734,,0.45,,0.47,,0.48,0.475,,,,,,,,,,,
,9/25/2015,0.433698903,,0.43,,0.44,,0.435,0.425,0.43,0.425,0.43,,,,,,,,
,6/26/2015,0.413406347,,0.41,,0.4,,0.395,,,,,,,,,,,,
,3/31/2015,0.326343554,,0.33,,0.325,,0.34,0.415,,,,,,,,,,,
,12/31/2014,0.648140823,,0.4,,0.415,,0.42,0.415,0.42,0.415,0.42,0.415,0.41,0.37,,,,,
,9/30/2014,0.386303891,,0.37,,0.375,,0.37,0.365,0.36,0.35,0.345,0.35,0.34,0.33,,,,,
,6/30/2014,0.336859396,,0.33,,0.335,,0.34,0.335,0.34,0.335,0.32,0.28,,,,,,,
,3/31/2014,0.27923097,,0.28,,0.285,,0.305,0.3,0.295,0.345,,,,,,,,,
,12/31/2013,0.35284521,,0.345,,0.3,,,,,,,,,,,,,,
,9/30/2013,-0.818931135,,0.3,,0.295,,0.285,0.27,0.265,,,,,,,,,,
