CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Adjusted,,11/30/2022,0.91,4/24/2021,0.91,3/24/2021,0.91,2/21/2021,,,,,,,,,,,,,,,,
,,8/31/2022,0.92,,0.92,,0.92,,,,,,,,,,,,,,,,,
,,5/29/2022,0.89,,0.89,,0.89,,,,,,,,,,,,,,,,,
,,2/28/2022,0.81,,0.8,,0.8,,,,,,,,,,,,,,,,,
,,11/30/2021,0.82,,0.82,,0.83,2/21/2021,0.82,1/13/2021,0.82,12/1/2020,0.82,11/1/2020,0.82,10/3/2020,0.83,8/23/2020,0.83,7/23/2020,0.83,7/22/2020,,
,,8/31/2021,0.83,,0.83,,0.83,,0.84,,0.84,,0.84,,0.84,,0.79,,0.79,,0.79,,,
,,5/29/2021,0.8,,0.8,,0.79,,0.8,,0.79,,0.79,,0.79,,0.81,,0.81,,0.81,,,
,3/23/2021,2/28/2021,0.37,,0.7,,0.72,,0.72,,0.72,,0.72,,0.73,,0.73,,0.73,,,,,
,1/13/2021,11/30/2020,0.38,,0.67,,0.67,,0.67,,0.72,,0.72,,0.72,,,,,,,,,
,9/29/2020,8/31/2020,0.41,,0.69,,0.69,,0.69,,,,,,,,,,,,,,,
,6/23/2020,5/29/2020,0.18,,0.18,,,,,,,,,,,,,,,,,,,
,3/24/2020,2/28/2020,1.2,,1.2,,,,,,,,,,,,,,,,,,,
,1/14/2020,11/29/2019,0.5,,0.5,,,,,,,,,,,,,,,,,,,
,9/24/2019,8/30/2019,0.1,,0.1,,,,,,,,,,,,,,,,,,,
,6/26/2019,5/31/2019,0.37,,0.37,,,,,,,,,,,,,,,,,,,
,3/26/2019,2/28/2019,0.27,,0.27,,,,,,,,,,,,,,,,,,,
,1/15/2019,11/30/2018,0.2,,0.2,,,,,,,,,,,,,,,,,,,
,9/25/2018,8/31/2018,0.26,,0.26,,,,,,,,,,,,,,,,,,,
,6/26/2018,5/31/2018,0.28,,0.28,,,,,,,,,,,,,,,,,,,
,3/27/2018,2/28/2018,0.59,,0.59,,,,,,,,,,,,,,,,,,,
,1/16/2018,11/30/2017,0.26,,0.26,,,,,,,,,,,,,,,,,,,
,9/26/2017,8/31/2017,0.35,,0.35,,,,,,,,,,,,,,,,,,,
,6/27/2017,5/31/2017,0.24,,0.24,,,,,,,,,,,,,,,,,,,
,3/28/2017,2/28/2017,0.16,,0.16,,,,,,,,,,,,,,,,,,,
,,11/30/2016,0.21,,0.21,,,,,,,,,,,,,,,,,,,
,,8/31/2016,-0.09,,-0.09,,,,,,,,,,,,,,,,,,,
,,5/31/2016,0.21,,0.21,,,,,,,,,,,,,,,,,,,
,,2/29/2016,0.19,,0.19,,,,,,,,,,,,,,,,,,,
,,11/30/2015,0.37,,0.37,,,,,,,,,,,,,,,,,,,
,,8/31/2015,0.24,,0.24,,,,,,,,,,,,,,,,,,,
,,5/29/2015,0.21,,0.21,,,,,,,,,,,,,,,,,,,
,,2/27/2015,0.16,,0.16,,,,,,,,,,,,,,,,,,,
