Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
3/30/2007,0.62,,nan,,,,,,,,,,,,,,
12/29/2006,0.97,,nan,,,,,,,,,,,,,,
9/29/2006,0.55,,nan,,,,,,,,,,,,,,
6/30/2006,0.59,,nan,,,,,,,,,,,,,,
3/31/2006,0.49,,nan,,,,,,,,,,,,,,
12/30/2005,0.5,,nan,,,,,,,,,,,,,,
9/30/2005,0.48,,nan,,,,,,,,,,,,,,
6/30/2005,0.47,,nan,,,,,,,,,,,,,,
3/31/2005,0.39,,nan,,,,,,,,,,,,,,
12/31/2004,0.4,,nan,,,,,,,,,,,,,,
9/30/2004,0.315,,nan,,,,,,,,,,,,,,
6/30/2004,0.34,,nan,,,,,,,,,,,,,,
3/31/2004,0.34,,nan,,,,,,,,,,,,,,
12/31/2003,0.28,,nan,,,,,,,,,,,,,,
9/30/2003,0.28,,nan,,,,,,,,,,,,,,
6/30/2003,0.33,,nan,,,,,,,,,,,,,,
3/31/2003,0.305,,nan,,,,,,,,,,,,,,
12/31/2002,0.225,,nan,,,,,,,,,,,,,,
9/30/2002,0.215,,nan,,,,,,,,,,,,,,
6/28/2002,0.245,,nan,,,,,,,,,,,,,,
3/28/2002,0.23,,nan,,,,,,,,,,,,,,
12/31/2001,0.185,,nan,,,,,,,,,,,,,,
9/28/2001,0.155,,nan,,,,,,,,,,,,,,
6/29/2001,0.17,,nan,,,,,,,,,,,,,,
3/30/2001,0.15,,nan,,,,,,,,,,,,,,
12/29/2000,0.125,,nan,,,,,,,,,,,,,,
9/29/2000,0.125,,nan,,,,,,,,,,,,,,
6/30/2000,0.13,,nan,,,,,,,,,,,,,,
3/31/2000,0.11,,nan,,,,,,,,,,,,,,
12/31/1999,0.1188,,nan,,,,,,,,,,,,,,
9/30/1999,0.1248,,nan,,,,,,,,,,,,,,
6/30/1999,0.1218,,nan,,,,,,,,,,,,,,
3/31/1999,0.1096,,nan,,,,,,,,,,,,,,
12/31/1998,0.1583,,nan,,,,,,,,,,,,,,
9/30/1998,0.1218,,nan,,,,,,,,,,,,,,
6/30/1998,0.1066,,nan,,,,,,,,,,,,,,
3/31/1998,0.1127,,nan,,,,,,,,,,,,,,
12/31/1997,0.2405,,nan,,,,,,,,,,,,,,
9/30/1997,0.1492,,nan,,,,,,,,,,,,,,
6/30/1997,0.0944,,nan,,,,,,,,,,,,,,
