CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
Non-GAAP,,6/30/2027,,1.41,1/9/2026,1.42,11/10/2025,1.43,9/23/2025,1.4,8/17/2025,1.16,6/29/2025,1.16,5/16/2025,,,,,,,
,,3/30/2027,,1.25,,1.26,,1.24,,1.2,,1.03,,1.03,,,,,,,,
,,12/31/2026,,1.39,,1.37,,1.37,,1.38,,1.12,,1.12,,,,,,,,
,,9/30/2026,,1.27,,1.25,,1.23,,1.23,,1.04,,1.04,,,,,,,,
,,6/30/2026,,1.12,6/29/2025,1.13,6/29/2025,1.12,6/29/2025,1.12,6/29/2025,1.16,6/29/2025,1.16,5/16/2025,,,,,,,
,,3/30/2026,,0.98,,0.98,,0.97,,0.96,,1.03,,1.03,,,,,,,,
,,12/31/2025,,1.15,,1.15,,1.11,,1.09,,1.12,,1.12,,,,,,,,
,11/6/2025,9/30/2025,-0.53,1.09,,1.06,,1.05,,1.04,,1.04,,,,,,,,,,
,8/7/2025,6/30/2025,-0.12,1.01,10/1/2024,1,10/1/2024,1,10/1/2024,0.95,10/1/2024,,,,,,,,,,,
,5/8/2025,3/30/2025,-0.56,0.9,,0.86,,0.86,,0.86,,,,,,,,,,,,
,2/6/2025,12/31/2024,0.05,0.92,,0.86,,0.86,,0.84,,,,,,,,,,,,
,11/7/2024,9/30/2024,-0.58,0.81,,0.75,,0.74,,0.69,,,,,,,,,,,,
,8/8/2024,6/30/2024,5.22,0.64,9/26/2023,0.55,9/26/2023,0.54,9/26/2023,0.58,9/26/2023,,,,,,,,,,,
,5/9/2024,3/30/2024,-0.46,0.53,,0.49,,0.5,,0.59,,,,,,,,,,,,
,2/8/2024,12/31/2023,-0.23,0.57,,0.44,,0.47,,0.53,,,,,,,,,,,,
,11/9/2023,9/30/2023,-1.43,0.52,,0.4,,0.36,,0.58,,,,,,,,,,,,
,8/3/2023,6/30/2023,-0.59,0.49,,0.43,,1.23,,1.78,,,,,,,,,,,,
,5/3/2023,3/30/2023,0.26,1.89,,1.86,,1.86,,1.9,,,,,,,,,,,,
,2/2/2023,12/31/2022,0.55,2.2,,2.34,,2.61,,3.2,,,,,,,,,,,,
,11/3/2022,9/30/2022,1.59,3.52,,3.33,,3.42,,3.46,,,,,,,,,,,,
,8/4/2022,6/30/2022,2.04,3.87,,3.68,,3.7,,3.7,,,,,,,,,,,,
,5/5/2022,3/31/2022,1.59,3.75,,3.55,,3.55,,2.64,,,,,,,,,,,,
,2/3/2022,12/31/2021,1.71,3.26,,3.11,,3.08,,2.6,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.99,2.68,,2.57,,2.6,,2.12,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.48,2.18,,2.01,,2.01,,2.01,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.35,2.03,,1.89,,1.89,,1.63,,,,,,,,,,,,
,2/4/2021,12/31/2020,1.36,2.3,,2.12,,2.12,,1.95,,,,,,,,,,,,
,11/5/2020,9/30/2020,-0.08,1.85,,1.68,,1.68,,1.21,,,,,,,,,,,,
,8/5/2020,6/30/2020,2.549575071,1.24,,1.07,,1.06,,0.73,,,,,,,,,,,,
,5/7/2020,3/31/2020,0.142857143,1.49,,1.41,,1.39,,0.78,,,,,,,,,,,,
,2/6/2020,12/31/2019,0.575581395,2.04,,1.45,,0.88,,0.96,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.119047619,1.22,,0.73,,0.7,,1.23,,,,,,,,,,,,
,8/8/2019,6/28/2019,-1.346938776,0.38,,0.37,,0.31,,1.09,,,,,,,,,,,,
,5/9/2019,3/29/2019,0.191428571,0.83,,0.74,,0.97,,1.03,,,,,,,,,,,,
,2/7/2019,12/31/2018,0.364672365,1.55,,1.34,,1.37,,1.42,,,,,,,,,,,,
,11/8/2018,9/28/2018,0.105263158,1.24,,1.14,,1.31,,,,,,,,,,,,,,
,8/9/2018,6/29/2018,-0.042979943,,,0.91,,1.17,,1.2,,,,,,,,,,,,
,5/8/2018,3/29/2018,-0.397101449,,,0.91,,1.22,,,,,,,,,,,,,,
,2/7/2018,12/29/2017,-2.416422287,,,1.08,,1.55,,1.56,,,,,,,,,,,,
,11/7/2017,9/29/2017,-0.791044776,,,0.96,,1.33,,1.32,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.505681818,,,1.16,,1.21,,1.18,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.127118644,,,1.2,,1.15,,1.29,,,,,,,,,,,,
,1/26/2017,12/30/2016,0.635097493,,,1.3,,1.34,,1.43,,,,,,,,,,,,
,10/27/2016,9/30/2016,0.103932584,,,1,,1.16,,1.79,,,,,,,,,,,,
,,6/30/2016,-0.193989071,,,0.46,,1.8,,2.1,,,,,,,,,,,,
,,3/31/2016,0.540897098,,,1.51,,1.55,,1.82,,,,,,,,,,,,
,,12/31/2015,0.896551724,,,1.58,,1.6,,1.89,,,,,,,,,,,,
,,9/30/2015,0.604712042,,,1.47,,1.79,,1.76,,,,,,,,,,,,
,,6/30/2015,0.804675271,,,1.66,,1.64,,1.66,,1.48,,,,,,,,,,
,,3/31/2015,0.816867783,,,1.58,,1.59,,1.12,,1.01,,1.02,,,,,,,,
,,12/31/2014,0.522171094,,,1.22,,1.18,,1.17,,1.22,,1.18,,1.07,,1.01,,1.02,,0.98
,,9/30/2014,0.67774747,,,1.19,,1.31,,1.26,,1.13,,1.08,,1.04,,1.23,,,,
,,6/30/2014,0.888064508,,,1.41,,1.25,,0.99,,0.92,,0.9,,0.39,,,,,,
,,3/31/2014,-1.122488441,,,0.57,,0.64,,0.7,,,,,,,,,,,,
,,12/31/2013,0.480712166,,,0.88,,0.89,,1.06,,,,,,,,,,,,
,,9/30/2013,0.997687036,,,1.23,,0.9,,1.04,,,,,,,,,,,,
,,6/28/2013,1.289331437,,,1.28,,0.96,,0.62,,0.36,,,,,,,,,,
,,3/28/2013,1.067701772,,,0.57,,0.4,,0.24,,,,,,,,,,,,
,,12/31/2012,0.33362351,,,0.45,,0.13,,,,,,,,,,,,,,
,,9/28/2012,0.177956136,,,0.46,,,,,,,,,,,,,,,,
,,6/29/2012,0.356470077,,,nan,,,,,,,,,,,,,,,,
,,3/30/2012,0.325364564,,,nan,,,,,,,,,,,,,,,,
,,12/30/2011,0.511189531,,,nan,,,,,,,,,,,,,,,,
,,9/30/2011,0.385321373,,,nan,,,,,,,,,,,,,,,,
,,6/30/2011,0.397675016,,,nan,,,,,,,,,,,,,,,,
,,3/31/2011,0.381825383,,,nan,,,,,,,,,,,,,,,,
,,12/31/2010,0.499943439,,,nan,,,,,,,,,,,,,,,,
,,9/30/2010,0.52086351,,,nan,,,,,,,,,,,,,,,,
,,6/30/2010,0.544236076,,,nan,,,,,,,,,,,,,,,,
,,3/31/2010,0.330702379,,,nan,,,,,,,,,,,,,,,,
,,12/31/2009,0.349982826,,,nan,,,,,,,,,,,,,,,,
,,9/30/2009,0.272575623,,,nan,,,,,,,,,,,,,,,,
,,6/30/2009,0.524638171,,,nan,,,,,,,,,,,,,,,,
,,3/31/2009,0.172686775,,,nan,,,,,,,,,,,,,,,,
,,12/31/2008,0.604643866,,,nan,,,,,,,,,,,,,,,,
,,9/26/2008,0.393665924,,,nan,,,,,,,,,,,,,,,,
,,6/30/2008,0.07246616,,,nan,,,,,,,,,,,,,,,,
,,3/31/2008,0.08,,,nan,,,,,,,,,,,,,,,,
,,12/31/2007,0.33,,,nan,,,,,,,,,,,,,,,,
,,9/28/2007,0.27,,,nan,,,,,,,,,,,,,,,,
,,6/29/2007,0.18,,,nan,,,,,,,,,,,,,,,,
,,3/30/2007,0.13,,,nan,,,,,,,,,,,,,,,,
,,12/29/2006,0.22,,,nan,,,,,,,,,,,,,,,,
,,9/29/2006,0.1,,,nan,,,,,,,,,,,,,,,,
,,6/30/2006,0.07,,,nan,,,,,,,,,,,,,,,,
,,3/31/2006,0.06,,,nan,,,,,,,,,,,,,,,,
,,12/30/2005,0.18,,,nan,,,,,,,,,,,,,,,,
