CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP Diluted,,12/31/2024,,0.66,8/2/2023,0.66,7/22/2023,0.66,6/12/2023,0.66,5/2/2023,,3/25/2023,0.53,2/16/2023,0.54,1/15/2023,0.54,12/7/2022,0.54,11/2/2022,0.53,10/12/2022,0.53,9/10/2022,0.53,8/6/2022,0.5,7/14/2022,0.5,6/12/2022,0.5,5/11/2022,0.5,4/20/2022,,3/18/2022,0.36,2/16/2022,0.33,1/12/2022,0.33,12/8/2021,0.33,11/3/2021,0.32,10/14/2021,0.32,9/11/2021,0.32,8/7/2021,0.31,7/9/2021,0.31,6/3/2021,0.31,5/6/2021,0.31,4/20/2021,0.22,3/19/2021,0.22,2/16/2021,0.22,12/28/2020,0.22,11/27/2020,0.21,10/27/2020,0.21,9/23/2020,0.21,8/27/2020,0.2,7/28/2020,0.2,7/12/2020,0.2,6/4/2020,0.22,4/28/2020,0.22,3/17/2020
,,9/30/2024,,0.63,,0.63,,0.63,,0.63,,,,0.51,,0.52,,0.52,,0.52,,0.51,,0.51,,0.51,,0.49,,0.49,,0.49,,0.49,,,,0.35,,0.31,,0.31,,0.31,,0.29,,0.29,,0.29,,0.29,,0.29,,0.28,,0.28,,0.21,,0.21,,0.2,,0.2,,0.21,,0.21,,0.21,,0.2,,0.21,,0.21,,0.21,,0.21,
,,6/30/2024,,0.59,,0.6,,0.6,,0.6,,,,0.5,,0.49,,0.49,,0.5,,0.48,,0.48,,0.48,,0.46,,0.46,,0.46,,0.46,,,,0.34,,0.29,,0.29,,0.29,,0.27,,0.27,,0.27,,0.26,,0.26,,0.25,,0.25,,0.19,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.2,,0.2,
,,3/30/2024,,0.57,,0.57,,0.57,,0.56,,,,0.5,,0.47,,0.47,,0.47,,0.45,,0.45,,0.45,,0.42,,0.42,,0.42,,0.42,,,,0.33,,0.27,,0.27,,0.27,,0.25,,0.25,,0.25,,0.23,,0.23,,0.22,,0.22,,0.19,,0.17,,0.17,,0.17,,0.17,,0.17,,0.17,,1.6,,0.16,,0.16,,0.18,,0.18,
,,12/31/2023,,0.54,3/25/2023,0.53,3/25/2023,0.53,3/25/2023,0.53,3/25/2023,0.53,3/25/2023,0.53,2/16/2023,0.54,1/15/2023,0.54,12/7/2022,0.54,11/2/2022,0.53,10/12/2022,0.53,9/10/2022,0.53,8/6/2022,0.5,7/14/2022,0.5,6/12/2022,0.5,5/11/2022,0.5,4/20/2022,,3/18/2022,0.36,2/16/2022,0.33,1/12/2022,0.33,12/8/2021,0.33,11/3/2021,0.32,10/14/2021,0.32,9/11/2021,0.32,8/7/2021,0.31,7/9/2021,0.31,6/3/2021,0.31,5/6/2021,0.31,4/20/2021,0.22,3/19/2021,0.22,2/16/2021,0.22,12/28/2020,0.22,11/27/2020,0.21,10/27/2020,0.21,9/23/2020,0.21,8/27/2020,0.2,7/28/2020,0.2,7/12/2020,0.2,6/4/2020,0.22,4/28/2020,0.22,3/17/2020
,,9/30/2023,,0.52,,0.52,,0.52,,0.52,,0.51,,0.51,,0.52,,0.52,,0.52,,0.51,,0.51,,0.51,,0.49,,0.49,,0.49,,0.49,,,,0.35,,0.31,,0.31,,0.31,,0.29,,0.29,,0.29,,0.29,,0.29,,0.28,,0.28,,0.21,,0.21,,0.2,,0.2,,0.21,,0.21,,0.21,,0.2,,0.21,,0.21,,0.21,,0.21,
,7/31/2023,6/30/2023,0.36,0.52,,0.51,,0.51,,0.51,,0.5,,0.5,,0.49,,0.49,,0.5,,0.48,,0.48,,0.48,,0.46,,0.46,,0.46,,0.46,,,,0.34,,0.29,,0.29,,0.29,,0.27,,0.27,,0.27,,0.26,,0.26,,0.25,,0.25,,0.19,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.2,,0.2,
,5/1/2023,3/30/2023,0.4,0.51,,0.5,,0.5,,0.47,,0.47,,0.47,,0.45,,0.45,,0.45,,0.42,,0.42,,0.42,,0.42,,,,0.33,,0.27,,0.27,,0.27,,0.25,,0.25,,0.25,,0.23,,0.23,,0.22,,0.22,,0.19,,0.17,,0.17,,0.17,,0.17,,0.17,,0.17,,1.6,,0.16,,0.16,,0.18,,0.18,,,,,,,
,2/13/2023,12/31/2022,0.37,0.49,,0.48,,0.48,,0.48,,0.44,,0.44,,0.44,,0.41,,0.41,,0.41,,0.37,,0.37,,0.36,2/16/2022,0.33,1/12/2022,0.33,12/8/2021,0.33,11/3/2021,0.32,10/14/2021,0.32,9/11/2021,0.32,8/7/2021,0.31,7/9/2021,0.31,6/3/2021,0.31,5/6/2021,0.31,4/20/2021,0.22,3/19/2021,0.22,2/16/2021,0.22,12/28/2020,0.22,11/27/2020,0.21,10/27/2020,0.21,9/23/2020,0.21,8/27/2020,0.2,7/28/2020,0.2,7/12/2020,0.2,6/4/2020,0.22,4/28/2020,0.22,3/17/2020,,,,,,,,,,
,10/31/2022,9/30/2022,0.33,0.48,,0.44,,0.44,,0.44,,0.41,,0.41,,0.41,,0.36,,0.36,,0.35,,0.31,,0.31,,0.31,,0.29,,0.29,,0.29,,0.29,,0.29,,0.28,,0.28,,0.21,,0.21,,0.2,,0.2,,0.21,,0.21,,0.21,,0.2,,0.21,,0.21,,0.21,,0.21,,,,,,,,,,,,,,,,,
,8/2/2022,6/30/2022,0.32,0.42,,0.4,,0.4,,0.4,,0.35,,0.35,,0.34,,0.29,,0.29,,0.29,,0.27,,0.27,,0.27,,0.26,,0.26,,0.25,,0.25,,0.19,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,
