CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
N,,12/31/2021,1.376015625,7/6/2020,1.376015625,,,,,,,,,,,,,,,,
,,9/30/2021,1.68984375,,1.68984375,,,,,,,,,,,,,,,,
,,6/30/2021,1.339804688,,1.339804688,,,,,,,,,,,,,,,,
,,3/31/2021,1.545,,1.545,,,,,,,,,,,,,,,,
,,12/31/2020,1.14,,1.14,,,,,,,,,,,,,,,,
,,9/30/2020,1.4,,1.4,,,,,,,,,,,,,,,,
,,6/30/2020,1.11,,1.11,,,,,,,,,,,,,,,,
,,4/3/2020,1.031791908,,1.48,,,,,,,,,,,,,,,,
,,1/3/2020,2.927536232,,1.63,,1.66,,1.74,,1.67,,,,,,,,,,
,,9/27/2019,1.728862974,,1.65,,1.76,,1.84,,1.77,,1.8,,,,,,,,
,,6/28/2019,1.856725146,,1.56,,1.69,,1.79,,1.73,,1.78,,,,,,,,
,,3/29/2019,1.143274854,,1.17,,1.27,,1.36,,,,,,,,,,,,
,,12/31/2018,1.225806452,,1.45,,1.59,,1.63,,1.65,,1.4,,1.47,,1.49,,1.5,,1.51
,,9/28/2018,1.395894428,,1.57,,1.56,,1.68,,1.51,,1.54,,1.62,,1.66,,1.65,,
,,6/29/2018,1.020527859,,1.49,,1.65,,1.67,,1.51,,1.45,,1.5,,1.51,,1.52,,1.5
,,3/29/2018,0.941348974,,1.29,,1.32,,1.21,,1.22,,1.25,,1.22,,1.19,,,,
,,12/29/2017,0.011764706,,1.29,,1.28,,1.41,,1.42,,1.38,,1.37,,1.38,,1.34,,1.3
,,9/29/2017,1.105882353,,1.49,,1.51,,1.52,,1.51,,1.52,,1.49,,1.41,,1.5,,1.34
,,6/30/2017,1.179411765,,1.34,,1.37,,1.36,,1.37,,1.36,,1.39,,1.32,,1.35,,0.99
,,3/31/2017,0.911504425,,0.99,,0.98,,1.08,,1.05,,1,,,,,,,,
,,12/30/2016,1.088757396,,1.2,,1.19,,1.21,,1.22,,1.09,,1.34,,1.35,,1.31,,1.36
,,9/30/2016,1.202380952,,1.36,,1.42,,1.23,,1.51,,1.4,,1.36,,1.32,,,,
,,7/1/2016,0.611940299,,1.31,,1.31,,1.06,,1.31,,1.34,,1.23,,,,,,
,,4/1/2016,0.682634731,,0.86,,0.73,,1.04,,1.15,,1,,1.2,,,,,,
,,12/31/2015,0.137724551,,1.13,,1.15,,1.16,,1.56,,1.85,,1.82,,,,,,
,,10/1/2015,0.975975976,,1.17,,1.27,,1.67,,1.86,,1.82,,,,,,,,
,,6/30/2015,2.137724551,,1.01,,1.48,,1.74,,1.76,,,,,,,,,,
,,3/31/2015,0.571856287,,0.97,,1.26,,1.56,,1.61,,,,,,,,,,
,,1/2/2015,1.230538922,,1.59,,1.62,,1.63,,1.65,,1.76,,1.98,,1.73,,,,
,,9/30/2014,1.571856287,,1.68,,1.71,,1.88,,2.01,,1.63,,,,,,,,
,,6/30/2014,1.615615616,,1.64,,1.62,,1.66,,1.83,,1.4,,,,,,,,
,,3/31/2014,1.423423423,,1.4,,1.45,,1.58,,1.43,,,,,,,,,,
,,12/31/2013,1.75,,1.46,,1.58,,1.65,,1.63,,,,,,,,,,
,,9/30/2013,1.625377644,,1.62,,1.63,,1.73,,1.54,,,,,,,,,,
,,6/28/2013,1.396969697,,1.53,,1.59,,1.36,,,,,,,,,,,,
,,3/28/2013,1.268656716,,1.34,,1.32,,1.65,,1.31,,,,,,,,,,
,,12/27/2012,0.15407855,,1.31,,1.54,,1.41,,,,,,,,,,,,
,,9/28/2012,0.611940299,,1.43,,,,,,,,,,,,,,,,
,,6/29/2012,1.279883382,,1.49,,,,,,,,,,,,,,,,
