CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,0.34,9/29/2023,0.34,8/11/2023,0.34,6/20/2023,0.35,5/11/2023,,4/13/2023,0.32,3/4/2023,0.34,1/25/2023,0.36,12/17/2022,0.34,11/12/2022,0.31,10/23/2022,0.31,9/17/2022,0.31,8/14/2022,0.3,7/26/2022,0.3,6/21/2022,0.31,5/14/2022,0.31,4/10/2022,,3/7/2022,0.25,1/20/2022,0.24,12/16/2021,0.25,11/12/2021,0.25,10/18/2021,0.25,9/16/2021,0.26,8/13/2021,0.26,8/2/2021,0.26,6/10/2021,0.27,5/10/2021,0.25,4/4/2021,0.28,3/2/2021,0.28,1/2/2021,0.28,11/30/2020,0.28,11/29/2020
,,9/30/2024,,0.31,,0.31,,0.31,,0.32,,,,0.28,,0.29,,0.29,,0.28,,0.28,,0.29,,0.29,,0.29,,0.29,,0.3,,0.3,,,,0.25,,0.24,,0.24,,0.24,,0.24,,0.25,,0.25,,0.26,,0.26,,0.24,,0.25,,0.25,,0.25,,0.25,
,,6/30/2024,,0.29,,0.29,,0.29,,0.3,,,,0.26,,0.29,,0.28,,0.28,,0.25,,0.27,,0.27,,0.28,,0.28,,0.29,,0.29,,,,0.24,,0.22,,0.23,,0.23,,0.23,,0.25,,0.25,,0.26,,0.26,,0.23,,0.25,,0.25,,0.25,,0.25,
,,3/30/2024,,0.27,,0.27,,0.28,,0.3,,,,0.25,,0.28,,0.27,,0.27,,0.25,,0.27,,0.26,,0.25,,0.25,,0.26,,0.26,,,,0.23,,0.21,,0.22,,0.22,,0.22,,0.23,,0.23,,0.24,,0.26,,0.23,,0.25,,0.24,,0.24,,0.24,
,,12/31/2023,,0.25,4/13/2023,0.26,4/13/2023,0.27,4/13/2023,0.28,4/13/2023,0.31,4/13/2023,0.32,3/4/2023,0.34,1/25/2023,0.36,12/17/2022,0.34,11/12/2022,0.31,10/23/2022,0.31,9/17/2022,0.31,8/14/2022,0.3,7/26/2022,0.3,6/21/2022,0.31,5/14/2022,0.31,4/10/2022,,3/7/2022,0.25,1/20/2022,0.24,12/16/2021,0.25,11/12/2021,0.25,10/18/2021,0.25,9/16/2021,0.26,8/13/2021,0.26,8/2/2021,0.26,6/10/2021,0.27,5/10/2021,0.25,4/4/2021,0.28,3/2/2021,0.28,1/2/2021,0.28,11/30/2020,0.28,11/29/2020
,,9/30/2023,,0.24,,0.24,,0.25,,0.26,,0.28,,0.28,,0.29,,0.29,,0.28,,0.28,,0.29,,0.29,,0.29,,0.29,,0.3,,0.3,,,,0.25,,0.24,,0.24,,0.24,,0.24,,0.25,,0.25,,0.26,,0.26,,0.24,,0.25,,0.25,,0.25,,0.25,
,8/8/2023,6/30/2023,0.25,0.25,,0.25,,0.26,,0.26,,0.26,,0.29,,0.28,,0.28,,0.25,,0.27,,0.27,,0.28,,0.28,,0.29,,0.29,,,,0.24,,0.22,,0.23,,0.23,,0.23,,0.25,,0.25,,0.26,,0.26,,0.23,,0.25,,0.25,,0.25,,0.25,,,
,5/9/2023,3/30/2023,0.24,0.24,,0.25,,0.25,,0.28,,0.27,,0.27,,0.25,,0.27,,0.26,,0.25,,0.25,,0.26,,0.26,,,,0.23,,0.21,,0.22,,0.22,,0.22,,0.23,,0.23,,0.24,,0.26,,0.23,,0.25,,0.24,,0.24,,0.24,,,,,,,
,3/1/2023,12/31/2022,0.32,0.32,,0.34,,0.35,,0.35,,0.31,,0.31,,0.3,,0.28,,0.28,,0.27,,0.27,,0.27,,0.25,1/20/2022,0.24,12/16/2021,0.25,11/12/2021,0.25,10/18/2021,0.25,9/16/2021,0.26,8/13/2021,0.26,8/2/2021,0.26,6/10/2021,0.27,5/10/2021,0.25,4/4/2021,0.28,3/2/2021,0.28,1/2/2021,0.28,11/30/2020,0.28,11/29/2020,,,,,,,,,,
,11/9/2022,9/30/2022,0.2,0.2,,0.21,,0.21,,0.23,,0.25,,0.25,,0.26,,0.27,,0.26,,0.25,,0.24,,0.24,,0.24,,0.24,,0.25,,0.25,,0.26,,0.26,,0.24,,0.25,,0.25,,0.25,,0.25,,,,,,,,,,,,,,,,,
