Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,12/31/2021,0.57,4/29/2020,0.57,3/19/2020,,,,,,,,,,,,,
,9/30/2021,0.59,,0.59,,,,,,,,,,,,,,
,6/30/2021,0.55,,0.55,,,,,,,,,,,,,,
,3/31/2021,0.47,,0.47,,,,,,,,,,,,,,
,12/31/2020,0.54,3/19/2020,0.63,3/19/2020,0.71,3/8/2020,0.71,,0.82,,0.86,,,,,,
,9/30/2020,0.56,,0.64,,0.71,,0.71,,0.81,,0.88,,,,,,
,6/30/2020,0.56,,0.62,,0.67,,0.67,,0.76,,0.83,,,,,,
4/28/2020,3/31/2020,0.04,,0.61,,0.6,,0.6,,0.7,,0.78,,,,,,
1/21/2020,12/31/2019,0.67,,0.66,,0.72,,0.81,,0.84,,0.85,,,,,,
10/21/2019,9/30/2019,0.64,,0.74,,0.75,,0.82,,0.84,,,,,,,,
,6/28/2019,0.795390899,,0.82,,,,,,,,,,,,,,
4/23/2019,3/29/2019,0.768084268,,0.77,,,,,,,,,,,,,,
1/22/2019,12/31/2018,0.755859712,,0.78,,0.79,,0.69,,0.7,,0.72,,,,,,
10/22/2018,9/28/2018,0.607566233,,0.77,,0.78,,0.7,,0.72,,,,,,,,
7/17/2018,6/29/2018,0.740871384,,0.74,,0.75,,0.68,,0.69,,0.7,,,,,,
4/24/2018,3/29/2018,0.683312813,,0.68,,0.69,,0.63,,0.65,,,,,,,,
1/16/2018,12/29/2017,0.333850362,,0.62,,0.59,,0.63,,0.64,,0.63,,0.65,,0.64,,0.67
10/17/2017,9/29/2017,0.534461013,,0.61,,0.54,,0.62,,0.63,,0.62,,0.64,,0.66,,
7/18/2017,6/30/2017,0.567879361,,0.57,,0.55,,0.57,,0.58,,0.59,,0.6,,0.63,,
4/25/2017,3/31/2017,0.538932803,,0.54,,0.56,,0.59,,0.57,,,,,,,,
,12/30/2016,0.554339522,,0.56,,0.58,,0.61,,0.63,,0.58,,,,,,
,9/30/2016,0.547832755,,0.57,,0.61,,0.63,,0.62,,,,,,,,
,6/30/2016,0.541324755,,0.52,,0.58,,0.6,,,,,,,,,,
,3/31/2016,0.52308795,,0.52,,0.54,,0.56,,0.57,,,,,,,,
,12/31/2015,0.521964557,,0.55,,0.56,,0.55,,,,,,,,,,
,9/30/2015,0.40279668,,0.53,,0.54,,0.53,,,,,,,,,,
,6/30/2015,0.483097973,,0.51,,0.5,,,,,,,,,,,,
,3/31/2015,0.479008641,,0.49,,0.48,,0.49,,0.48,,0.49,,,,,,
,12/31/2014,0.490753588,,0.49,,0.5,,0.49,,0.48,,,,,,,,
,9/30/2014,0.489776812,,0.48,,0.47,,0.44,,,,,,,,,,
,6/30/2014,0.468575532,,0.44,,0.39,,,,,,,,,,,,
,3/31/2014,0.429355961,,0.39,,0.38,,,,,,,,,,,,
,12/31/2013,0.35612985,,0.37,,0.35,,,,,,,,,,,,
,9/30/2013,0.241808126,,0.31,,,,,,,,,,,,,,
,6/28/2013,0.316033803,,0.32,,,,,,,,,,,,,,
,3/28/2013,0.299381722,,,,,,,,,,,,,,,,
,12/31/2012,0.288253144,,,,,,,,,,,,,,,,
,9/28/2012,0.279014771,,,,,,,,,,,,,,,,
,6/29/2012,0.252292702,,,,,,,,,,,,,,,,
,3/30/2012,0.237646168,,,,,,,,,,,,,,,,
,12/30/2011,0.229915967,,,,,,,,,,,,,,,,
,9/30/2011,0.259402723,,,,,,,,,,,,,,,,
,6/30/2011,0.228611111,,,,,,,,,,,,,,,,
,3/31/2011,0.30005073,,,,,,,,,,,,,,,,
,12/31/2010,0.187509478,,,,,,,,,,,,,,,,
,9/30/2010,0.807604161,,,,,,,,,,,,,,,,
,6/30/2010,0.178847083,,,,,,,,,,,,,,,,
,3/31/2010,0.170069839,,,,,,,,,,,,,,,,
,12/31/2009,0.189981629,,,,,,,,,,,,,,,,
,9/30/2009,0.199162443,,,,,,,,,,,,,,,,
,6/30/2009,0.200815719,,,,,,,,,,,,,,,,
,3/31/2009,0.283457026,,,,,,,,,,,,,,,,
,12/31/2008,0.010954265,,,,,,,,,,,,,,,,
,9/30/2008,0.356922504,,,,,,,,,,,,,,,,
,6/30/2008,0.376558438,,,,,,,,,,,,,,,,
,3/31/2008,0.391657974,,,,,,,,,,,,,,,,
,12/31/2007,0.411089181,,,,,,,,,,,,,,,,
,9/28/2007,0.387025787,,,,,,,,,,,,,,,,
,6/29/2007,0.40982104,,,,,,,,,,,,,,,,
,3/30/2007,0.438802549,,,,,,,,,,,,,,,,
,12/29/2006,0.436568632,,,,,,,,,,,,,,,,
,9/29/2006,0.416996427,,,,,,,,,,,,,,,,
,6/30/2006,0.444849804,,,,,,,,,,,,,,,,
,3/31/2006,0.412921673,,,,,,,,,,,,,,,,
,12/30/2005,0.397014639,,,,,,,,,,,,,,,,
,9/30/2005,0.401709141,,,,,,,,,,,,,,,,
,6/30/2005,0.393978445,,,,,,,,,,,,,,,,
,3/31/2005,0.345198971,,,,,,,,,,,,,,,,
,12/31/2004,0.293333333,,,,,,,,,,,,,,,,
,9/30/2004,0.346666667,,,,,,,,,,,,,,,,
,6/30/2004,0.406666667,,,,,,,,,,,,,,,,
,3/31/2004,0.38,,,,,,,,,,,,,,,,
,12/31/2003,0.366666667,,,,,,,,,,,,,,,,
,9/30/2003,0.366666667,,,,,,,,,,,,,,,,
,6/30/2003,0.366666667,,,,,,,,,,,,,,,,
,3/31/2003,0.36,,,,,,,,,,,,,,,,
,12/31/2002,0.36,,,,,,,,,,,,,,,,
,9/30/2002,0.36,,,,,,,,,,,,,,,,
,6/28/2002,0.353333333,,,,,,,,,,,,,,,,
,3/28/2002,0.22,,,,,,,,,,,,,,,,
,12/31/2001,0.297777778,,,,,,,,,,,,,,,,
,9/28/2001,0.293333333,,,,,,,,,,,,,,,,
,6/29/2001,0.266666667,,,,,,,,,,,,,,,,
,3/30/2001,0.244444444,,,,,,,,,,,,,,,,
,12/29/2000,0.168888889,,,,,,,,,,,,,,,,
,9/29/2000,0.213333333,,,,,,,,,,,,,,,,
,6/30/2000,0.195555556,,,,,,,,,,,,,,,,
,3/31/2000,0.235555556,,,,,,,,,,,,,,,,
,12/31/1999,0.231111111,,,,,,,,,,,,,,,,
,9/30/1999,0.226666667,,,,,,,,,,,,,,,,
,6/30/1999,0.368888889,,,,,,,,,,,,,,,,
,3/31/1999,0.231111111,,,,,,,,,,,,,,,,
,12/31/1998,0.208888889,,,,,,,,,,,,,,,,
,9/30/1998,0.213333333,,,,,,,,,,,,,,,,
,6/30/1998,0.2,,,,,,,,,,,,,,,,
,3/31/1998,0.213333333,,,,,,,,,,,,,,,,
,12/31/1997,0.217777778,,,,,,,,,,,,,,,,
,9/30/1997,0.195555556,,,,,,,,,,,,,,,,
,6/30/1997,0.2,,,,,,,,,,,,,,,,
,3/31/1997,0.195555556,,,,,,,,,,,,,,,,
,12/31/1996,0.2,,,,,,,,,,,,,,,,
,9/30/1996,0.173333333,,,,,,,,,,,,,,,,
,6/28/1996,0.173333333,,,,,,,,,,,,,,,,
,3/29/1996,0.173333333,,,,,,,,,,,,,,,,
,12/29/1995,0.162962963,,,,,,,,,,,,,,,,
,9/29/1995,0.198518519,,,,,,,,,,,,,,,,
,6/30/1995,0.192592593,,,,,,,,,,,,,,,,
,3/31/1995,0.142222222,,,,,,,,,,,,,,,,
,12/30/1994,0.16,,,,,,,,,,,,,,,,
,9/30/1994,0.148148148,,,,,,,,,,,,,,,,
,6/30/1994,0.161975309,,,,,,,,,,,,,,,,
,3/31/1994,0.152098765,,,,,,,,,,,,,,,,
,12/31/1993,0.144197531,,,,,,,,,,,,,,,,
,9/30/1993,0.142222222,,,,,,,,,,,,,,,,
,6/30/1993,0.156049383,,,,,,,,,,,,,,,,
