CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
N,,12/31/2021,0.32,12/27/2020,0.32,12/26/2020,,,,,,,,,,,,,,,,,
,,9/30/2021,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.13,,0.13,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.09,,0.09,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.07,,0.07,,,,,,,,,,,,,,,,,,
,10/30/2020,9/30/2020,-0.15,,-0.15,,,,,,,,,,,,,,,,,,
,7/31/2020,6/30/2020,-0.59,,-0.59,,,,,,,,,,,,,,,,,,
,5/8/2020,3/31/2020,-0.13,,-0.13,,,,,,,,,,,,,,,,,,
,2/21/2020,12/31/2019,0.5,,0.5,,,,,,,,,,,,,,,,,,
,11/1/2019,9/30/2019,0.16,,0.16,,,,,,,,,,,,,,,,,,
,8/2/2019,6/28/2019,0.31,,0.31,,,,,,,,,,,,,,,,,,
,5/3/2019,3/29/2019,0.47,,0.47,,,,,,,,,,,,,,,,,,
,2/22/2019,12/31/2018,0.49,,0.49,,,,,,,,,,,,,,,,,,
,11/2/2018,9/28/2018,0.12,,0.12,,,,,,,,,,,,,,,,,,
,8/10/2018,6/29/2018,0.32,,0.32,,,,,,,,,,,,,,,,,,
,5/4/2018,3/29/2018,0.45,,0.45,,,,,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,0.31,,0.31,,,,,,,,,,,,,,,,,,
,11/3/2017,9/29/2017,0.05,,0.05,,,,,,,,,,,,,,,,,,
,7/28/2017,6/30/2017,0.25,,0.25,,,,,,,,,,,,,,,,,,
,5/5/2017,3/31/2017,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.11,,0.11,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.21,,0.21,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.33,,0.33,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.28,,0.28,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.08,,0.08,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.3,,0.3,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.23,,0.23,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.21,,-0.21,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.25,,0.25,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.12,,0.12,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.08,,0.08,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.02,,0.02,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.89,,-0.89,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.01,,0.01,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.2,,0.2,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.14,,0.14,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.09,,0.09,,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.01,,-0.01,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.09,,0.09,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.2,,0.2,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.11,,-0.11,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.04,,-0.04,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.16,,0.16,,,,,,,,,,,,,,,,,,
,,12/31/2008,-2.59,,-2.59,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.02,,-0.02,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.12,,0.12,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.08,,0.08,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.23,,0.23,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.29,,0.29,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.46,,0.46,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.21,,0.21,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.25,,0.25,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.02,,0.02,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.11,,0.11,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.06,,0.06,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.11,,0.11,,,,,,,,,,,,,,,,,,
,,9/30/2004,-0.39,,-0.39,,,,,,,,,,,,,,,,,,
,,6/30/2004,-0.07,,-0.07,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,12/31/2003,-0.12,,-0.12,,,,,,,,,,,,,,,,,,
,,9/30/2003,-0.12,,-0.12,,,,,,,,,,,,,,,,,,
,,6/30/2003,-0.13,,-0.13,,,,,,,,,,,,,,,,,,
,,3/31/2003,-0.13,,-0.13,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,,9/30/2002,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,,6/28/2002,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.11,,-0.11,,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,,9/28/2001,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,,6/29/2001,-0.11,,-0.11,,,,,,,,,,,,,,,,,,
