CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
Non-GAAP Net,,12/30/2022,0.27,9/1/2021,0.26,7/31/2021,0.26,7/10/2021,0.26,7/9/2021,,,,,
,,9/30/2022,0.24,,0.24,,0.24,,0.24,,,,,,
,,6/30/2022,0.21,,0.21,,0.22,,0.22,,,,,,
,,3/31/2022,0.19,,0.2,,0.2,,0.2,,,,,,
,,12/31/2021,0.21,,0.21,,0.22,,0.22,,0.21,,,,
,,9/30/2021,0.19,,0.19,,0.2,,0.2,,0.19,,,,
,7/28/2021,6/30/2021,0.06,,0.17,,0.17,,0.14,,,,,,
,4/28/2021,3/31/2021,0.059154293,,0.15,,0.13,,,,,,,,
,2/3/2021,12/31/2020,0.138496777,,0.19,,0.18,,0.16,,,,,,
,10/28/2020,9/30/2020,0.005336784,,0.17,,0.16,,0.15,,,,,,
,7/29/2020,6/30/2020,0.013361392,,0.11,,0.14,,0.13,,,,,,
,4/29/2020,3/31/2020,-0.010725083,,0.12,,0.11,,0.08,,,,,,
,2/19/2020,12/31/2019,0.031527754,,0.14,,0.13,,0.14,,0.12,,0.13,,
,10/30/2019,9/30/2019,0.045699846,,0.12,,0.13,,,,,,,,
,7/31/2019,6/28/2019,0.03030752,,0.09,,0.11,,0.1,,,,,,
,5/1/2019,3/29/2019,-0.056322492,,0.07,,0.04,,,,,,,,
,2/20/2019,12/31/2018,-0.074688065,,0.09,,0.13,,0.1,,,,,,
,11/7/2018,9/28/2018,-0.005728286,,0.12,,0.1,,,,,,,,
,8/1/2018,6/29/2018,-0.071109722,,0.08,,0.09,,,,,,,,
,5/8/2018,3/29/2018,-0.116747263,,0.06,,0.08,,,,,,,,
,,12/29/2017,0.120082595,,0.07,,0.09,,0.05,,0.25,,,,
,,9/29/2017,0.056401245,,0.08,,0.09,,0.08,,0.19,,,,
,,6/30/2017,0.037351823,,0.07,,0.08,,0.13,,0.18,,,,
,,3/31/2017,0.024585816,,0.05,,0.07,,,,,,,,
,,12/30/2016,0.004316703,,0.03,,0.21,,0.19,,0.18,,0.19,,0.2
,,9/30/2016,0.051272746,,0.06,,0.16,,0.14,,0.13,,0.15,,
,,6/30/2016,0.105961783,,0.14,,0.17,,0.21,,0.22,,,,
,,3/31/2016,0.015463884,,0.08,,0.09,,0.14,,0.13,,0.21,,0.13
,,12/31/2015,0.10539866,,0.13,,0.15,,0.13,,0.16,,0.17,,
,,9/30/2015,0.066651299,,0.09,,0.15,,0.1,,,,,,
,,6/30/2015,0.172710989,,0.09,,0.19,,,,,,,,
,,3/31/2015,0.099055449,,0.09,,0.1,,0.09,,,,,,
,,12/31/2014,0.107682735,,0.11,,,,,,,,,,
,,9/30/2014,0.10157725,,nan,,,,,,,,,,
,,6/30/2014,0.172764228,,nan,,,,,,,,,,
