CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributabe Non-GAAP,,12/31/2025,,0.5,6/30/2024,0.51,5/11/2024,0.5,4/9/2024,0.5,2/25/2024,0.51,1/1/2024,0.51,11/11/2023,0.5,9/26/2023,0.5,8/6/2023,0.52,6/19/2023,0.55,5/7/2023,,4/13/2023,0.54,3/4/2023,0.55,1/25/2023,0.54,12/17/2022,0.55,11/11/2022,0.56,10/23/2022,0.57,9/17/2022,0.57,8/14/2022,0.56,7/15/2022,0.56,6/14/2022,0.56,5/11/2022,0.56,4/1/2022,,2/27/2022,0.54,1/20/2022,0.54,12/16/2021,0.53,11/12/2021,0.53,10/18/2021,0.53,9/15/2021,0.53,8/8/2021,0.53,7/11/2021,0.53,6/10/2021,0.52,5/10/2021,0.52,4/3/2021,0.5,2/28/2021,0.5,1/10/2021,0.5,12/9/2020,0.5,11/8/2020,0.48,10/15/2020,0.48,9/13/2020,0.48,8/5/2020,0.47,6/10/2020,0.47,5/5/2020,0.47,3/26/2020
,,9/30/2025,,0.49,,0.51,,0.49,,0.5,,0.5,,0.5,,0.5,,0.51,,0.51,,0.55,,,,0.53,,0.54,,0.54,,0.55,,0.55,,0.56,,0.57,,0.56,,0.56,,0.57,,0.57,,,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.52,,0.52,,0.5,,0.49,,0.49,,0.49,,0.48,,0.47,,0.47,,0.47,,0.47,,0.47,
,,6/30/2025,,0.49,,0.5,,0.48,,0.48,,0.48,,0.5,,0.51,,0.51,,0.5,,0.53,,,,0.52,,0.54,,0.54,,0.54,,0.55,,0.56,,0.57,,0.56,,0.56,,0.56,,0.56,,,,0.54,,0.54,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.52,,0.52,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.46,,0.47,,0.47,,0.47,
,,3/30/2025,,0.5,,0.51,,0.47,,0.47,,0.48,,0.5,,0.51,,0.51,,0.5,,0.53,,,,0.52,,0.54,,0.55,,0.55,,0.55,,0.56,,0.57,,0.56,,0.56,,0.56,,0.56,,,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.51,,0.51,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.45,,0.45,,0.46,,0.46,
,,12/31/2024,,0.5,4/9/2024,0.5,4/9/2024,0.5,4/9/2024,0.5,2/25/2024,0.51,1/1/2024,0.51,11/11/2023,0.5,9/26/2023,0.5,8/6/2023,0.52,6/19/2023,0.55,5/7/2023,,4/13/2023,0.54,3/4/2023,0.55,1/25/2023,0.54,12/17/2022,0.55,11/11/2022,0.56,10/23/2022,0.57,9/17/2022,0.57,8/14/2022,0.56,7/15/2022,0.56,6/14/2022,0.56,5/11/2022,0.56,4/1/2022,,2/27/2022,0.54,1/20/2022,0.54,12/16/2021,0.53,11/12/2021,0.53,10/18/2021,0.53,9/15/2021,0.53,8/8/2021,0.53,7/11/2021,0.53,6/10/2021,0.52,5/10/2021,0.52,4/3/2021,0.5,2/28/2021,0.5,1/10/2021,0.5,12/9/2020,0.5,11/8/2020,0.48,10/15/2020,0.48,9/13/2020,0.48,8/5/2020,0.47,6/10/2020,0.47,5/5/2020,0.47,3/26/2020
,,9/30/2024,,0.49,,0.49,,0.49,,0.5,,0.5,,0.5,,0.5,,0.51,,0.51,,0.55,,,,0.53,,0.54,,0.54,,0.55,,0.55,,0.56,,0.57,,0.56,,0.56,,0.57,,0.57,,,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.52,,0.52,,0.5,,0.49,,0.49,,0.49,,0.48,,0.47,,0.47,,0.47,,0.47,,0.47,
,,6/30/2024,,0.49,,0.48,,0.48,,0.48,,0.48,,0.5,,0.51,,0.51,,0.5,,0.53,,,,0.52,,0.54,,0.54,,0.54,,0.55,,0.56,,0.57,,0.56,,0.56,,0.56,,0.56,,,,0.54,,0.54,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.52,,0.52,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.46,,0.47,,0.47,,0.47,
,5/8/2024,3/30/2024,0.48,0.59,,0.47,,0.47,,0.48,,0.5,,0.51,,0.51,,0.5,,0.53,,,,0.52,,0.54,,0.55,,0.55,,0.55,,0.56,,0.57,,0.56,,0.56,,0.56,,0.56,,,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.51,,0.51,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.45,,0.45,,0.46,,0.46,,,
,2/22/2024,12/31/2023,0.22,0.58,4/13/2023,0.48,4/13/2023,0.48,4/13/2023,0.49,4/13/2023,0.5,4/13/2023,0.49,4/13/2023,0.51,4/13/2023,0.54,4/13/2023,0.54,3/4/2023,0.55,1/25/2023,0.54,12/17/2022,0.55,11/11/2022,0.56,10/23/2022,0.57,9/17/2022,0.57,8/14/2022,0.56,7/15/2022,0.56,6/14/2022,0.56,5/11/2022,0.56,4/1/2022,,2/27/2022,0.54,1/20/2022,0.54,12/16/2021,0.53,11/12/2021,0.53,10/18/2021,0.53,9/15/2021,0.53,8/8/2021,0.53,7/11/2021,0.53,6/10/2021,0.52,5/10/2021,0.52,4/3/2021,0.5,2/28/2021,0.5,1/10/2021,0.5,12/9/2020,0.5,11/8/2020,0.48,10/15/2020,0.48,9/13/2020,0.48,8/5/2020,0.47,6/10/2020,0.47,5/5/2020,0.47,3/26/2020,,,,,,
,11/8/2023,9/30/2023,0.15,0.49,,0.49,,0.49,,0.49,,0.5,,0.53,,0.53,,0.54,,0.54,,0.55,,0.55,,0.56,,0.57,,0.56,,0.56,,0.57,,0.57,,,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.52,,0.52,,0.5,,0.49,,0.49,,0.49,,0.48,,0.47,,0.47,,0.47,,0.47,,0.47,,,,,,,,,,,
,8/3/2023,6/30/2023,0.54,0.49,,0.48,,0.49,,0.52,,0.52,,0.54,,0.54,,0.54,,0.55,,0.56,,0.57,,0.56,,0.56,,0.56,,0.56,,,,0.54,,0.54,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.52,,0.52,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.46,,0.47,,0.47,,0.47,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.16,0.5,,0.52,,0.52,,0.54,,0.55,,0.55,,0.55,,0.56,,0.57,,0.56,,0.56,,0.56,,0.56,,,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.51,,0.51,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.45,,0.45,,0.46,,0.46,,,,,,,,,,,,,,,,,,,
,3/1/2023,12/31/2022,0.44,0.5,,0.5,,0.51,,0.52,,0.53,,0.54,,0.54,,0.54,,0.54,,0.55,,0.55,,0.54,,0.54,1/20/2022,0.54,12/16/2021,0.53,11/12/2021,0.53,10/18/2021,0.53,9/15/2021,0.53,8/8/2021,0.53,7/11/2021,0.53,6/10/2021,0.52,5/10/2021,0.52,4/3/2021,0.5,2/28/2021,0.5,1/10/2021,0.5,12/9/2020,0.5,11/8/2020,0.48,10/15/2020,0.48,9/13/2020,0.48,8/5/2020,0.47,6/10/2020,0.47,5/5/2020,0.47,3/26/2020,,,,,,,,,,,,,,,,,,,,,,
,11/9/2022,9/30/2022,0.61,0.51,,0.52,,0.52,,0.53,,0.53,,0.53,,0.53,,0.54,,0.55,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.54,,0.52,,0.52,,0.5,,0.49,,0.49,,0.49,,0.48,,0.47,,0.47,,0.47,,0.47,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.51,0.51,,0.51,,0.51,,0.52,,0.53,,0.54,,0.54,,0.54,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.52,,0.52,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.46,,0.47,,0.47,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,1.02,0.53,,0.53,,0.54,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.53,,0.51,,0.51,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.45,,0.45,,0.46,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2022,12/31/2021,0.31,1.1,,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,,0.53,,0.53,,0.51,,0.5,4/3/2021,0.5,2/28/2021,0.5,1/10/2021,0.5,12/9/2020,0.5,11/8/2020,0.48,10/15/2020,0.48,9/13/2020,0.48,8/5/2020,0.47,6/10/2020,0.47,5/5/2020,0.47,3/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,0.44,0.52,,0.52,,0.51,,0.52,,0.52,,0.52,,0.51,,0.5,,0.5,,0.49,,0.49,,0.49,,0.48,,0.47,,0.47,,0.47,,0.47,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.4,0.51,,0.51,,0.51,,0.5,,0.5,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.46,,0.47,,0.47,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.38,0.5,,0.49,,0.49,,0.49,,0.49,,0.48,,0.47,,0.46,,0.45,,0.45,,0.46,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,0.37,0.5,,0.48,,0.48,,0.47,,0.45,3/26/2020,0.44,3/26/2020,0.43,3/26/2020,0.44,3/26/2020,0.44,3/26/2020,0.53,3/26/2020,0.54,2/25/2020,0.54,2/22/2020,0.54,1/22/2020,0.54,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.52,0.5,,0.45,,0.44,,0.43,,0.43,,0.43,,0.53,,0.53,,0.53,,0.53,,0.53,,0.55,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
