CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,
N,,12/31/2026,,7.6279,7/18/2025,8.2688,6/14/2025,8.184,5/3/2025,6.3352293,5/2/2025,,,,,,,,
1. Collect DNK per,,9/30/2026,,7.8843,,8.2688,,8.316,,6.0219143,,,,,,,,,
ADR from 6-K,,6/30/2026,,7.3074,,7.6874,,7.722,,5.5456755,,,,,,,,DNK Convert,
2. Convert CNBC ,,3/31/2026,,7.3715,,7.5582,,7.59,,5.7148656,,,,,,,1.19,6.41,7.6279
proj to DNK,,12/31/2025,,6.9869,5/3/2025,7.1706,5/3/2025,7.128,5/3/2025,6.3352293,,,,,,,1.23,6.41,7.8843
,,9/30/2025,,6.6023,,6.5892,,6.798,,6.0219143,,,,,,,1.14,6.41,7.3074
,,6/30/2025,,6.0895,,5.9432,,6.006,,5.5456755,,,,,,,1.15,6.41,7.3715
,5/7/2025,3/31/2025,6.53,6.5246,,6.072,,5.7148656,,,,,,,,,1.09,6.41,6.9869
,2/5/2025,12/31/2024,6.335989227,6.335989227,,5.075703,,4.02,,,,,,,,,1.03,6.41,6.6023
,11/6/2024,9/30/2024,6.120592137,6.120592137,,5.263692,,4.78,,,,,,,,,0.95,6.41,6.0895
,8/7/2024,6/28/2024,4.490147122,4.490147122,,4.135758,,4.705,,,,,,,,,,,
,5/2/2024,3/28/2024,5.683187852,5.683187852,,4.449073,,4.845,,,,,,,,,,,
,1/31/2024,12/29/2023,4.905224057,4.905224057,,3.885106,,3.99,,3.06,,6,,,,,,,
,11/2/2023,9/29/2023,5.007323561,5.007323561,,4.323747,,4.5,,3.58,,3.38,,,,,,,
,9/11/2023,6/30/2023,4.314875935,4.314875935,,4.41,,4.21,,3.63,,3.525,,,,,,,
,5/4/2023,3/31/2023,4.390181275,4.390181275,,4.32,,4.32,,4.03,,3.57,,,,,,,
,2/1/2023,12/30/2022,2.978817844,2.978817844,,2.91,,2.915,,3,,2.85,,2.46,,,,,
,11/2/2022,9/30/2022,3.175031497,3.175031497,,3.15,,2.925,,2.63,,2.605,,2.58,,,,,
,8/3/2022,6/30/2022,2.925622469,2.925622469,,2.805,,2.915,,2.795,,2.79,,2.835,,,,,
,4/29/2022,3/31/2022,3.111670931,3.111670931,,2.9,,2.84,,2.835,,2.895,,,,,,,
,2/2/2022,12/31/2021,2.377476818,2.377476818,,2.355,,2.3,,2.31,,2.295,,2.692658194,,,,,
,11/3/2021,9/30/2021,2.637623294,2.637623294,,2.5,,2.495,,2.475,,2.36,,2.976095899,,,,,
,8/4/2021,6/30/2021,2.628297514,2.628297514,,2.375,,2.415,,2.976095899,,2.834377046,,,,,,,
,5/5/2021,3/31/2021,2.725658536,2.725658536,,2.555,,2.940666186,,2.834377046,,,,,,,,,
,,12/31/2020,2.003749555,2.003749555,,1.975,,2.409220489,,2.30293135,,0,,1.948634219,,,,,
,,9/30/2020,2.205039717,2.205039717,,2.26,,2.550939342,,2.480079916,,2.515509629,,2.196642211,,,,,
,,6/30/2020,2.265555034,2.265555034,,2.515509629,,2.373790776,,2.30293135,,2.161212498,,2.112638286,,,,,
,,3/31/2020,2.526116868,2.526116868,,2.409220489,,2.142192414,,2.251117452,,2.275116572,,,,,,,
,,12/31/2019,1.844243219,1.844243219,,1.7232325,,1.8301845,,1.8944015,,2.0228355,,,,,,,
,,9/30/2019,2.147733019,2.147733019,,1.942553,,1.9738845,,,,,,,,,,,
,,6/28/2019,2.012796308,2.012796308,,1.9112215,,1.8485585,,1.9738845,,,,,,,,,
