CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Y/N,,4/30/2027,,0.91,1/15/2026,1.07,12/8/2025,1.4,10/20/2025,1.77,9/7/2025,2.45,7/21/2025,2.33,6/16/2025,,,
,,1/30/2027,,1.18,,0.89,,1.39,,1.95,,1.62,,1.56,,,,
,,10/30/2026,,0.63,,0.32,,0.82,,0.99,,1.11,,0.94,,,,
,,7/30/2026,,0.26,,-0.01,,0.42,,1.01,,1.3,,1.13,,,,
,,4/30/2026,,0.61,5/20/2025,0.19,5/20/2025,0.96,5/20/2025,1.14,5/20/2025,1.29,5/20/2025,1.26,5/20/2025,,,
,,1/30/2026,,0.21,,0.02,,0.65,,1.17,,0.96,,0.91,,,,
,12/4/2025,10/30/2025,-2.71,-0.79,,0.14,,0.49,,0.53,,0.51,,,,,,
,9/4/2025,7/30/2025,-0.69,-0.69,,0.83,,0.73,,0.69,,,,,,,,
,6/12/2025,4/30/2025,1.26,1.26,7/30/2024,0.95,7/30/2024,1.1,7/30/2024,1.11,7/30/2024,,,,,,,
,3/6/2025,1/30/2025,0.37,0.37,,0.11,,-0.21,,-0.43,,,,,,,,
,12/5/2024,10/30/2024,0.61,0.61,,-0.1,,-0.13,,0.13,,,,,,,,
,9/6/2024,7/30/2024,-0.15,-0.15,,0.6,,0.61,,0.52,,,,,,,,
,6/18/2024,4/30/2024,0.06,0.06,8/13/2023,1.03,8/13/2023,1.03,8/13/2023,1.46,8/13/2023,,,,,,,
,3/8/2024,1/30/2024,-1.34,-1.34,,-0.22,,-0.2,,0.74,,,,,,,,
,12/5/2023,10/30/2023,-4.3,-4.3,,0.79,,0.79,,0.76,,,,,,,,
,9/5/2023,7/30/2023,0.63,0.63,,0.91,,0.68,,1.41,,,,,,,,
,5/24/2023,4/30/2023,0.32,0.32,,1.38,,1.33,,1.64,,,,,,,,
,2/22/2023,1/30/2023,0.23,0.23,,0.49,,0.5,,1.5,,,,,,,,
,11/16/2022,10/30/2022,0.48,0.48,,2.17,,2.17,,2.64,,,,,,,,
,8/17/2022,7/30/2022,2.07,2,,3.14,,2.99,,2.99,,,,,,,,
,5/23/2022,4/30/2022,3.97,3.97,,3.1,,3.17,,3.26,,,,,,,,
,2/16/2022,1/29/2022,2.82,2.77,,2.82,,2.71,,2.91,,,,,,,,
,11/17/2021,10/30/2021,3.41,3.41,,3.2,,3.2,,3.56,,,,,,,,
