CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,12/31/2026,,0.04,9/18/2025,0.04,8/14/2025,0.04,7/23/2025,0.04,6/25/2025,0.04,5/12/2025,0.05,4/1/2025,0.05,2/21/2025,0.04,1/22/2025,0.04,1/21/2025,,,
Plots Adjusted,,9/30/2026,,0.03,,0.03,,0.04,,0.04,,0.04,,0.05,,0.04,,0.04,,0.04,,,,
,,6/30/2026,,0.02,,0.03,,0.03,,0.03,,0.03,,0.02,,0.02,,0.01,,0.01,,,,
,,3/30/2026,,0.01,,0.01,,0.02,,0.02,,0.02,,0.01,,0.01,,0.02,,0.02,,,,
,,12/31/2025,,0.04,1/22/2025,0.04,1/22/2025,0.04,1/22/2025,0.04,1/22/2025,0.04,1/22/2025,0.04,1/22/2025,0.04,1/22/2025,0.04,1/22/2025,0.04,1/21/2025,,,
,,9/30/2025,,0.02,,0.02,,0.03,,0.03,,0.03,,0.04,,0.04,,0.04,,0.04,,,,
,8/6/2025,6/30/2025,-0.19,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,,,,,
,5/7/2025,3/30/2025,-0.17,-0.01,,-0.01,,-0.01,,0.02,,0.02,,,,,,,,,,,,
,2/19/2025,12/31/2024,-0.26,0.02,,0.01,,0.01,,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,-0.14,0.03,,0.03,,,,,,,,,,,,,,,,,,
,8/8/2024,6/30/2024,-0.19,-0.01,,-0.01,,,,,,,,,,,,,,,,,,
,5/9/2024,3/30/2024,-0.18,0.01,,0.01,,,,,,,,,,,,,,,,,,
,2/20/2024,12/31/2023,-0.16,0.04,,0.04,,,,,,,,,,,,,,,,,,
,11/7/2023,9/30/2023,-0.15,0.05,,0.05,,,,,,,,,,,,,,,,,,
,8/8/2023,6/30/2023,-0.24,0.02,,0.02,,,,,,,,,,,,,,,,,,
,5/9/2023,3/30/2023,-0.23,-0.04,,-0.04,,,,,,,,,,,,,,,,,,
,2/15/2023,12/31/2022,-0.21,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,11/2/2022,9/30/2022,-0.2,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,-0.22,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,-0.2,-0.07,,-0.07,,,,,,,,,,,,,,,,,,
,2/16/2022,12/31/2021,-0.2,-0.05,,-0.05,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,-0.93,-0.05,,-0.05,,,,,,,,,,,,,,,,,,
,,6/30/2021,-0.34,-0.15,,-0.15,,,,,,,,,,,,,,,,,,
,,3/31/2021,-0.23,-0.13,,-0.13,,,,,,,,,,,,,,,,,,
,,12/31/2020,-0.21,-0.02,,-0.02,,,,,,,,,,,,,,,,,,
,,9/30/2020,-0.1,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
