CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,,,,,,
Non-GAAP,,8/30/2027,,10.88,1/22/2026,9.87,12/22/2025,5.56,12/1/2025,4.98,10/28/2025,4.72,9/28/2025,3.64,8/25/2025,3.48,6/27/2025,3.04,5/30/2025
,,5/30/2027,,10.68,,9.82,,5.5,,4.95,,4.63,,3.3,,3.11,,2.81,
,,2/28/2027,,10.68,,9.97,,5.46,,4.89,,4.55,,3.07,,2.87,,2.55,
,,11/30/2026,,10.98,,10.35,,5.42,,5.03,,4.76,,2.99,,2.76,,2.47,
,,8/30/2026,,10.32,8/25/2025,9.76,8/25/2025,4.95,8/25/2025,4.7,8/25/2025,4.44,8/25/2025,3.64,8/25/2025,3.48,6/27/2025,3.04,5/30/2025
,,5/30/2026,,9.48,,8.99,,4.56,,4.38,,4.19,,3.3,,3.11,,2.81,
,,2/28/2026,,8.42,,7.99,,4.1,,4,,3.88,,3.07,,2.87,,2.55,
,12/17/2025,11/30/2025,4.6,4.78,,3.78,,3.75,,3.65,,2.99,,2.76,,2.47,,,
,9/23/2025,8/30/2025,2.83,3.03,11/12/2024,2.86,11/12/2024,2.4,11/12/2024,1.96,11/12/2024,,,,,,,,
,6/25/2025,5/30/2025,1.68,1.91,,1.58,,1.57,,1.57,,,,,,,,,
,3/20/2025,2/28/2025,1.41,1.56,,1.43,,1.51,,1.95,,,,,,,,,
,12/18/2024,11/30/2024,1.67,1.79,,1.76,,1.75,,1.82,,,,,,,,,
,9/25/2024,8/30/2024,0.79,1.18,11/7/2023,1.15,11/7/2023,1.14,11/7/2023,1.02,11/7/2023,,,,,,,,
,6/26/2024,5/30/2024,0.3,0.62,,0.51,,0.47,,0.45,,,,,,,,,
,3/20/2024,2/28/2024,0.71,0.42,,-0.28,,-0.28,,-0.78,,,,,,,,,
,12/20/2023,11/30/2023,-1.12,-0.95,,-1.01,,-1.01,,-0.95,,,,,,,,,
,9/27/2023,8/30/2023,-1.31,-1.07,,-1.18,,-1.15,,-1.04,,,,,,,,,
,6/28/2023,5/30/2023,-1.73,-1.43,,-1.55,,-1.55,,-0.8,,,,,,,,,
,3/28/2023,2/28/2023,-2.12,-1.91,,-0.65,,-0.62,,-0.6,,,,,,,,,
,12/21/2022,11/30/2022,-0.18,-0.04,,0.05,,0.17,,0.78,,,,,,,,,
,9/29/2022,8/31/2022,1.35,1.45,,1.31,,1.65,,2.57,,,,,,,,,
,6/30/2022,5/28/2022,2.34,2.59,,2.46,,2.46,,2.45,,,,,,,,,
,3/29/2022,2/28/2022,2,2.14,,1.97,,1.97,,1.97,,,,,,,,,
,12/20/2021,11/30/2021,2.04,2.16,,2.11,,2.11,,2.63,,,,,,,,,
,9/28/2021,8/31/2021,2.39,2.42,,2.33,,2.32,,2.32,,,,,,,,,
,6/30/2021,5/28/2021,1.52,1.88,,1.68,,1.63,,1.62,,,,,,,,,
,3/31/2021,2/28/2021,0.53,0.98,,0.77,,0.75,,0.44,,,,,,,,,
,1/7/2021,11/30/2020,0.71,0.78,,0.48,,0.47,,0.77,,,,,,,,,
,9/29/2020,8/31/2020,0.87,1.08,,1.01,,1.01,,1.02,,,,,,,,,
,6/29/2020,5/30/2020,0.71,0.82,,0.77,,0.56,,0.55,,,,,,,,,
,3/25/2020,2/28/2020,0.36,0.45,,0.36,,0.36,,0.36,,,,,,,,,
,12/18/2019,11/27/2019,0.43489814,0.48,,0.47,,0.48,,0.49,,,,,,,,,
,9/26/2019,8/29/2019,0.497340426,0.56,,0.49,,0.48,,0.47,,,,,,,,,
,6/25/2019,5/30/2019,0.744021258,1.05,,0.79,,0.8,,0.82,,,,,,,,,
,3/20/2019,2/28/2019,1.418930762,1.71,,1.67,,1.7,,1.71,,,,,,,,,
,12/18/2018,11/29/2018,2.804940375,2.97,,2.96,,2.94,,2.93,,,,,,,,,
,9/20/2018,8/31/2018,3.556743421,3.53,,3.34,,3.33,,3.36,,,,,,,,,
,6/20/2018,5/31/2018,3.095546559,3.15,,3.14,,3.12,,2.86,,,,,,,,,
,3/22/2018,3/1/2018,2.672859451,2.82,,2.73,,2.68,,2.57,,,,,,,,,
,12/19/2017,11/30/2017,2.186122449,2.45,,2.21,,2.19,,2.18,,,,,,,,,
,9/26/2017,8/31/2017,1.99494524,,,1.84,,1.82,,1.54,,,,,,,,,
,6/29/2017,6/1/2017,1.399320306,,,1.51,,1.5,,0.68,,,,,,,,,
