CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
Adjusted,,9/30/2027,,3.82,1/9/2026,3.88,11/10/2025,3.6,10/21/2025,3.6,9/9/2025,3.66,8/4/2025,3.7,6/17/2025
,,6/30/2027,,3.56,,3.58,,3.28,,3.29,,3.29,,3.27,
,,3/30/2027,,3.35,,3.35,,3.03,,3.04,,3.04,,3.05,
,,12/30/2026,,3.34,,3.33,,3.08,,3.09,,3.07,,3.06,
,,9/30/2026,,3.59,10/21/2025,3.6,10/21/2025,3.6,10/21/2025,3.6,9/9/2025,3.66,8/4/2025,3.7,6/17/2025
,,6/30/2026,,3.33,,3.33,,3.28,,3.29,,3.29,,3.27,
,,3/30/2026,,3.02,,3.02,,3.03,,3.04,,3.04,,3.05,
,,12/30/2025,,3.05,,3.06,,3.08,,3.09,,3.07,,3.06,
,11/6/2025,9/30/2025,0.02,3.39,11/11/2024,3.39,11/11/2024,3.39,11/11/2024,3.43,11/11/2024,3.48,11/11/2024,,
,7/31/2025,6/30/2025,3.2,3.09,,2.98,,3.11,,3.31,,,,,
,5/1/2025,3/30/2025,-7.77,2.69,,2.83,,2.86,,3.05,,,,,
,2/6/2025,12/30/2024,2.77,2.86,,2.84,,2.94,,3.21,,,,,
,11/7/2024,9/30/2024,8.75,3.56,12/31/2023,3.48,12/31/2023,3.49,12/31/2023,3.5,12/31/2023,,,,
,8/1/2024,6/30/2024,3.13,3.2,,3.05,,3.06,,3.3,,,,,
,4/30/2024,3/30/2024,2.57,2.85,,2.7,,2.72,,3.16,,,,,
,2/5/2024,12/30/2023,2.73,2.82,,3.01,,3,,3,,,,,
,11/7/2023,9/30/2023,3.11,3.15,,3.12,,3.12,,3.15,,,,,
,8/5/2023,6/30/2023,2.67,2.98,,2.92,,2.92,,2.91,,,,,
,5/9/2023,3/30/2023,1.97,2.74,,2.65,,2.63,,2.64,,,,,
,2/2/2023,12/30/2022,2.57,2.64,,2.7,,2.7,,2.69,,,,,
,11/3/2022,9/30/2022,2.62,2.89,,2.76,,2.79,,2.79,,,,,
,8/4/2022,6/30/2022,2.6,2.62,,2.61,,2.62,,2.61,,,,,
,5/5/2022,3/31/2022,2.38,2.38,,2.36,,2.34,,2.52,,,,,
,2/4/2022,12/31/2021,2.52,2.52,,2.53,,2.56,,2.485059203,,,,,
,11/4/2021,9/30/2021,2.74,2.51,,2.5,,2.47,,2.82,,,,,
,8/9/2021,6/30/2021,2.398202247,2.31,,2.37,,2.39,,2.76,,,,,
,5/10/2021,3/31/2021,2.126292135,2.08,,2.12,,2.26,,2.54,,,,,
,2/4/2021,12/31/2020,2.165318958,2.12,,2.19,,2.18,,2.44,,,,,
,11/11/2020,9/30/2020,2.1868823,2.19,,2.21,,2.62,,2.58,,,,,
,7/23/2020,6/30/2020,2.007643885,2.01,,1.99,,2.53,,2.44,,,,,
,4/23/2020,3/31/2020,2.149347728,2.04,,2.06,,2.17,,2.26,,,,,
,1/24/2020,12/31/2019,2.140414041,2.14,,2.08,,2.1,,2.14,,,,,
,11/7/2019,9/30/2019,2.265646105,2.27,,2.29,,2.3,,2.26,,,,,
,7/25/2019,6/28/2019,2.199188824,2.17,,2.15,,2.19,,2.16,,,,,
,4/24/2019,3/29/2019,1.902890696,1.92,,1.87,,1.93,,1.94,,,,,
,1/25/2019,12/31/2018,1.57239819,1.86,,1.87,,1.92,,1.79,,,,,
,,9/28/2018,2.050248981,2,,1.99,,2,,1.93,,,,,
,,6/29/2018,2.145314622,1.95,,1.84,,1.82,,1.73,,,,,
,,3/29/2018,1.885869565,1.71,,1.68,,1.65,,1.77,,,,,
,1/26/2018,12/29/2017,0.701451906,1.79,,1.65,,1.6,,1.68,,,,,
,,9/29/2017,2.129486597,,,1.68,,1.66,,1.67,,,,,
,,6/30/2017,0.463603276,,,1.59,,1.64,,1.66,,,,,
,,3/31/2017,9.695038689,,,1.38,,1.41,,1.55,,,,,
,,12/30/2016,1.364588075,,,1.48,,1.98,,,,,,,
,,9/30/2016,1.799086758,,,1.98,,1.99,,1.95,,,,,
,,6/30/2016,1.587185355,,,1.91,,1.9,,1.92,,,,,
,,3/31/2016,-2.172097292,,,1.8,,1.76,,1.75,,,,,
,,12/31/2015,1.670955882,,,1.71,,1.7,,1.81,,,,,
,,9/30/2015,1.582452917,,,1.8,,1.76,,1.81,,,,,
,,6/30/2015,1.466421343,,,0.59,,1.65,,1.64,,,,,
,,3/31/2015,1.333946642,,,1.02,,1.55,,1.54,,,,,
,,12/31/2014,1.498614958,,,1.49,,1.51,,1.53,,,,,
,,9/30/2014,0.481036078,,,1.61,,1.62,,1.61,,,,,
