CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Diluted_Adjusted,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adj. Dilu. Per ADS,,3/30/2025,,1.34,8/23/2023,1.33,7/21/2023,,6/11/2023,1.18,4/29/2023,1.16,4/7/2023,1.16,2/24/2023,1.16,1/21/2023,1.13,12/17/2022,1.12,11/8/2022,1.16,10/2/2022,1.16,8/28/2022,1.16,7/25/2022,1.16,6/26/2022,,5/23/2022,1.02,4/23/2022,1.01,4/3/2022,1.01,2/28/2022,1.01,1/21/2022,0.99,1/13/2022,0.99,12/8/2021,0.98,11/1/2021,0.98,9/18/2021,0.98,8/19/2021,0.98,7/16/2021,0.87,6/23/2021,0.86,5/23/2021,0.82,4/22/2021,0.82,3/20/2021,0.82,2/21/2021,0.82,1/21/2021,0.82,12/14/2020,0.82,11/15/2020,0.83,10/15/2020,0.83,0.85,,9/1/2020,0.81,7/30/2020
,,12/30/2024,,1.26,,1.26,,,,1.12,,1.12,,1.12,,1.12,,1.1,,1.09,,1.07,,1.07,,1.08,,1.08,,,,0.97,,0.97,,0.97,,0.97,,0.95,,0.95,,0.94,,0.94,,0.94,,0.94,,0.82,,0.82,,0.79,,0.79,,0.79,,0.78,,0.78,,0.78,,0.79,,0.79,0.81,,,0.77,
,,9/30/2024,,1.17,,1.17,,,,1.03,,1.03,,1.03,,1.03,,1.03,,1.03,,1,,1,,1.01,,1.01,,,,0.9,,0.92,,0.92,,0.92,,0.91,,0.91,,0.9,,0.89,,0.89,,0.88,,0.77,,0.77,,0.74,,0.74,,0.74,,0.74,,0.73,,0.73,,0.74,,0.74,0.77,,,0.73,
,,6/30/2024,,1.14,,1.14,,,,0.93,,0.98,,0.98,,0.98,,0.96,,0.96,,0.96,,0.96,,0.93,,0.93,,,,0.8,,0.84,,0.84,,0.84,,0.82,,0.82,,0.82,,0.82,,0.82,,0.81,,0.68,,0.68,,0.68,,0.68,,0.68,,0.7,,0.68,,0.68,,0.69,,0.69,0.73,,,0.69,
,,3/30/2024,,1.2,6/11/2023,1.19,6/11/2023,1.19,6/11/2023,1.18,4/29/2023,1.16,4/7/2023,1.16,2/24/2023,1.16,1/21/2023,1.13,12/17/2022,1.12,11/8/2022,1.16,10/2/2022,1.16,8/28/2022,1.16,7/25/2022,1.16,6/26/2022,,5/23/2022,1.02,4/23/2022,1.01,4/3/2022,1.01,2/28/2022,1.01,1/21/2022,0.99,1/13/2022,0.99,12/8/2021,0.98,11/1/2021,0.98,9/18/2021,0.98,8/19/2021,0.98,7/16/2021,0.87,6/23/2021,0.86,5/23/2021,0.82,4/22/2021,0.82,3/20/2021,0.82,2/21/2021,0.82,1/21/2021,0.82,12/14/2020,0.82,11/15/2020,0.83,10/15/2020,0.83,0.85,,9/1/2020,0.81,7/30/2020
,,12/30/2023,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.1,,1.09,,1.07,,1.07,,1.08,,1.08,,,,0.97,,0.97,,0.97,,0.97,,0.95,,0.95,,0.94,,0.94,,0.94,,0.94,,0.82,,0.82,,0.79,,0.79,,0.79,,0.78,,0.78,,0.78,,0.79,,0.79,0.81,,,0.77,
,,9/30/2023,,1.03,,1.03,,1.03,,1.03,,1.03,,1.03,,1.03,,1.03,,1.03,,1,,1,,1.01,,1.01,,,,0.9,,0.92,,0.92,,0.92,,0.91,,0.91,,0.9,,0.89,,0.89,,0.88,,0.77,,0.77,,0.74,,0.74,,0.74,,0.74,,0.73,,0.73,,0.74,,0.74,0.77,,,0.73,
,7/20/2023,6/30/2023,0.6,1.01,,0.93,,0.93,,0.98,,0.98,,0.98,,0.96,,0.96,,0.96,,0.96,,0.93,,0.93,,,,0.8,,0.84,,0.84,,0.84,,0.82,,0.82,,0.82,,0.82,,0.82,,0.81,,0.68,,0.68,,0.68,,0.68,,0.68,,0.7,,0.68,,0.68,,0.69,,0.69,0.73,,,0.69,,,
,4/27/2023,3/30/2023,0.72,1.04,,1.02,,1.02,,1.02,,0.99,,0.98,,1,,1,,1.02,,1.03,,1.03,,1.02,4/23/2022,1.01,4/3/2022,1.01,2/28/2022,1.01,1/21/2022,0.99,1/13/2022,0.99,12/8/2021,0.98,11/1/2021,0.98,9/18/2021,0.98,8/19/2021,0.98,7/16/2021,0.87,6/23/2021,0.86,5/23/2021,0.82,4/22/2021,0.82,3/20/2021,0.82,2/21/2021,0.82,1/21/2021,0.82,12/14/2020,0.82,11/15/2020,0.83,10/15/2020,0.83,0.85,,9/1/2020,0.81,7/30/2020,,,,,,
,1/19/2023,12/30/2022,0.69,1.01,,0.97,,0.97,,0.94,,0.94,,0.96,,0.97,,0.97,,0.97,,0.97,,0.97,,0.97,,0.95,,0.95,,0.94,,0.94,,0.94,,0.94,,0.82,,0.82,,0.79,,0.79,,0.79,,0.78,,0.78,,0.78,,0.79,,0.79,0.81,,,0.77,,,,,,,,,,,,,
