CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,
N,,12/31/2021,0.5,11/8/2020,0.51,10/3/2020,0.52,7/31/2020,0.54,6/18/2020,0.67,5/10/2020,0.67,3/23/2020,,,,,,,,,,,
,,9/30/2021,0.43,,0.43,,0.42,,0.43,,0.52,,0.52,,,,,,,,,,,,
,,6/30/2021,0.42,,0.43,,0.35,,0.36,,0.42,,0.42,,,,,,,,,,,,
,,3/31/2021,0.2,,0.2,,0.24,,0.24,,0.39,,0.39,,,,,,,,,,,,
,,12/31/2020,0.49,3/23/2020,0.49,3/23/2020,0.53,3/23/2020,0.52,3/23/2020,0.59,3/23/2020,0.73,3/23/2020,0.76,2/18/2020,0.75,1/25/2020,0.75,,0.76,,0.79,0.81,0.78
,11/5/2020,9/30/2020,0.39,,0.44,,0.41,,0.41,,0.49,,0.64,,0.64,,0.64,,0.64,,0.65,,0.66,,
,7/30/2020,6/30/2020,0.07,,0.28,,0.38,,0.56,,0.58,,0.58,,0.58,,0.59,,0.6,0.58,,,,,
,5/7/2020,3/31/2020,0,,0.44,,0.48,,0.48,,0.48,,0.49,,0.45,,,,,,,,,,
,2/17/2020,12/31/2019,0.53,,0.66,,0.66,,0.67,,0.68,0.69,0.67,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.45,,0.56,,0.58,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,0.441519802,,0.51,,0.52,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.435338929,,0.34,,0.38,,,,,,,,,,,,,,,,,,
,2/20/2019,12/31/2018,0.480188414,,0.58,,,,,,,,,,,,,,,,,,,,
,11/7/2018,9/28/2018,0.214731633,,0.43,,0.45,,,,,,,,,,,,,,,,,,
,8/8/2018,6/29/2018,0.100742231,,0.33,,0.35,,,,,,,,,,,,,,,,,,
,5/10/2018,3/29/2018,0.115511652,,0.27,,0.28,,,,,,,,,,,,,,,,,,
,2/15/2018,12/29/2017,-0.80605673,,0.51,,0.66,,0.68,,,,,,,,,,,,,,,,
,11/1/2017,9/29/2017,0.362301744,,0.34,,0.46,,0.53,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.318857021,,0.43,,0.44,,0.54,,,,,,,,,,,,,,,,
,5/1/2017,3/31/2017,0.145115216,,0.19,,0.4,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.49719084,,0.64,,0.66,,,,,,,,,,,,,,,,,,
,,9/30/2016,-0.1606152,,0.62,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.481223742,,0.6,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.289415344,,0.42,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.533379169,,0.92,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.703086512,,0.79,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.556311234,,0.8,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.2034953,,0.69,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.153602287,,1.13,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.934791935,,1,,,,,,,,,,,,,,,,,,,,
