CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,0.64,9/17/2022,0.63,8/14/2022,0.61,7/20/2022,0.61,6/20/2022,0.61,5/14/2022,0.61,4/20/2022,,3/18/2022,0.63,2/13/2022,0.62,1/12/2022,0.62,12/8/2021,0.61,11/3/2021,0.6,10/10/2021,0.6,9/9/2021,0.61,8/3/2021,0.6,7/9/2021,0.59,6/3/2021,0.59,5/6/2021,0.59,4/20/2021,0.51,3/19/2021,0.47,2/16/2021,0.48,1/31/2021,0.48,12/24/2020,0.48,12/23/2020
,,9/30/2023,,0.56,,0.56,,0.57,,0.57,,0.57,,0.57,,,,0.59,,0.6,,0.6,,0.6,,0.6,,0.58,,0.58,,0.57,,0.57,,0.55,,0.55,,0.48,,0.46,,0.46,,0.46,,0.46,
,,6/30/2023,,0.66,,0.61,,0.63,,0.63,,0.63,,0.63,,,,0.68,,0.67,,0.67,,0.67,,0.67,,0.67,,0.61,,0.6,,0.6,,0.54,,0.54,,0.47,,0.45,,0.45,,0.45,,0.45,
,,3/30/2023,,0.66,,0.67,,0.7,,0.7,,0.7,,0.7,,,,0.64,,0.63,,0.63,,0.63,,0.6,,0.6,,0.6,,0.6,,0.58,,0.54,,0.54,,0.47,,0.45,,0.48,,0.48,,0.48,
,,12/31/2022,,0.56,,0.56,,0.56,,0.56,,0.56,,0.57,,0.57,,0.63,2/13/2022,0.62,1/12/2022,0.62,12/8/2021,0.61,11/3/2021,0.6,10/10/2021,0.6,9/9/2021,0.61,8/3/2021,0.6,7/9/2021,0.59,6/3/2021,0.59,5/6/2021,0.59,4/20/2021,0.51,3/19/2021,0.47,2/16/2021,0.48,1/31/2021,0.48,12/24/2020,0.48,12/23/2020
,,9/30/2022,,0.5,,0.5,,0.53,,0.53,,0.53,,0.54,,0.54,,0.59,,0.6,,0.6,,0.6,,0.6,,0.58,,0.58,,0.57,,0.57,,0.55,,0.55,,0.48,,0.46,,0.46,,0.46,,0.46,
,8/9/2022,6/30/2022,0.62,0.62,,0.57,,0.57,,0.58,,0.6,,0.61,,0.68,,0.67,,0.67,,0.67,,0.67,,0.67,,0.61,,0.6,,0.6,,0.54,,0.54,,0.47,,0.45,,0.45,,0.45,,0.45,,,
,5/10/2022,3/31/2022,0.61,0.66,,0.58,,0.57,,0.64,,0.63,,0.63,,0.63,,0.6,,0.6,,0.6,,0.6,,0.58,,0.54,,0.54,,0.47,,0.45,,0.48,,0.48,,0.48,,,,,,,,,
,2/11/2022,12/31/2021,0.54,0.61,,0.63,,0.62,,0.61,,0.53,,0.53,,0.53,,0.53,,0.52,,0.52,,0.51,4/20/2021,0.51,3/19/2021,0.47,2/16/2021,0.48,1/31/2021,0.48,12/24/2020,0.48,12/23/2020,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,0.49,0.52,,0.54,,0.53,,0.52,,0.51,,0.52,,0.5,,0.48,,0.48,,0.46,,0.46,,0.46,,0.46,,,,,,,,,,,,,,,,,,,,,
