CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Adjusted Diluted,,6/30/2027,,0.47,12/14/2025,0.47,11/3/2025,0.54,9/24/2025,0.54,8/22/2025,0.34,7/21/2025,0.36,6/17/2025,
,,3/30/2027,,0.93,,0.93,,0.97,,0.97,,0.81,,0.79,,
,,12/31/2026,,1.07,,1.07,,1.06,,1.06,,0.84,,0.85,,
,,9/30/2026,,0.49,,0.49,,0.37,,0.37,,0.23,,0.24,,
,,6/30/2026,,0.28,7/21/2025,0.28,7/21/2025,0.34,7/21/2025,0.34,7/21/2025,0.34,7/21/2025,0.36,6/17/2025,
,,3/30/2026,,0.73,,0.74,,0.77,,0.79,,0.81,,0.79,,
,,12/31/2025,,0.82,,0.82,,0.8,,0.81,,0.84,,0.85,,
,10/30/2025,9/30/2025,0.13,0.32,,0.17,,0.18,,0.23,,0.24,,,,
,8/20/2025,6/30/2025,-1.51,0.09,10/4/2024,0.08,10/4/2024,0.09,10/4/2024,0.25,10/4/2024,,,,,
,5/1/2025,3/30/2025,0.44,0.65,,0.32,,0.32,,0.64,,,,,,
,2/4/2025,12/31/2024,-1.64,0.62,,0.32,,0.31,,0.38,,,,,,
,10/31/2024,9/30/2024,-0.43,0.14,,0.11,,0.09,,0.66,,,,,,
,8/19/2024,6/30/2024,-0.79,0.64,11/3/2023,0.27,11/3/2023,0.28,11/3/2023,0.29,11/3/2023,,,,,
,5/1/2024,3/30/2024,0.91,0.97,,0.47,,0.48,,0.81,,,,,,
,2/5/2024,12/31/2023,0.87,0.88,,0.55,,0.56,,0.58,,,,,,
,11/1/2023,9/30/2023,0.09,0.11,,-0.19,,0.74,,1.15,,,,,,
,8/18/2023,6/30/2023,-0.09,0.07,,-0.03,,1.41,,1.56,,,,,,
,5/3/2023,3/30/2023,0.43,0.47,,0.5,,0.51,,0.68,,,,,,
,2/2/2023,12/31/2022,1.09,1.54,,1.3,,1.29,,1.45,,,,,,
,11/2/2022,9/30/2022,1.35,1.37,,1.34,,1.74,,1.93,,,,,,
,8/18/2022,6/30/2022,0.14,0.42,,0.34,,0.34,,0.41,,,,,,
,5/3/2022,3/31/2022,1.53,1.9,,1.67,,1.68,,1.7,,,,,,
,2/3/2022,12/31/2021,2.97,3.01,,2.64,,2.64,,2.66,,,,,,
,11/2/2021,9/30/2021,1.88,1.89,,1.7,,1.69,,1.82,,,,,,
,8/19/2021,6/30/2021,2.76,0.78,,0.5,,0.5,,0.5,,,,,,
,5/3/2021,3/31/2021,1.24,1.62,,1.28,,1.28,,1.46,,,,,,
,2/5/2021,12/31/2020,2.37,2.61,,1.66,,1.65,,1.71,,,,,,
,11/2/2020,9/30/2020,1.42,1.44,,0.89,,0.89,,1.2,,,,,,
,8/20/2020,6/30/2020,-1.28,-0.53,,-0.22,,-0.14,,0.27,,,,,,
,5/1/2020,3/31/2020,-0.02,0.85,,0.95,,1.29,,1.63,,,,,,
,2/6/2020,12/31/2019,1.52,2.11,,1.9,,1.9,,1.89,,,,,,
,10/31/2019,9/30/2019,1.614215952,1.67,,1.6,,1.55,,1.5,,,,,,
,8/19/2019,6/28/2019,0.425358981,0.64,,0.53,,0.52,,0.66,0.67,,,,,
,5/1/2019,3/29/2019,1.506923704,1.55,,1.3,,1.24,,1.2,,,,,,
,2/5/2019,12/31/2018,1.549067315,1.74,,1.55,,1.54,,1.73,,,,,,
,10/31/2018,9/28/2018,1.335470085,1.41,,1.22,,1.34,,,,,,,,
,8/20/2018,6/29/2018,0.495075858,,,0.56,,0.58,,0.63,,,,,,
,5/2/2018,3/29/2018,0.990151717,,,1.07,,1.04,,0.83,,,,,,
,2/2/2018,12/29/2017,0.327040681,,,1.44,,1.35,,1.32,,,,,,
,11/1/2017,9/29/2017,1.137453383,,,0.97,,0.92,,0.93,0.94,,,,,
,8/18/2017,6/30/2017,0.612299465,,,0.43,,0.54,,0.55,0.49,,,,,
,5/3/2017,3/31/2017,0.800429761,,,0.73,,0.85,,0.84,0.72,,,,,
,2/2/2017,12/30/2016,1.148684917,,,1.17,,1.18,,1.19,1.34,,,,,
,11/2/2016,9/30/2016,0.787570319,,,0.8,,0.92,,0.91,,,,,,
,,6/30/2016,0.248802555,,,0.4,,0.5,,,,,,,,
,,3/31/2016,0.70713525,,,0.61,,0.6,,,,,,,,
,,12/31/2015,1.186702128,,,1.11,,,,,,,,,,
,,9/30/2015,0.816094987,,,0.7,,,,,,,,,,
,,6/30/2015,0.398749023,,,0.34,,,,,,,,,,
,,3/31/2015,0.707304393,,,0.5,,,,,,,,,,
,,12/31/2014,1.128464128,,,1.05,,,,,,,,,,
,,9/30/2014,0.58758372,,,0.55,,,,,,,,,,
,,6/30/2014,0.661108261,,,0.56,,,,,,,,,,
,,3/31/2014,0.543738842,,,0.55,,,,,,,,,,
,,12/31/2013,1.128464128,,,1.06,,,,,,,,,,
,,9/30/2013,0.761458597,,,0.73,,,,,,,,,,
,,6/28/2013,0.237673831,,,0.21,,,,,,,,,,
,,3/28/2013,0.453807107,,,0.34,,,,,,,,,,
,,12/31/2012,1.133772485,,,1.05,,,,,,,,,,
,,9/28/2012,0.757269279,,,0.77,,,,,,,,,,
,,6/29/2012,0.128934777,,,,,,,,,,,,,
,,3/30/2012,0.329043654,,,,,,,,,,,,,
,,12/30/2011,1.003795547,,,,,,,,,,,,,
,,9/30/2011,0.697721012,,,,,,,,,,,,,
,,6/30/2011,0.1,,,,,,,,,,,,,
,,3/31/2011,0.31,,,,,,,,,,,,,
,,12/31/2010,0.855,,,,,,,,,,,,,
,,9/30/2010,0.475,,,,,,,,,,,,,
,,6/30/2010,0.055,,,,,,,,,,,,,
,,3/31/2010,0.14,,,,,,,,,,,,,
,,12/31/2009,0.64,,,,,,,,,,,,,
,,9/30/2009,0.355,,,,,,,,,,,,,
,,6/30/2009,-0.05,,,,,,,,,,,,,
,,3/31/2009,0.07,,,,,,,,,,,,,
,,12/31/2008,0.4,,,,,,,,,,,,,
,,9/30/2008,0.13,,,,,,,,,,,,,
,,6/30/2008,0.305,,,,,,,,,,,,,
,,3/31/2008,0.23,,,,,,,,,,,,,
,,12/31/2007,0.57,,,,,,,,,,,,,
,,9/28/2007,0.1,,,,,,,,,,,,,
,,6/29/2007,0.185,,,,,,,,,,,,,
,,3/30/2007,0.225,,,,,,,,,,,,,
,,12/29/2006,0.495,,,,,,,,,,,,,
,,9/29/2006,0.135,,,,,,,,,,,,,
,,6/30/2006,0.095,,,,,,,,,,,,,
,,6/29/2006,0.14,,,,,,,,,,,,,
,,3/31/2006,0.14,,,,,,,,,,,,,
,,12/30/2005,0.19,,,,,,,,,,,,,
,,9/30/2005,0.13,,,,,,,,,,,,,
,,6/30/2005,0.14,,,,,,,,,,,,,
,,3/31/2005,0.23,,,,,,,,,,,,,
,,12/31/2004,0.3,,,,,,,,,,,,,
,,9/30/2004,0.205,,,,,,,,,,,,,
,,6/30/2004,0.155,,,,,,,,,,,,,
,,3/31/2004,0.21,,,,,,,,,,,,,
,,12/31/2003,0.205,,,,,,,,,,,,,
,,9/30/2003,0.165,,,,,,,,,,,,,
,,6/30/2003,0.095,,,,,,,,,,,,,
,,3/31/2003,0.165,,,,,,,,,,,,,
,,12/31/2002,0.22,,,,,,,,,,,,,
,,9/30/2002,0.14,,,,,,,,,,,,,
,,6/28/2002,-0.12,,,,,,,,,,,,,
,,3/28/2002,0.095,,,,,,,,,,,,,
,,12/31/2001,0.175,,,,,,,,,,,,,
,,9/28/2001,0.19,,,,,,,,,,,,,
,,6/29/2001,0.03,,,,,,,,,,,,,
,,3/30/2001,0.12,,,,,,,,,,,,,
,,12/29/2000,0.25,,,,,,,,,,,,,
,,9/29/2000,0.18,,,,,,,,,,,,,
,,6/30/2000,0.105,,,,,,,,,,,,,
,,3/31/2000,0.11,,,,,,,,,,,,,
,,12/31/1999,0.225,,,,,,,,,,,,,
,,9/30/1999,0.16,,,,,,,,,,,,,
,,6/30/1999,0.09,,,,,,,,,,,,,
,,3/31/1999,0.0975,,,,,,,,,,,,,
,,12/31/1998,0.19,,,,,,,,,,,,,
,,9/30/1998,0.1375,,,,,,,,,,,,,
,,6/30/1998,0.08,,,,,,,,,,,,,
,,3/31/1998,0.0825,,,,,,,,,,,,,
,,12/31/1997,0.165,,,,,,,,,,,,,
,,9/30/1997,0.1175,,,,,,,,,,,,,
,,6/30/1997,0.0675,,,,,,,,,,,,,
,,3/31/1997,0.0675,,,,,,,,,,,,,
,,12/31/1996,0.135,,,,,,,,,,,,,
