CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,,,,,,,,,,,,,
Non-GAAP,,9/30/2023,,0.26,10/8/2022,0.26,9/7/2022,0.28,8/2/2022,0.28,7/8/2022,0.28,6/5/2022,0.32,5/2/2022,0.32,4/8/2022,0.31,3/1/2022,0.35,1/29/2022,0.35,1/17/2022,0.28,12/10/2021,0.27,11/5/2021,0.27,10/7/2021,0.27,9/7/2021,0.29,7/31/2021,0.29,7/6/2021,0.29,5/31/2021,0.28,5/1/2021,0.26,4/3/2021,0.26,3/1/2021,0.26,1/29/2021,0.26,1/19/2021
,,6/30/2023,,0.26,,0.26,,0.28,,0.27,,0.27,,0.29,,0.29,,0.27,,0.29,,0.29,,0.26,,0.25,,0.25,,0.25,,0.22,,0.22,,0.22,,0.21,,0.2,,0.2,,0.2,,0.2,
,,3/30/2023,,0.23,,0.23,,0.26,,0.26,,0.26,,0.26,,0.26,,0.25,,0.24,,0.24,,0.21,,0.2,,0.2,,0.2,,0.21,,0.21,,0.21,,0.18,,0.18,,0.18,,0.17,,0.17,
,,12/30/2022,,0.18,,0.18,,0.21,,0.21,,0.21,,0.23,,0.23,,0.2,,0.18,,0.18,,0.16,,0.15,,0.17,,0.17,,0.18,,0.18,,0.18,,0.16,,0.17,,0.17,,0.16,,0.16,
,,9/30/2022,,0.2,,0.2,,0.2,,0.2,,0.2,,0.22,,0.25,,0.25,,0.28,,0.28,,0.28,,0.27,11/5/2021,0.27,10/7/2021,0.27,9/7/2021,0.29,7/31/2021,0.29,7/6/2021,0.29,5/31/2021,0.28,5/1/2021,0.26,4/3/2021,0.26,3/1/2021,0.26,1/29/2021,0.26,1/19/2021
,7/28/2022,6/30/2022,-0.02,0.23,,0.2,,0.2,,0.22,,0.25,,0.25,,0.26,,0.26,,0.26,,0.25,,0.25,,0.25,,0.22,,0.22,,0.22,,0.21,,0.2,,0.2,,0.2,,0.2,,,,,
,4/28/2022,3/31/2022,0.04,0.24,,0.2,,0.2,,0.21,,0.21,,0.21,,0.2,,0.2,,0.2,,0.21,,0.21,,0.21,,0.18,,0.18,,0.18,,0.17,,0.17,,,,,,,,,,,
,1/27/2022,12/31/2021,0.07,0.22,,0.16,,0.16,,0.15,,0.17,,0.17,,0.18,,0.18,,0.18,,0.16,,0.17,,0.17,,0.16,,0.16,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.05,0.22,,0.19,,0.19,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.22,1/19/2021,0.22,12/20/2020,0.22,12/19/2020,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,0.07,0.23,,0.16,,0.16,,0.17,,0.17,,0.17,,0.17,,0.16,,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2021,3/31/2021,0.02,0.16,,0.14,,0.14,,0.14,,0.13,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28/2021,12/31/2020,0.05,0.14,,0.12,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.12,0.26,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.03,0.16,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.02,0.13,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30/2020,12/31/2019,0.01,0.12,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.08,0.21,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,0.01,0.12,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,-0.02,0.07,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29/2019,12/31/2018,-0.08,0.03,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,-0.06,0.14,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,-0.08,0.06,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2018,3/29/2018,-0.03,0.06,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25/2018,12/29/2017,-0.17,0.03,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
