CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
N,,12/31/2021,3.12,8/30/2020,3.08,7/30/2020,3.08,6/18/2020,3.05,5/8/2020,3.05,3/28/2020,,,,,,,,,,,,
,,9/30/2021,2.98,,2.93,,2.93,,2.9,,2.9,,,,,,,,,,,,,
,,6/30/2021,2.81,,2.74,,2.7,,2.67,,2.67,,,,,,,,,,,,,
,,3/31/2021,2.67,,2.61,,2.62,,2.59,,2.59,,,,,,,,,,,,,
,,12/31/2020,2.25,3/28/2020,2.44,3/28/2020,2.6,3/28/2020,2.6,3/28/2020,2.83,3/28/2020,2.83,3/1/2020,3.07,1/30/2020,3.01,1/18/2020,2.98,,2.85,,2.84,
,,9/30/2020,2.47,,2.53,,2.58,,2.58,,2.8,,2.81,,2.95,,2.91,,2.88,,2.87,,2.83,
,7/30/2020,6/30/2020,-4.84,,2.58,,2.58,,2.75,,2.75,,2.84,,2.81,,2.76,,2.71,,2.72,,,
,5/6/2020,3/31/2020,2.5,,2.7,,2.7,,2.73,,2.71,,2.64,,2.55,,2.54,,,,,,,
,1/30/2020,12/31/2019,4,,2.57,,2.54,,2.45,,2.4,,2.43,2.42,2.38,2.36,2.39,2.37,,,,,,
,10/23/2019,9/30/2019,2.08285078,,2.47,,2.35,,2.38,,2.36,2.24,2.18,2.15,2.16,,,,,,,,,
,7/24/2019,6/28/2019,2.038120567,,2.34,,2.33,,2.3,,2.27,2.15,2.08,2.04,2.05,,,,,,,,,
,4/25/2019,3/29/2019,2.607095344,,2.19,,2.15,,2.04,,2,1.98,,,,,,,,,,,,
,2/4/2019,12/31/2018,-0.201612903,,1.82,,1.83,,1.89,,1.92,1.97,1.93,2.01,1.91,,,,,,,,,
,10/24/2018,9/28/2018,1.473285841,,1.74,,1.79,,1.8,,1.77,1.8,1.75,,,,,,,,,,,
,7/26/2018,6/29/2018,-2.054806828,,1.7,,1.69,,1.66,,1.7,1.67,1.66,1.61,,,,,,,,,,
,4/26/2018,3/29/2018,1.113544926,,1.5,,1.51,,1.55,,1.54,1.52,,,,,,,,,,,,
,2/8/2018,12/29/2017,0.133333333,,1.27,,1.33,,1.36,,1.47,1.5,1.53,1.58,1.76,,,,,,,,,
,10/26/2017,9/29/2017,0.346666667,,1.32,,1.33,,1.36,,1.45,1.46,1.5,1.6,1.75,1.28,,,,,,,,
,7/27/2017,6/30/2017,0.734222222,,1.26,,1.25,,1.29,,1.39,1.4,1.5,1.63,,,,,,,,,,
,4/27/2017,3/31/2017,0.752654867,,1.23,,1.24,,1.32,,1.31,1.44,1.57,1.25,,,,,,,,,,
,2/16/2017,12/30/2016,0.40900885,,1.25,,1.21,,1.27,,1.4,1.45,1.44,1.45,1.55,1.59,1.4,1.62,1.17,,,,,
,10/27/2016,9/30/2016,0.417262305,,1.17,,1.27,,1.33,,1.35,1.36,1.44,1.5,1.31,1.48,,,,,,,,
,7/28/2016,6/30/2016,0.509147044,,1.17,,1.18,,1.25,,1.26,1.32,1.35,1.22,1.36,1.14,,,,,,,,
,,3/31/2016,0.406244904,,1.13,,1.19,,1.23,,1.13,1.23,1.09,,,,,,,,,,,
,,12/31/2015,0.292165094,,1.1,,1.11,,1.13,,1.2,1.19,1.63,1.62,1.63,1.62,1.56,1.66,1.59,1.61,1.55,1.59,2.6,1.54
,,9/30/2015,-0.812264618,,1.01,,1.13,,1.1,,1.53,1.52,1.51,1.44,1.53,1.47,1.5,1.44,1.47,1.48,,,,
,,6/30/2015,0.832160003,,1.38,,1.41,,1.4,,1.38,1.42,1.36,1.39,1.4,1.32,1.29,1.38,,,,,,
,,3/31/2015,0.452017977,,1.33,,1.32,,1.33,,1.32,1.31,1.33,1.31,1.23,1.19,1.26,1.11,,,,,,
,,12/31/2014,0.760077727,,1.29,,1.28,,1.21,,1.19,1.16,1.15,1.07,0.93,0.9,0.82,0.87,0.81,1.06,,,,
,,9/30/2014,0.88285903,,1.16,,1.15,,1.14,,1.11,1.08,1.07,1,0.88,0.86,0.87,0.78,0.82,0.78,0.97,,,
,,6/30/2014,0.826179512,,1.07,,1.06,,1.01,,0.94,0.84,0.82,0.83,0.75,0.77,0.75,1.09,,,,,,
,,3/31/2014,0.789647381,,1.26,,1.27,,0.87,,0.83,0.81,0.82,0.83,0.82,0.78,0.91,0.73,,,,,,
,,12/31/2013,-0.096685842,,0.83,,0.84,,0.86,,0.85,,,,,,,,,,,,,
,,9/30/2013,0.469603577,,0.71,,0.79,,0.78,,0.77,0.76,,,,,,,,,,,,
,,6/28/2013,0.481111295,,0.6,,0.68,,0.67,,0.68,,,,,,,,,,,,,
,,3/28/2013,0.413032448,,0.52,,0.61,,0.6,,0.61,0.6,0.62,0.6,,,,,,,,,,
,,12/31/2012,0.402718578,,0.47,,0.53,,,,,,,,,,,,,,,,,
,,9/28/2012,0.458283203,,0.41,,0.47,,,,,,,,,,,,,,,,,
,,6/29/2012,0.184003126,,0.3,,0.41,,,,,,,,,,,,,,,,,
,,3/30/2012,0.233413857,,0.32,,0.3,,,,,,,,,,,,,,,,,
,,12/30/2011,0.24736561,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.341224286,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.181733068,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.147641478,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.146833504,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.155732484,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.122317476,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.118263169,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,1.355832676,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.152841149,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.098686684,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.088778183,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.098712667,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.128414516,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.015683632,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-0.028316095,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-0.084905401,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,-0.135,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,-0.19,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,-0.23,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,-0.595,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,-0.51,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,-0.53,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,-0.44,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,-0.375,,,,,,,,,,,,,,,,,,,,,
,,10/31/2005,-0.58,,,,,,,,,,,,,,,,,,,,,
,,7/29/2005,-0.58,,,,,,,,,,,,,,,,,,,,,
,,4/29/2005,-0.58,,,,,,,,,,,,,,,,,,,,,
,,1/31/2005,-0.44,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,-0.29,,,,,,,,,,,,,,,,,,,,,
,,10/29/2004,-0.35,,,,,,,,,,,,,,,,,,,,,
,,7/30/2004,-0.44,,,,,,,,,,,,,,,,,,,,,
,,4/30/2004,-0.58,,,,,,,,,,,,,,,,,,,,,
,,1/30/2004,-0.58,,,,,,,,,,,,,,,,,,,,,
,,10/31/2003,-0.505,,,,,,,,,,,,,,,,,,,,,
,,7/31/2003,-0.425,,,,,,,,,,,,,,,,,,,,,
,,4/30/2003,-0.345,,,,,,,,,,,,,,,,,,,,,
,,1/31/2003,-0.44,,,,,,,,,,,,,,,,,,,,,
,,10/31/2002,-0.595,,,,,,,,,,,,,,,,,,,,,
,,7/31/2002,-0.43125,,,,,,,,,,,,,,,,,,,,,
,,4/30/2002,-0.3525,,,,,,,,,,,,,,,,,,,,,
,,1/31/2002,-0.225,,,,,,,,,,,,,,,,,,,,,
,,10/31/2001,-0.16125,,,,,,,,,,,,,,,,,,,,,
,,7/31/2001,-0.1575,,,,,,,,,,,,,,,,,,,,,
,,4/30/2001,-0.135,,,,,,,,,,,,,,,,,,,,,
,,1/31/2001,-0.09375,,,,,,,,,,,,,,,,,,,,,
,,10/31/2000,-0.945,,,,,,,,,,,,,,,,,,,,,
,,7/31/2000,-0.1275,,,,,,,,,,,,,,,,,,,,,
,,4/28/2000,-0.1575,,,,,,,,,,,,,,,,,,,,,
,,1/31/2000,-0.0975,,,,,,,,,,,,,,,,,,,,,
,,10/29/1999,-0.1725,,,,,,,,,,,,,,,,,,,,,
,,7/30/1999,0.24609375,,,,,,,,,,,,,,,,,,,,,
,,4/30/1999,0.19875,,,,,,,,,,,,,,,,,,,,,
,,1/29/1999,-0.16125,,,,,,,,,,,,,,,,,,,,,
,,10/30/1998,-0.12375,,,,,,,,,,,,,,,,,,,,,
,,7/31/1998,-0.25453125,,,,,,,,,,,,,,,,,,,,,
,,4/30/1998,-0.1125,,,,,,,,,,,,,,,,,,,,,
,,1/30/1998,-0.1275,,,,,,,,,,,,,,,,,,,,,
,,10/31/1997,0.04875,,,,,,,,,,,,,,,,,,,,,
,,7/31/1997,-0.2765625,,,,,,,,,,,,,,,,,,,,,
