CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2025,,0.97,12/3/2024,1,10/26/2024,1.08,10/13/2024,1.11,9/6/2024,1.14,7/27/2024,1.23,6/13/2024,1.23,4/27/2024,0.96,4/10/2024,0.96,3/2/2024,1.19,12/31/2023,1.2,11/11/2023,1.61,9/27/2023,1.6,8/10/2023,1.6,6/20/2023,1.63,5/11/2023,,4/9/2023,1.6,3/1/2023,1.63,1/24/2023,1.81,12/17/2022,1.83,11/11/2022,1.74,10/21/2022,1.72,9/17/2022,1.69,8/14/2022,1.76,7/26/2022,1.78,6/21/2022,1.76,5/15/2022,1.76,4/10/2022,,3/7/2022,1.31,1/19/2022,1.28,12/14/2021,1.32,11/12/2021,1.27,10/18/2021,1.26,9/16/2021,1.22,8/14/2021,1.02,7/12/2021,1.05,6/11/2021,1.1,5/11/2021,0.66,4/4/2021,0.64,3/3/2021,0.49,1/5/2021,0.46,12/4/2020,0.46,11/6/2020,0.41,10/15/2020,0.41,,0.43
,,9/30/2025,,0.79,,0.8,,0.9,,0.99,,1.05,,1.06,,1.14,,0.9,,0.9,,1.09,,1.12,,1.54,,1.55,,1.56,,1.6,,,,1.48,,1.56,,1.69,,1.74,,1.77,,1.76,,1.72,,1.78,,1.79,,1.76,,1.76,,,,1.35,,1.38,,1.37,,1.37,,1.37,,1.32,,1.16,,1.17,,1.16,,0.62,,0.57,,0.55,,0.52,,0.52,,0.43,,0.43,,0.33
,,6/30/2025,,0.74,,0.73,,0.75,,0.93,,1.04,,1.04,,1.15,,0.95,,0.96,,1.09,,1.11,,1.68,,1.65,,1.51,,1.59,,,,1.45,,1.5,,1.65,,1.69,,1.69,,1.66,,1.62,,1.75,,1.82,,1.79,,1.79,,,,1.38,,1.39,,1.46,,1.51,,1.51,,1.45,,1.2,,1.2,,1.09,,0.61,,0.54,,0.52,,0.49,,0.49,,0.46,,0.46,,0.42
,,3/30/2025,,0.66,,0.68,,0.75,,0.88,,1.03,,0.98,,1.03,,0.59,,0.86,,1.07,,1.07,,1.47,,1.46,,1.45,,1.49,,,,1.31,,1.43,,1.55,,1.58,,1.73,,1.72,,1.66,,1.59,,1.58,,1.5,,1.5,,,,1.35,,1.36,,1.43,,1.46,,1.46,,1.37,,1.25,,1.24,,1.09,,0.57,,0.51,,0.5,,0.47,,0.47,,0.42,,0.42,,0.41
,,12/31/2024,,0.63,4/10/2024,0.71,4/10/2024,0.74,4/10/2024,0.91,4/10/2024,0.87,4/10/2024,0.96,4/10/2024,0.95,4/10/2024,0.96,4/10/2024,0.96,3/2/2024,1.19,12/31/2023,1.2,11/11/2023,1.61,9/27/2023,1.6,8/10/2023,1.6,6/20/2023,1.63,5/11/2023,,4/9/2023,1.6,3/1/2023,1.63,1/24/2023,1.81,12/17/2022,1.83,11/11/2022,1.74,10/21/2022,1.72,9/17/2022,1.69,8/14/2022,1.76,7/26/2022,1.78,6/21/2022,1.76,5/15/2022,1.76,4/10/2022,,3/7/2022,1.31,1/19/2022,1.28,12/14/2021,1.32,11/12/2021,1.27,10/18/2021,1.26,9/16/2021,1.22,8/14/2021,1.02,7/12/2021,1.05,6/11/2021,1.1,5/11/2021,0.66,4/4/2021,0.64,3/3/2021,0.49,1/5/2021,0.46,12/4/2020,0.46,11/6/2020,0.41,10/15/2020,0.41,,0.43
,10/24/2024,9/30/2024,0.11,0.11,,0.45,,0.61,,0.66,,0.76,,0.81,,0.9,,0.9,,1.09,,1.12,,1.54,,1.55,,1.56,,1.6,,,,1.48,,1.56,,1.69,,1.74,,1.77,,1.76,,1.72,,1.78,,1.79,,1.76,,1.76,,,,1.35,,1.38,,1.37,,1.37,,1.37,,1.32,,1.16,,1.17,,1.16,,0.62,,0.57,,0.55,,0.52,,0.52,,0.43,,0.43,,0.33,,
,7/25/2024,6/30/2024,0.49,0.49,,0.62,,0.81,,0.95,,0.96,,1.09,,1.11,,1.68,,1.65,,1.51,,1.59,,,,1.45,,1.5,,1.65,,1.69,,1.69,,1.66,,1.62,,1.75,,1.82,,1.79,,1.79,,,,1.38,,1.39,,1.46,,1.51,,1.51,,1.45,,1.2,,1.2,,1.09,,0.61,,0.54,,0.52,,0.49,,0.49,,0.46,,0.46,,0.42,,,,,,,,
,4/25/2024,3/30/2024,0.5,0.5,,0.59,,0.86,,1.07,,1.07,,1.47,,1.46,,1.45,,1.49,,,,1.31,,1.43,,1.55,,1.58,,1.73,,1.72,,1.66,,1.59,,1.58,,1.5,,1.5,,,,1.35,,1.36,,1.43,,1.46,,1.46,,1.37,,1.25,,1.24,,1.09,,0.57,,0.51,,0.5,,0.47,,0.47,,0.42,,0.42,,0.41,,,,,,,,,,,,
,2/27/2024,12/31/2023,0.56,0.52,4/9/2023,0.91,4/9/2023,0.95,4/9/2023,1.45,4/9/2023,1.48,4/9/2023,1.49,4/9/2023,1.53,4/9/2023,1.52,4/9/2023,1.6,3/1/2023,1.63,1/24/2023,1.81,12/17/2022,1.83,11/11/2022,1.74,10/21/2022,1.72,9/17/2022,1.69,8/14/2022,1.76,7/26/2022,1.78,6/21/2022,1.76,5/15/2022,1.76,4/10/2022,,3/7/2022,1.31,1/19/2022,1.28,12/14/2021,1.32,11/12/2021,1.27,10/18/2021,1.26,9/16/2021,1.22,8/14/2021,1.02,7/12/2021,1.05,6/11/2021,1.1,5/11/2021,0.66,4/4/2021,0.64,3/3/2021,0.49,1/5/2021,0.46,12/4/2020,0.46,11/6/2020,0.41,10/15/2020,0.41,,0.43,,,,,,,,,,,,,,,,
,11/7/2023,9/30/2023,0.77,0.77,,1.34,,1.34,,1.45,,1.47,,1.41,,1.48,,1.56,,1.69,,1.74,,1.77,,1.76,,1.72,,1.78,,1.79,,1.76,,1.76,,,,1.35,,1.38,,1.37,,1.37,,1.37,,1.32,,1.16,,1.17,,1.16,,0.62,,0.57,,0.55,,0.52,,0.52,,0.43,,0.43,,0.33,,,,,,,,,,,,,,,,,,,,
