Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,12/31/2020,0.4,3/25/2020,0.42,2/22/2020,0.43,1/24/2020,0.43,,0.42,,0.43,0.44,0.45,0.440943396
,9/30/2020,0.4,,0.42,,0.41,,0.41,,0.42,,0.43,0.44,0.440943396,
,6/30/2020,0.39,,0.4,,0.4,,0.4,,0.41,,0.42,0.41943396200000005,,
,3/31/2020,0.38,,0.38,,0.38,,0.38,,0.39,,0.39792452799999994,,,
,12/31/2019,0.382445141,,0.39,,0.4,,0.41,0.42,,,,,,
,9/30/2019,0.388496468,,0.39,,0.4,,0.41,0.4,0.41,,,,,
,6/28/2019,0.36956521700000006,,0.39,,,,,,,,,,,
,3/29/2019,0.36770428,,0.37,,0.36,,,,,,,,,
,12/31/2018,0.37142857100000004,,0.38,,0.34,,0.3,,,,,,,
,9/28/2018,0.50137237,,0.36,,0.33,,0.29,,,,,,,
,6/29/2018,0.318262411,,0.33,,0.31,,0.27,,,,,,,
,3/29/2018,0.34881682700000005,,0.31,,0.3,,0.25,,,,,,,
,12/29/2017,0.27405498300000003,,0.26,,0.25,,,,,,,,,
,9/29/2017,0.247275775,,0.25,,0.26,,0.25,,,,,,,
,6/30/2017,0.247524752,,0.24,,0.23,,,,,,,,,
,3/31/2017,0.227124183,,0.22,,0.23,,0.22,,,,,,,
,12/30/2016,0.22609400300000002,,0.23,,,,,,,,,,,
,9/30/2016,0.24281150199999998,,0.21,,,,,,,,,,,
,6/30/2016,0.204258675,,0.21,,,,,,,,,,,
,3/31/2016,0.19907048800000002,,0.19,,,,,,,,,,,
,12/31/2015,0.205657492,,0.2,,,,,,,,,,,
,9/30/2015,0.182503771,,0.2,,,,,,,,,,,
,6/30/2015,0.199851412,,0.2,,,,,,,,,,,
,3/31/2015,0.160530191,,0.18,,,,,,,,,,,
,12/31/2014,0.150829563,,0.21,,,,,,,,,,,
,9/30/2014,0.221174764,,0.21,,,,,,,,,,,
,6/30/2014,0.21007194199999998,,0.21,,,,,,,,,,,
,3/31/2014,0.222786647,,0.2,,,,,,,,,,,
,12/31/2013,0.15892598,,0.2,,,,,,,,,,,
,9/30/2013,0.2,,0.21,,,,,,,,,,,
,6/28/2013,0.18,,0.21,,,,,,,,,,,
,3/28/2013,0.23,,0.2,,,,,,,,,,,
,12/31/2012,0.18,,,,,,,,,,,,,
,9/28/2012,0.21,,,,,,,,,,,,,
,6/29/2012,0.2,,,,,,,,,,,,,
,3/30/2012,0.11,,,,,,,,,,,,,
,12/30/2011,-0.48,,,,,,,,,,,,,
,9/30/2011,0.08,,,,,,,,,,,,,
,6/30/2011,0.04,,,,,,,,,,,,,
,3/31/2011,0.01,,,,,,,,,,,,,
,12/31/2010,0.03,,,,,,,,,,,,,
,9/30/2010,-0.17,,,,,,,,,,,,,
,6/30/2010,-0.28,,,,,,,,,,,,,
,3/31/2010,-0.21,,,,,,,,,,,,,
,12/31/2009,-0.51,,,,,,,,,,,,,
,9/30/2009,-0.37,,,,,,,,,,,,,
,6/30/2009,-0.28,,,,,,,,,,,,,
,3/31/2009,0.04,,,,,,,,,,,,,
,12/31/2008,-9.01,,,,,,,,,,,,,
,9/30/2008,0.11,,,,,,,,,,,,,
,6/30/2008,0.3,,,,,,,,,,,,,
,3/31/2008,0.48,,,,,,,,,,,,,
,12/31/2007,0.1,,,,,,,,,,,,,
,9/28/2007,0.56,,,,,,,,,,,,,
,6/29/2007,0.63,,,,,,,,,,,,,
,3/30/2007,0.45,,,,,,,,,,,,,
,12/29/2006,0.56,,,,,,,,,,,,,
,9/29/2006,0.77,,,,,,,,,,,,,
,6/30/2006,0.75,,,,,,,,,,,,,
,3/31/2006,0.64,,,,,,,,,,,,,
,12/30/2005,0.55,,,,,,,,,,,,,
,9/30/2005,0.55,,,,,,,,,,,,,
,6/30/2005,0.53,,,,,,,,,,,,,
,3/31/2005,0.51,,,,,,,,,,,,,
,12/31/2004,0.5,,,,,,,,,,,,,
,9/30/2004,0.55,,,,,,,,,,,,,
,6/30/2004,0.58,,,,,,,,,,,,,
,3/31/2004,0.6,,,,,,,,,,,,,
,12/31/2003,0.59,,,,,,,,,,,,,
,9/30/2003,0.59,,,,,,,,,,,,,
,6/30/2003,0.59,,,,,,,,,,,,,
,3/31/2003,0.57,,,,,,,,,,,,,
,12/31/2002,0.5475,,,,,,,,,,,,,
,9/30/2002,0.5475,,,,,,,,,,,,,
,6/28/2002,0.5475,,,,,,,,,,,,,
,3/28/2002,0.5475,,,,,,,,,,,,,
,12/31/2001,0.455,,,,,,,,,,,,,
,9/28/2001,0.455,,,,,,,,,,,,,
,6/29/2001,0.455,,,,,,,,,,,,,
,3/30/2001,0.455,,,,,,,,,,,,,
,12/29/2000,0.48,,,,,,,,,,,,,
,9/29/2000,0.48,,,,,,,,,,,,,
,6/30/2000,0.48,,,,,,,,,,,,,
,3/31/2000,0.48,,,,,,,,,,,,,
,12/31/1999,0.475,,,,,,,,,,,,,
,9/30/1999,0.475,,,,,,,,,,,,,
,6/30/1999,0.475,,,,,,,,,,,,,
