Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,12/31/2020,0.67,3/8/2020,0.67,2/22/2020,0.68,1/23/2020,0.68,,0.7,,0.69,,0.7,,0.72,0.75,0.84,0.8651452279999999,0.8628215770000001,0.6418918920000001,,,,,,,,
,9/30/2020,0.7,,0.7,,0.71,,0.71,,0.69,,0.62,,0.63,,0.64,0.63,0.71,0.680580913,0.687925311,0.6418918920000001,,,,,,,,
,6/30/2020,0.72,,0.72,,0.72,,0.72,,0.73,,0.71,,0.72,,0.75,0.72,0.8,0.772863071,0.792863071,0.777027027,,,,,,,,
,3/31/2020,0.47,,0.47,,0.48,,0.48,,0.47,,0.44,,0.45,,0.47,0.45,0.51,0.46141078799999996,0.46639004100000003,0.439189189,,,,,,,,
,12/31/2019,0.12,,0.6,,0.6,,0.6,,0.63,,0.64,,0.66,,0.72,0.75,0.74,0.61,0.56,0.65,0.56,0.55,,,,,,
,9/30/2019,0.709575968,,0.56,,0.57,,0.56,,0.59,,0.57,0.59,0.54,0.47,0.45,,,,,,,,,,,,,
,6/28/2019,0.728845737,,0.65,,0.66,,0.67,,0.68,,0.69,0.7,0.6,0.47,0.45,,,,,,,,,,,,,
,3/29/2019,0.39487123799999996,,0.4,,0.39,,0.4,,0.42,,0.38,0.36,,,,,,,,,,,,,,,,
,12/31/2018,0.602933188,,0.37,,0.42,,0.37,,0.33,,0.35,0.36,0.43,0.39,,,,,,,,,,,,,,
,9/28/2018,0.45500978,,0.37,,0.34,,0.27,,0.26,,0.29,0.31,0.38,0.41,,,,,,,,,,,,,,
,6/29/2018,0.627242092,,0.26,,0.31,,0.35,,0.37,,,,,,,,,,,,,,,,,,,
,3/29/2018,0.24160930600000002,,0.22,,0.25,,0.29,,0.3,,,,,,,,,,,,,,,,,,,
,12/29/2017,0.363756033,,0.07,,0.09,,0.19,,0.22,,0.16,0.13,0.12,0.11,0.24,,,,,,,,,,,,,
,9/29/2017,0.161401777,,0.18,,0.19,,0.22,,0.17,,0.14,0.11,0.21,,,,,,,,,,,,,,,
,6/30/2017,0.225443982,,0.21,,0.2,,0.16,,0.15,,0.14,0.12,0.2,,,,,,,,,,,,,,,
,3/31/2017,0.170420297,,0.07,,0.02,,0.01,,0.15,,,,,,,,,,,,,,,,,,,
,12/30/2016,0.422663833,,0.0,,-0.01,,0.15,,0.17,,0.25,0.33,0.37,0.52,0.69,0.03,,,,,,,,,,,,
,9/30/2016,0.015544041000000001,,0.03,,0.18,,0.2,,0.27,,0.36,0.49,0.76,-0.05,,,,,,,,,,,,,,
,6/30/2016,0.335527602,,-0.05,,0.09,,0.12,,0.26,,0.34,0.35,0.45,0.68,0.09,,,,,,,,,,,,,
,3/31/2016,-0.354480188,,0.09,,0.27,,0.31,,0.33,,0.38,0.58,0.25,,,,,,,,,,,,,,,
,12/31/2015,-0.203910421,,0.25,,0.28,,0.35,,0.38,,0.59,0.75,0.9,0.95,1.12,1.17,1.28,1.29,1.25,,,,,,,,,
,9/30/2015,-3.63735959,,0.36,,0.41,,0.68,,0.82,,0.95,1.0,1.17,1.21,1.3,1.28,,,,,,,,,,,,
,6/30/2015,0.46981851700000005,,0.7,,0.86,,0.87,,0.95,,0.99,1.13,1.14,1.25,1.19,,,,,,,,,,,,,
