CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2024,,3.38,2/18/2024,3.63,1/26/2024,3.66,12/25/2023,3.66,11/2/2023,3.59,9/19/2023,3.65,8/3/2023,5.16,6/14/2023,5.16,5/3/2023,,3/29/2023,5.04,2/18/2023,4.8,1/16/2023,4.68,12/8/2022,4.89,11/2/2022,5.87,10/13/2022,5.88,9/11/2022,5.91,8/7/2022,6.19,7/14/2022,6.2,6/14/2022,6.31,5/11/2022,5.93,4/21/2022,5.91,3/18/2022,5.81,2/11/2022,5.41,1/17/2022,5.25,12/10/2021,5.07,11/4/2021,4.96,10/17/2021,4.97,9/13/2021,4.88,8/7/2021,4.57,7/19/2021,4.57,6/21/2021,4.57,5/22/2021,4.64,5/6/2021,3.96,4/17/2021,3.96,3/14/2021,4.19,2/11/2021,4.17,1/5/2021,4.14,12/3/2020,3.96,11/3/2020,3.87,9/24/2020,3.87,8/28/2020,3.97,7/28/2020,4.12,7/12/2020,4.05,6/6/2020,4.15,4/28/2020,4.15,3/23/2020
,,9/30/2024,,2.95,,3.07,,3.07,,3.07,,3.1,,3.14,,4.46,,4.46,,,,4.31,,4.47,,4.41,,4.57,,5.42,,5.45,,5.49,,5.77,,5.81,,5.88,,5.5,,5.48,,5.45,,5.19,,5.11,,4.9,,4.76,,4.75,,4.71,,4.42,,4.43,,4.43,,4.39,,3.44,,3.44,,3.82,,3.75,,3.74,,3.66,,3.56,,3.56,,3.46,,3.61,,3.59,,3.76,,3.76,
,,6/30/2024,,2.55,,2.44,,2.49,,2.5,,2.89,,2.98,,4.19,,4.19,,,,4.2,,4.43,,4.28,,4.43,,5.13,,5.16,,5.08,,5.18,,5.1,,5.14,,4.52,,4.53,,4.56,,4.61,,4.64,,4.46,,4.57,,4.57,,4.56,,4.43,,4.43,,4.43,,4.18,,3.69,,3.69,,3.32,,3.21,,3.22,,3.21,,3.26,,3.26,,3.18,,3.36,,3.38,,3.31,,3.31,
,,3/30/2024,,2.35,,2.08,,2.1,,2.11,,2.51,,2.48,,4.41,,4.41,,,,3.94,,4.21,,4.14,,4.31,,4.8,,4.8,,4.75,,4.99,,4.93,,4.86,,3.87,,3.86,,3.99,,4.4,,4.51,,4.36,,4.48,,4.5,,4.49,,4.83,,4.83,,4.83,,4.65,,4.39,,4.39,,3.17,,3.17,,3.14,,3.23,,3.25,,3.26,,3.22,,3.46,,3.46,,3.49,,3.49,
,2/15/2024,12/31/2023,0.31,1.71,3/29/2023,1.66,3/29/2023,1.66,3/29/2023,1.65,3/29/2023,1.72,3/29/2023,1.68,3/29/2023,4.68,3/29/2023,4.72,3/29/2023,5.04,3/29/2023,5.04,2/18/2023,4.8,1/16/2023,4.68,12/8/2022,4.89,11/2/2022,5.87,10/13/2022,5.88,9/11/2022,5.91,8/7/2022,6.19,7/14/2022,6.2,6/14/2022,6.31,5/11/2022,5.93,4/21/2022,5.91,3/18/2022,5.81,2/11/2022,5.41,1/17/2022,5.25,12/10/2021,5.07,11/4/2021,4.96,10/17/2021,4.97,9/13/2021,4.88,8/7/2021,4.57,7/19/2021,4.57,6/21/2021,4.57,5/22/2021,4.64,5/6/2021,3.96,4/17/2021,3.96,3/14/2021,4.19,2/11/2021,4.17,1/5/2021,4.14,12/3/2020,3.96,11/3/2020,3.87,9/24/2020,3.87,8/28/2020,3.97,7/28/2020,4.12,7/12/2020,4.05,6/6/2020,4.15,4/28/2020,4.15,3/23/2020
,10/31/2023,9/30/2023,-0.28,0.87,,0.82,,0.83,,3.86,,3.95,,4.32,,4.31,,4.47,,4.41,,4.57,,5.42,,5.45,,5.49,,5.77,,5.81,,5.88,,5.5,,5.48,,5.45,,5.19,,5.11,,4.9,,4.76,,4.75,,4.71,,4.42,,4.43,,4.43,,4.39,,3.44,,3.44,,3.82,,3.75,,3.74,,3.66,,3.56,,3.56,,3.46,,3.61,,3.59,,3.76,,3.76,,,,,,,
,8/3/2023,6/30/2023,2.78,3.29,,3.32,,3.44,,4.16,,4.2,,4.43,,4.28,,4.43,,5.13,,5.16,,5.08,,5.18,,5.1,,5.14,,4.52,,4.53,,4.56,,4.61,,4.64,,4.46,,4.57,,4.57,,4.56,,4.43,,4.43,,4.43,,4.18,,3.69,,3.69,,3.32,,3.21,,3.22,,3.21,,3.26,,3.26,,3.18,,3.36,,3.38,,3.31,,3.31,,,,,,,,,,,
,5/2/2023,3/30/2023,2.9,3.94,,3.91,,3.94,,4.21,,4.14,,4.31,,4.8,,4.8,,4.75,,4.99,,4.93,,4.86,,3.87,,3.86,,3.99,,4.4,,4.51,,4.36,,4.48,,4.5,,4.49,,4.83,,4.83,,4.83,,4.65,,4.39,,4.39,,3.17,,3.17,,3.14,,3.23,,3.25,,3.26,,3.22,,3.46,,3.46,,3.49,,3.49,,,,,,,,,,,,,,,
,2/16/2023,12/31/2022,3.57,4.75,,4.6,,4.59,,4.69,,5.14,,5.15,,5.42,,5.6,,5.65,,5.73,,5.93,,5.91,,5.81,2/11/2022,5.41,1/17/2022,5.25,12/10/2021,5.07,11/4/2021,4.96,10/17/2021,4.97,9/13/2021,4.88,8/7/2021,4.57,7/19/2021,4.57,6/21/2021,4.57,5/22/2021,4.64,5/6/2021,3.96,4/17/2021,3.96,3/14/2021,4.19,2/11/2021,4.17,1/5/2021,4.14,12/3/2020,3.96,11/3/2020,3.87,9/24/2020,3.87,8/28/2020,3.97,7/28/2020,4.12,7/12/2020,4.05,6/6/2020,4.15,4/28/2020,4.15,3/23/2020,,,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,3.26,4.12,,4.54,,4.55,,4.84,,5.08,,5.1,,5.18,,5.5,,5.48,,5.45,,5.19,,5.11,,4.9,,4.76,,4.75,,4.71,,4.42,,4.43,,4.43,,4.39,,3.44,,3.44,,3.82,,3.75,,3.74,,3.66,,3.56,,3.56,,3.46,,3.61,,3.59,,3.76,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,
