Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,9/30/2021,0.66,3/19/2020,0.66,3/8/2020,,,,,,,,,,,
,6/30/2021,0.62,,0.62,,,,,,,,,,,,
,3/31/2021,0.59,,0.59,,,,,,,,,,,,
,12/31/2020,0.59,,0.59,,,,,,,,,,,,
,9/30/2020,0.59,,0.63,3/8/2020,0.63,,0.7,,0.67,,,,,,
,6/30/2020,0.58,,0.61,,0.61,,0.68,,0.66,,0.65,,,,
,3/31/2020,0.57,,0.61,,0.61,,0.67,,0.65,,,,,,
,12/31/2019,0.84,,0.6,,0.66,,0.64,,,,,,,,
,9/30/2019,0.66,,0.65,,0.66,,0.65,,0.66,,0.67,,0.7,,
,6/28/2019,0.673239328,,0.64,,0.63,,0.66,,0.68,,,,,,
,3/29/2019,0.630916416,,0.61,,0.64,,0.67,,,,,,,,
,12/31/2018,0.646963752,,0.61,,0.64,,0.67,,,,,,,,
,9/28/2018,0.617973928,,0.62,,0.61,,0.56,,0.54,,0.53,,0.51,,
,6/29/2018,0.6099985520000001,,0.59,,0.55,,0.52,,0.5,,,,,,
,3/29/2018,0.574607905,,0.59,,0.53,,0.5,,0.49,,,,,,
,12/29/2017,0.593345398,,0.51,,0.49,,0.48,,0.49,,,,,,
,9/29/2017,0.524194497,,0.49,,0.48,,0.47,,0.46,,,,,,
,6/30/2017,0.492886576,,0.47,,0.46,,0.44,,,,,,,,
,3/31/2017,0.46881797700000005,,0.45,,0.44,,0.43,,,,,,,,
,12/30/2016,0.45966264700000004,,0.44,,0.42,,,,,,,,,,
,9/30/2016,0.48883525299999997,,0.45,,0.44,,0.43,,0.42,,0.41,,,,
,6/30/2016,0.47015009399999996,,0.44,,0.43,,0.42,,0.41,,0.4,,0.41,,0.41
,3/31/2016,0.45278249,,0.41,,0.4,,0.39,,0.4,,,,,,
,12/31/2015,0.37506744299999994,,0.4,,0.39,,0.4,,,,,,,,
,9/30/2015,0.45184035,,0.39,,0.4,,0.41,,0.43,,,,,,
,6/30/2015,0.411467295,,0.39,,0.38,,0.4,,0.41,,,,,,
,3/31/2015,0.417274772,,0.38,,0.39,,0.38,,,,,,,,
,12/31/2014,0.38982048,,0.39,,0.38,,0.39,,0.41,,0.38,,,,
,9/30/2014,0.406844317,,0.38,,0.41,,0.37,,,,,,,,
,6/30/2014,0.373888237,,0.37,,0.4,,0.41,,0.4,,0.37,,,,
,3/31/2014,0.377182516,,0.38,,0.39,,0.4,,0.37,,,,,,
,12/31/2013,0.39135070200000005,,0.37,,0.36,,,,,,,,,,
,9/30/2013,0.413469064,,0.36,,0.33,,0.33,,,,,,,,
,6/28/2013,0.35835612,,0.33,,0.33,,,,,,,,,,
,3/28/2013,0.34180696899999996,,0.33,,0.32,,0.32,,,,,,,,
,12/31/2012,0.33271122,,0.32,,0.31,,,,,,,,,,
,9/28/2012,0.333455503,,0.33,,,,,,,,,,,,
,6/29/2012,0.328841925,,0.32,,,,,,,,,,,,
,3/30/2012,0.317713953,,0.3,,,,,,,,,,,,
,12/30/2011,0.309728278,,,,,,,,,,,,,,
,9/29/2011,0.279420548,,,,,,,,,,,,,,
,6/29/2011,0.270754999,,,,,,,,,,,,,,
,3/30/2011,0.22972756100000002,,,,,,,,,,,,,,
,12/30/2010,0.21804030800000002,,,,,,,,,,,,,,
,9/30/2010,0.14,,,,,,,,,,,,,,
,6/30/2010,0.11,,,,,,,,,,,,,,
,3/31/2010,0.05,,,,,,,,,,,,,,
,12/31/2009,0.05,,,,,,,,,,,,,,
,9/30/2009,0.11,,,,,,,,,,,,,,
,6/30/2009,0.03,,,,,,,,,,,,,,
,3/31/2009,0.1,,,,,,,,,,,,,,
,12/31/2008,0.23,,,,,,,,,,,,,,
,9/30/2008,-0.45,,,,,,,,,,,,,,
,6/30/2008,0.38,,,,,,,,,,,,,,
,3/31/2008,0.4,,,,,,,,,,,,,,
,12/31/2007,0.38,,,,,,,,,,,,,,
,9/28/2007,0.39,,,,,,,,,,,,,,
,6/29/2007,0.39,,,,,,,,,,,,,,
,3/30/2007,0.38,,,,,,,,,,,,,,
,12/29/2006,0.38,,,,,,,,,,,,,,
,9/29/2006,0.4,,,,,,,,,,,,,,
,6/30/2006,0.4,,,,,,,,,,,,,,
,3/31/2006,0.42,,,,,,,,,,,,,,
,12/30/2005,0.42,,,,,,,,,,,,,,
,9/30/2005,0.39,,,,,,,,,,,,,,
,6/30/2005,0.39,,,,,,,,,,,,,,
,3/31/2005,0.47,,,,,,,,,,,,,,
,12/31/2004,0.42,,,,,,,,,,,,,,
,9/30/2004,0.36385542200000004,,,,,,,,,,,,,,
,6/30/2004,0.400240964,,,,,,,,,,,,,,
,3/31/2004,0.372951807,,,,,,,,,,,,,,
,12/31/2003,0.372951807,,,,,,,,,,,,,,
,9/30/2003,0.404811129,,,,,,,,,,,,,,
,6/30/2003,0.42959548299999994,,,,,,,,,,,,,,
,3/31/2003,0.446118387,,,,,,,,,,,,,,
,12/31/2002,0.42959548299999994,,,,,,,,,,,,,,
,9/30/2002,0.43444220200000006,,,,,,,,,,,,,,
,6/28/2002,0.419461436,,,,,,,,,,,,,,
,3/28/2002,0.419461436,,,,,,,,,,,,,,
,12/31/2001,0.411971053,,,,,,,,,,,,,,
,9/28/2001,0.373942956,,,,,,,,,,,,,,
,6/29/2001,0.346747105,,,,,,,,,,,,,,
,3/30/2001,0.31955125300000004,,,,,,,,,,,,,,
,12/29/2000,0.285556439,,,,,,,,,,,,,,
,9/29/2000,0.295346946,,,,,,,,,,,,,,
,6/30/2000,0.30765306800000003,,,,,,,,,,,,,,
,3/31/2000,0.31380613,,,,,,,,,,,,,,
,12/31/1999,0.31380613,,,,,,,,,,,,,,
,9/30/1999,0.31995919100000003,,,,,,,,,,,,,,
,6/30/1999,0.31995919100000003,,,,,,,,,,,,,,
,3/31/1999,0.31380613,,,,,,,,,,,,,,
,12/31/1998,0.30765306800000003,,,,,,,,,,,,,,
