CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,
Plots Adjusted,,1/30/2027,,0.75,8/29/2025,0.72,7/7/2025,0.72,5/30/2025,0.67,4/11/2025,0.68,2/28/2025,0.55,1/13/2025,0.55,12/5/2024,0.59,11/4/2024,0.59,11/3/2024
Look for Net income ,,10/30/2026,,0.67,,0.64,,0.64,,0.6,,0.61,,0.5,,0.5,,0.5,,0.5,
per share to find adjusted,,7/30/2026,,0.53,,0.52,,0.52,,0.49,,0.5,,0.42,,0.42,,0.44,,0.44,
,,4/30/2026,,0.41,,0.4,,0.39,,0.37,,0.37,,0.3,,0.3,,0.32,,0.32,
,,1/30/2026,,0.64,1/13/2025,0.61,1/13/2025,0.61,1/13/2025,0.57,1/13/2025,0.57,1/13/2025,0.55,1/13/2025,0.55,12/5/2024,0.59,11/4/2024,0.59,11/3/2024
,,10/30/2025,,0.57,,0.53,,0.52,,0.5,,0.51,,0.5,,0.5,,0.5,,0.5,
,8/27/2025,7/30/2025,0.14,0.43,,0.39,,0.39,,0.39,,0.39,,0.42,,0.42,,0.44,,0.44,
,5/27/2025,4/30/2025,-0.04,0.29,,0.25,,0.25,,0.3,,0.3,,0.32,,0.32,,,,,
,2/26/2025,1/30/2025,0.12,0.45,,0.42,,0.42,,0.46,,0.46,,,,,,,,,
,12/3/2024,10/30/2024,0.19,0.5,,0.42,,0.42,,,,,,,,,,,,,
,8/28/2024,7/30/2024,0.1,0.44,,0.44,,,,,,,,,,,,,,,
,5/29/2024,4/30/2024,-0.11,0.32,,0.32,,,,,,,,,,,,,,,
,2/28/2024,1/30/2024,0.2,0.5,,0.5,,,,,,,,,,,,,,,
,11/29/2023,10/30/2023,0.21,0.5,,0.5,,,,,,,,,,,,,,,
,8/30/2023,7/30/2023,-0.02,0.34,,0.34,,,,,,,,,,,,,,,
,5/31/2023,4/30/2023,-0.22,0.08,,0.08,,,,,,,,,,,,,,,
,3/1/2023,1/30/2023,0.22,0.53,,0.53,,,,,,,,,,,,,,,
,11/30/2022,10/30/2022,0.01,0.31,,0.31,,,,,,,,,,,,,,,
,8/31/2022,7/30/2022,0.03,0.32,,0.32,,,,,,,,,,,,,,,
,6/1/2022,4/30/2022,-0.04,0.25,,0.25,,,,,,,,,,,,,,,
,3/2/2022,1/31/2022,0.05,0.36,,0.36,,,,,,,,,,,,,,,
,11/23/2021,10/29/2021,-0.1,0.22,,0.22,,,,,,,,,,,,,,,
,8/25/2021,7/30/2021,-0.16,0.14,,0.14,,,,,,,,,,,,,,,
,5/26/2021,4/30/2021,-0.3,0.01,,0.01,,,,,,,,,,,,,,,
,2/24/2021,1/29/2021,-0.19,0.13,,0.13,,,,,,,,,,,,,,,
,11/24/2020,10/30/2020,-0.28,0.01,,0.01,,,,,,,,,,,,,,,
,8/25/2020,7/31/2020,-0.25,0.06,,0.06,,,,,,,,,,,,,,,
,5/28/2020,4/30/2020,-0.34,-0.02,,-0.02,,,,,,,,,,,,,,,
,2/27/2020,1/31/2020,-0.02,0.23,,0.23,,,,,,,,,,,,,,,
,11/21/2019,10/31/2019,-0.12,0.13,,0.13,,,,,,,,,,,,,,,
,8/21/2019,7/31/2019,-0.26,0.01,,0.01,,,,,,,,,,,,,,,
,5/21/2019,4/30/2019,-0.41,-0.11,,-0.11,,,,,,,,,,,,,,,
,2/28/2019,1/31/2019,-0.11,0.14,,0.14,,,,,,,,,,,,,,,
,11/19/2018,10/31/2018,-0.13,0.13,,0.13,,,,,,,,,,,,,,,
,8/21/2018,7/31/2018,-0.26,0.01,,0.01,,,,,,,,,,,,,,,
,5/21/2018,4/30/2018,-0.29,-0.07,,-0.07,,,,,,,,,,,,,,,
,3/1/2018,1/31/2018,-0.07,0.11,,0.11,,,,,,,,,,,,,,,
,11/28/2017,10/31/2017,-0.14,0.04,,0.04,,,,,,,,,,,,,,,
,8/24/2017,7/31/2017,-0.28,-0.1,,-0.1,,,,,,,,,,,,,,,
,5/24/2017,4/28/2017,-0.28,-0.12,,-0.12,,,,,,,,,,,,,,,
,3/1/2017,1/31/2017,-0.21,-0.02,,-0.02,,,,,,,,,,,,,,,
,11/30/2016,10/31/2016,-0.4,-0.1,,-0.1,,,,,,,,,,,,,,,
,8/25/2016,7/29/2016,-0.31,-0.16,,-0.16,,,,,,,,,,,,,,,
,5/25/2016,4/29/2016,-0.34,-0.22,,-0.22,,,,,,,,,,,,,,,
,3/2/2016,1/29/2016,-0.24,-0.12,,-0.12,,,,,,,,,,,,,,,
,,10/30/2015,-0.76,-0.18,,-0.18,,,,,,,,,,,,,,,
,,7/31/2015,-1.89,-0.33,,-0.33,,,,,,,,,,,,,,,
,,4/30/2015,-1.51,-0.26,,-0.26,,,,,,,,,,,,,,,
,,1/30/2015,-1.52,-0.26,,-0.26,,,,,,,,,,,,,,,
