CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
N,,12/31/2021,0.82,8/5/2020,0.8,8/4/2020,,,,,,,,,
,,9/30/2021,0.64,,0.68,,,,,,,,,,
,,6/30/2021,0.94,,0.93,,,,,,,,,,
,,3/31/2021,0.83,,0.81,,,,,,,,,,
,,12/31/2020,0.64,,0.67,,0.66,,0.88,,1.04,,1.05,,1.07
,,9/30/2020,0.62,,0.63,,0.8,,0.84,,0.82,,0.85,,
,8/5/2020,6/30/2020,0.402077151,,0.68,,0.67,,0.93,,1.08,,1.09,,1.08
,5/6/2020,3/31/2020,0.550364964,,0.83,,0.84,,0.92,,0.91,,,,
,2/27/2020,12/31/2019,0.678062678,,0.89,,0.93,,0.94,,0.95,,0.94,,
,11/7/2019,9/30/2019,0.367461431,,0.82,,0.83,,0.8,,,,,,
,8/6/2019,6/28/2019,1.322625698,,1.06,,0.98,,,,,,,,
,5/2/2019,3/29/2019,0.537815126,,0.8,,0.78,,,,,,,,
,2/26/2019,12/31/2018,0.376223776,,0.82,,0.8,,0.69,,0.63,,,,
,11/8/2018,9/28/2018,0.147265077,,0.59,,0.53,,,,,,,,
,8/7/2018,6/29/2018,0.303370787,,0.87,,0.85,,0.73,,,,,,
,5/8/2018,3/29/2018,-0.014778325,,0.43,,0.44,,0.5,,,,,,
,2/27/2018,12/29/2017,-2.014084507,,0.38,,0.44,,0.52,,0.54,,,,
,11/2/2017,9/29/2017,0.38178634,,0.54,,0.48,,0.68,,,,,,
,7/31/2017,6/30/2017,0.647058824,,0.72,,0.67,,0.66,,0.5,,,,
,5/9/2017,3/31/2017,0.365646259,,0.45,,0.48,,0.5,,,,,,
,,12/30/2016,0.51092437,,0.47,,,,,,,,,,
,,9/30/2016,0.363787375,,0.4,,,,,,,,,,
,,6/30/2016,0.662337662,,0.55,,,,,,,,,,
,,3/31/2016,0.417460317,,0.41,,,,,,,,,,
,,12/31/2015,0.337962963,,0.42,,,,,,,,,,
,,9/30/2015,0.427258806,,0.38,,,,,,,,,,
,,6/30/2015,0.436641221,,0.48,,,,,,,,,,
,,3/31/2015,0.374812594,,0.33,,,,,,,,,,
,,12/31/2014,0.375375375,,0.43,,,,,,,,,,
,,9/30/2014,0.41,,0.41,,,,,,,,,,
,,6/30/2014,0.54,,0.49,,,,,,,,,,
,,3/31/2014,0.33,,0.38,,,,,,,,,,
,,12/31/2013,0.405,,0.46,,,,,,,,,,
,,9/30/2013,0.355,,0.36,,,,,,,,,,
,,6/28/2013,0.41,,nan,,,,,,,,,,
,,3/28/2013,0.315,,nan,,,,,,,,,,
,,12/31/2012,0.305,,nan,,,,,,,,,,
,,9/28/2012,0.275,,nan,,,,,,,,,,
,,6/29/2012,0.38,,nan,,,,,,,,,,
,,3/30/2012,0.285,,nan,,,,,,,,,,
,,12/30/2011,0.43,,nan,,,,,,,,,,
,,9/30/2011,0.295,,nan,,,,,,,,,,
,,6/30/2011,0.31,,nan,,,,,,,,,,
,,3/31/2011,0.37,,nan,,,,,,,,,,
,,12/31/2010,0.225,,nan,,,,,,,,,,
,,9/30/2010,0.215,,nan,,,,,,,,,,
,,6/30/2010,0.125,,nan,,,,,,,,,,
,,3/31/2010,0.195,,nan,,,,,,,,,,
,,12/31/2009,0.175,,nan,,,,,,,,,,
,,9/30/2009,0.11,,nan,,,,,,,,,,
,,6/30/2009,0.21,,nan,,,,,,,,,,
,,3/31/2009,0.14,,nan,,,,,,,,,,
,,12/31/2008,0.125,,nan,,,,,,,,,,
